,departure_icao,destination_icao,callsign,departure_continent,departure_subcontinent,departure_country,departure_iata,departure_country_code,departure_region_name,departure_airport,departure_latitude,departure_longitude,destination_continent,destination_subcontinent,destination_country,destination_iata,destination_country_code,destination_region_name,destination_airport,destination_latitude,destination_longitude
0,BGBW,BIKF,7,Americas,North America,Greenland,UAK,GL,Kommune Kujalleq,Narsarsuaq Airport,61.1605,-45.426,Europe,Nordic Region,Iceland,KEF,IS,Sudurnes,Keflavík International Airport,63.985,-22.6056
1,BGBW,BIRK,2,Americas,North America,Greenland,UAK,GL,Kommune Kujalleq,Narsarsuaq Airport,61.1605,-45.426,Europe,Nordic Region,Iceland,RKV,IS,Hofudborgarsvaedi,Reykjavík Airport,64.13,-21.9406
2,BGBW,EKVG,1,Americas,North America,Greenland,UAK,GL,Kommune Kujalleq,Narsarsuaq Airport,61.1605,-45.426,Europe,Nordic Region,Faroe Islands,FAE,FK,Falkland Islands (Malvinas),Vagar Airport,62.0636,-7.27722
3,BGGH,BGBW,1,Americas,North America,Greenland,GOH,GL,Kommuneqarfik Sermersooq,Nuuk Airport,64.1909,-51.6781,Americas,North America,Greenland,UAK,GL,Kommune Kujalleq,Narsarsuaq Airport,61.1605,-45.426
4,BGGH,BGSF,2,Americas,North America,Greenland,GOH,GL,Kommuneqarfik Sermersooq,Nuuk Airport,64.1909,-51.6781,Americas,North America,Greenland,SFJ,GL,Qeqqata Kommunia,Kangerlussuaq Airport,67.0122,-50.7116
5,BGGH,BIKF,10,Americas,North America,Greenland,GOH,GL,Kommuneqarfik Sermersooq,Nuuk Airport,64.1909,-51.6781,Europe,Nordic Region,Iceland,KEF,IS,Sudurnes,Keflavík International Airport,63.985,-22.6056
6,BGGH,BIRK,5,Americas,North America,Greenland,GOH,GL,Kommuneqarfik Sermersooq,Nuuk Airport,64.1909,-51.6781,Europe,Nordic Region,Iceland,RKV,IS,Hofudborgarsvaedi,Reykjavík Airport,64.13,-21.9406
7,BGGH,CYQX,1,Americas,North America,Greenland,GOH,GL,Kommuneqarfik Sermersooq,Nuuk Airport,64.1909,-51.6781,Americas,North America,Canada,YQX,CA,Newfoundland and Labrador,Gander International Airport / CFB Gander,48.9369,-54.5681
8,BGGH,CYWG,1,Americas,North America,Greenland,GOH,GL,Kommuneqarfik Sermersooq,Nuuk Airport,64.1909,-51.6781,Americas,North America,Canada,YWG,CA,Manitoba,Winnipeg James Armstrong Richardson International Airport,49.91,-97.2399
9,BGGH,CYYZ,2,Americas,North America,Greenland,GOH,GL,Kommuneqarfik Sermersooq,Nuuk Airport,64.1909,-51.6781,Americas,North America,Canada,YYZ,CA,Ontario,Toronto Pearson International Airport,43.6797,-79.6227
10,BGGH,EGGW,1,Americas,North America,Greenland,GOH,GL,Kommuneqarfik Sermersooq,Nuuk Airport,64.1909,-51.6781,Europe,United Kingdom,England,LTN,GB,England,London Luton Airport,51.8747,-0.368333
11,BGGH,EKBI,1,Americas,North America,Greenland,GOH,GL,Kommuneqarfik Sermersooq,Nuuk Airport,64.1909,-51.6781,Europe,Nordic Region,Denmark,BLL,DK,Syddanmark,Billund Airport,55.7403,9.15178
12,BGGH,EKCH,9,Americas,North America,Greenland,GOH,GL,Kommuneqarfik Sermersooq,Nuuk Airport,64.1909,-51.6781,Europe,Nordic Region,Denmark,CPH,DK,Hovedstaden,Copenhagen Airport,55.6179,12.656
13,BGGH,EKYT,1,Americas,North America,Greenland,GOH,GL,Kommuneqarfik Sermersooq,Nuuk Airport,64.1909,-51.6781,Europe,Nordic Region,Denmark,AAL,DK,Nordjylland,Aalborg Airport,57.0928,9.84924
14,BGGH,KBNA,1,Americas,North America,Greenland,GOH,GL,Kommuneqarfik Sermersooq,Nuuk Airport,64.1909,-51.6781,Americas,North America,United States,BNA,US,Tennessee,Nashville International Airport,36.1245,-86.6782
15,BGGH,KEWR,6,Americas,North America,Greenland,GOH,GL,Kommuneqarfik Sermersooq,Nuuk Airport,64.1909,-51.6781,Americas,North America,United States,EWR,US,New Jersey,Newark Liberty International Airport,40.6925,-74.1686
16,BGGH,KPWM,1,Americas,North America,Greenland,GOH,GL,Kommuneqarfik Sermersooq,Nuuk Airport,64.1909,-51.6781,Americas,North America,United States,PWM,US,Maine,Portland International Jetport,43.6462,-70.3093
17,BGJN,BGGH,1,Americas,North America,Greenland,JAV,GL,Avannaata Kommunia,Ilulissat Airport,69.2432,-51.0571,Americas,North America,Greenland,GOH,GL,Kommuneqarfik Sermersooq,Nuuk Airport,64.1909,-51.6781
