Callsign,Aircraft,Departure ICAO,Destination ICAO,Contributor,AIRAC validity,Date added
DAL8957,B752,CYVR,KDEN,Pilatus,2503,07 Apr 25
N650DY,GLF6,LFPB,KTEB,Pilatus,2503,07 Apr 25
N228Y,CL30,KBUF,BIKF,Pilatus,2503,07 Apr 25
N289MA,E145,BIKF,BGBW,Pilatus,2503,07 Apr 25
N289MA,E145,EHAM,BIKF,Pilatus,2503,07 Apr 25
OAW1551,E290,BIKF,LSZB,Pilatus,2503,07 Apr 25
N120WL,PC12,EGJB,BIKF,Pilatus,2503,07 Apr 25
N20G,GLF4,EGSS,KCAK,Pilatus,2503,07 Apr 25
N463SD,GA5C,LIPE,KBNA,Pilatus,2503,07 Apr 25
BTX3C,PC24,EDVE,LEPP,Pilatus,2503,07 Apr 25
PTN54T,PC24,LFMN,LFRN,Pilatus,2503,07 Apr 25
CKS281,B77L,KCVG,EDDP,Pilatus,2503,07 Apr 25
N308EL,GA5C,KIND,LEMD,Pilatus,2503,07 Apr 25
BTI2HU,BCS3,EVRA,BIKF,Pilatus,2503,07 Apr 25
LUC2M,C25M,BIKF,EGPK,Pilatus,2503,07 Apr 25
CMB576,B744,BIKF,KNUW,Pilatus,2503,07 Apr 25
MYX6113,A321,EKBI,BIKF,Pilatus,2503,07 Apr 25
FPE6000,A21N,EGNX,BIKF,Pilatus,2503,07 Apr 25
DLH9922,A333,EDDF,LFLX,Pilatus,2503,07 Apr 25
TGZ7071,B739,EGHL,UGTB,Pilatus,2503,07 Apr 25
AXY564A,E190,EGGW,CYQX,Pilatus,2503,07 Apr 25
N121CL,GL7T,KLAX,BIRK,Pilatus,2503,07 Apr 25
N451CS,GLF6,KLAX,LSGG,Pilatus,2503,07 Apr 25
N14KL,GA6C,KVNY,EGGW,Pilatus,2503,07 Apr 25
N613LF,GLF5,KLAS,EGGW,Pilatus,2503,07 Apr 25
AIB92LR,A21N,LFBO,LFBO,Pilatus,2503,07 Apr 25
IGO9001,A21N,EDHI,VIDP,Pilatus,2503,07 Apr 25
UAL3850,A21N,EDHI,EGPH,Pilatus,2503,07 Apr 25
THY5ZW,A321,LTFM,EDDL,Pilatus,2503,07 Apr 25
EWG4HA,A320,LEBB,EDDL,Pilatus,2503,07 Apr 25
JCB1,GL7T,EDDM,EGNX,Pilatus,2503,07 Apr 25
EWG36Y,A320,EDDL,LEBB,Pilatus,2503,07 Apr 25
THY8VE,A320,LTFM,LOWS,Pilatus,2503,07 Apr 25
THY2PH,A321,LTFM,LFSB,Pilatus,2503,07 Apr 25
N980GG,GL7T,LIPZ,KTEB,Pilatus,2503,07 Apr 25
GLJ75YS,GL7T,LFML,KTEB,Pilatus,2503,07 Apr 25
VJT768,GL7T,KTEB,LPPT,Pilatus,2503,07 Apr 25
N181QS,GL7T,KTEB,LIML,Pilatus,2503,07 Apr 25
VJT741,GLEX,LFPB,KTEB,Pilatus,2503,07 Apr 25
VJT884,GLEX,LFPB,KTEB,Pilatus,2503,07 Apr 25
