iata_departure,iata_arrival
IBZ,AMS
HER,AMS
LPA,AMS
ATH,AMS
SOF,AMS
TRD,AMS
BGO,AMS
GOT,AMS
HEL,AMS
CPH,AMS
BLL,AMS
WAW,AMS
WRO,AMS
PRG,AMS
OTP,AMS
MAD,AMS
LIS,AMS
VCE,AMS
BLQ,AMS
BER,AMS
HAJ,AMS
STR,AMS
NUE,AMS
ZAG,AMS
BEG,AMS
LUX,AMS
SVG,AMS
KRS,AMS
AGP,AMS
BRU,AMS
HAM,AMS
LYS,AMS
GOA,AMS
BRE,AMS
BSL,AMS
GDN,AMS
BUD,AMS
NTE,AMS
BCN,AMS
VLC,AMS
TRN,AMS
DUS,AMS
AAL,AMS
TLL,AMS
AES,AMS
OSL,AMS
ARN,AMS
POZ,AMS
BOD,AMS
TLS,AMS
MRS,AMS
NCE,AMS
FCO,AMS
FLR,AMS
SPU,AMS
KRK,AMS
LIN,AMS
RIX,AMS
VNO,AMS
BIO,AMS
MAN,AMS
DUB,AMS
EDI,AMS
GLA,AMS
NCL,AMS
MME,AMS
BHX,AMS
NWI,AMS
ALC,AMS
ABZ,AMS
SOU,AMS
LGW,AMS
FRA,AMS
MUC,AMS
LHR,AMS
GRO,AMS
BRS,AMS
HUY,AMS
CWL,AMS
CAG,AMS
ZTH,AMS
SZG,AMS
LBA,AMS
OPO,AMS
KEF,AMS
CDG,AMS
ZRH,AMS
TFS,AMS
GVA,AMS
INV,AMS
NAP,AMS
OLB,AMS
PVK,AMS
PMI,AMS
LJU,AMS
FAO,AMS
MXP,AMS
CTA,AMS
KGS,AMS
DBV,AMS
CHQ,AMS
MAH,AMS
MLA,AMS
AOK,AMS
LTN,AMS
ORK,AMS
VIE,AMS
AMS,AMS
RHO,AMS
PSA,AMS
PLQ,AMS
STN,AMS
GRX,AMS
VRN,AMS
BFS,AMS
PDL,AMS
FUE,AMS
BIQ,AMS
LCY,AMS
EXT,AMS
BHD,AMS
LPL,AMS
FNC,AMS
SKG,AMS
ORY,AMS
SVQ,AMS
BRI,AMS
BOJ,AMS
SKP,AMS
RMO,AMS
SMI,AMS
KLX,AMS
OHD,AMS
EFL,AMS
JMK,AMS
MJT,AMS
JTR,AMS
SEN,AMS
CFU,AMS
TIA,AMS
PMO,AMS
OVD,AMS
ACE,AMS
PUY,AMS
SCQ,AMS
INN,AMS
AEY,AMS
NCE,LHR
AMS,LCY
AMS,LGW
CDG,LGW
AMS,LHR
LIN,LCY
LDY,LHR
CDG,LHR
FCO,LCY
AMS,LTN
CDG,LTN
IOM,LHR
ORY,LHR
ORY,LGW
AMS,STN
CDG,SEN
AMS,SEN
CDG,MAD
AMS,MAD
LPA,MAD
ORY,MAD
PMI,MAD
TFN,MAD
BIO,MAD
LCG,MAD
VGO,MAD
IBZ,MAD
BCN,MAD
ATH,MAD
OPO,MAD
VCE,MAD
VLC,MAD
ACE,MAD
FCO,MAD
LIS,MAD
ALC,MAD
MXP,MAD
ZRH,MAD
ATH,CDG
KEF,CDG
ATH,ORY
CHQ,ORY
OTP,CDG
HEL,CDG
AGP,CDG
HER,CDG
VCE,CDG
MAD,CDG
HAJ,CDG
ARN,CDG
HAM,CDG
MRS,CDG
BOD,CDG
MLA,CDG
AJA,ORY
BIA,ORY
FCO,CDG
WAW,CDG
OSL,CDG
GOT,CDG
NCE,CDG
TLS,CDG
VIE,ORY
LIS,ORY
