origin,destination,endRange,startRange,totalPages,totalFlights,nb_of_pages_already_retrieved,completion,response,timestamp,message,aircraftRegistration,aircraftType,arrivalCity,carrierCode,consumerHost,departureCity,flightNumber,movementType,operatingAirlineCode,operationalSuffix,serviceType,timeOriginType,timeType,call_parameters
,AGP,2025-11-02T23:59:59Z,2025-10-15T00:00:00Z,4.0,312.0,4.0,100.0,<Response [200]>,2025-11-08T15:34:39.711185,,,,,,,,,,,,,,,destination=AGP&endRange=2025-11-02T23:59:59Z&startRange=2025-10-15T00:00:00Z
,AMS,2025-11-02T23:59:59Z,2025-10-15T00:00:00Z,133.0,13234.0,133.0,100.0,<Response [200]>,2025-11-08T15:34:39.784541,,,,,,,,,,,,,,,destination=AMS&endRange=2025-11-02T23:59:59Z&startRange=2025-10-15T00:00:00Z
,ARN,2025-11-02T23:59:59Z,2025-10-15T00:00:00Z,13.0,1295.0,13.0,100.0,<Response [200]>,2025-11-08T15:34:39.818887,,,,,,,,,,,,,,,destination=ARN&endRange=2025-11-02T23:59:59Z&startRange=2025-10-15T00:00:00Z
,ATH,2025-11-02T23:59:59Z,2025-10-15T00:00:00Z,4.0,383.0,4.0,100.0,<Response [200]>,2025-11-08T15:34:39.849019,,,,,,,,,,,,,,,destination=ATH&endRange=2025-11-02T23:59:59Z&startRange=2025-10-15T00:00:00Z
,BCN,2025-11-02T23:59:59Z,2025-10-15T00:00:00Z,9.0,873.0,9.0,100.0,<Response [200]>,2025-11-08T15:34:39.880959,,,,,,,,,,,,,,,destination=BCN&endRange=2025-11-02T23:59:59Z&startRange=2025-10-15T00:00:00Z
,BER,2025-11-02T23:59:59Z,2025-10-15T00:00:00Z,4.0,393.0,4.0,100.0,<Response [200]>,2025-11-08T15:34:39.912405,,,,,,,,,,,,,,,destination=BER&endRange=2025-11-02T23:59:59Z&startRange=2025-10-15T00:00:00Z
,BGO,2025-11-02T23:59:59Z,2025-10-15T00:00:00Z,7.0,628.0,7.0,100.0,<Response [200]>,2025-11-08T15:34:39.944459,,,,,,,,,,,,,,,destination=BGO&endRange=2025-11-02T23:59:59Z&startRange=2025-10-15T00:00:00Z
,CDG,2025-11-02T23:59:59Z,2025-10-15T00:00:00Z,129.0,12822.0,129.0,100.0,<Response [200]>,2025-11-08T15:34:40.019677,,,,,,,,,,,,,,,destination=CDG&endRange=2025-11-02T23:59:59Z&startRange=2025-10-15T00:00:00Z
,CPH,2025-11-02T23:59:59Z,2025-10-15T00:00:00Z,14.0,1349.0,14.0,100.0,<Response [200]>,2025-11-08T15:34:40.055456,,,,,,,,,,,,,,,destination=CPH&endRange=2025-11-02T23:59:59Z&startRange=2025-10-15T00:00:00Z
,DUB,2025-11-02T23:59:59Z,2025-10-15T00:00:00Z,5.0,487.0,5.0,100.0,<Response [200]>,2025-11-08T15:34:40.087409,,,,,,,,,,,,,,,destination=DUB&endRange=2025-11-02T23:59:59Z&startRange=2025-10-15T00:00:00Z
,FCO,2025-11-02T23:59:59Z,2025-10-15T00:00:00Z,23.0,2213.0,23.0,100.0,<Response [200]>,2025-11-08T15:34:40.125397,,,,,,,,,,,,,,,destination=FCO&endRange=2025-11-02T23:59:59Z&startRange=2025-10-15T00:00:00Z
