aircraftRegistration,aircraftType,arrivalCity,carrierCode,consumerHost,departureCity,destination,flightNumber,movementType,operatingAirlineCode,operationalSuffix,origin,serviceType,timeOriginType,timeType,endRange,startRange,call_parameters,nb_of_pages_already_retrieved,totalPages,completion,totalFlights,response,message,timestamp
,,,,,,PUJ,,,,,MAD,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=PUJ&origin=MAD&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,1,1,100,,,,2025-11-07T19:04:13.935114
,,,,,,NCE,,,,,RUH,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=NCE&origin=RUH&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,,,,,,,
,,,,,,NCE,,,,,ALG,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=NCE&origin=ALG&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,,,,,,,
,,,,,,CDG,,,,,CHQ,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=CDG&origin=CHQ&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,,,,,,,
,,,,,,TLM,,,,,LYS,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=TLM&origin=LYS&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,,,,,,,
,,,,,,TLV,,,,,MAD,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=TLV&origin=MAD&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,,,,,,,
,,,,,,ATL,,,,,CPH,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=ATL&origin=CPH&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,,,,,,,
,,,,,,CPH,,,,,ORD,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=CPH&origin=ORD&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,,,,,,,
,,,,,,CPH,,,,,SEA,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=CPH&origin=SEA&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,,,,,,,
,,,,,,CPH,,,,,SFO,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=CPH&origin=SFO&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,,,,,,,
