aircraftRegistration,aircraftType,arrivalCity,carrierCode,consumerHost,departureCity,destination,flightNumber,movementType,operatingAirlineCode,operationalSuffix,origin,serviceType,timeOriginType,timeType,endRange,startRange,call_parameters,nb_of_pages_already_retrieved,totalPages,completion,totalFlights,response,message,timestamp
,,,,,,ABJ,,,,,BKO,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=ABJ&origin=BKO&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,,,,,,,
,,,,,,ABJ,,,,,DLA,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=ABJ&origin=DLA&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,1,1,100%,55,<Response [200]>,,2025-10-28T10:53:13.305629
,,,,,,ABQ,,,,,ATL,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=ABQ&origin=ATL&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,1.0,7.0,14%,663.0,<Response [200]>,,2025-10-26T16:04:18.124777
,,,,,,ABQ,,,,,LAX,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=ABQ&origin=LAX&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,1.0,5.0,20%,423.0,<Response [200]>,,2025-10-26T16:04:15.781576
,,,,,,ABQ,,,,,MSP,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=ABQ&origin=MSP&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,,,,,,,
,,,,,,ABQ,,,,,SLC,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=ABQ&origin=SLC&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,1.0,7.0,14%,636.0,<Response [200]>,,2025-10-26T15:54:40.227094
,,,,,,ACA,,,,,MEX,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=ACA&origin=MEX&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,1.0,3.0,33%,295.0,<Response [200]>,,2025-10-27T10:39:17.957013
,,,,,,ACC,,,,,JFK,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=ACC&origin=JFK&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,1.0,2.0,50%,153.0,<Response [200]>,,2025-10-27T10:40:41.909689
,,,,,,ADD,,,,,JED,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=ADD&origin=JED&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,1,1,100%,35,<Response [200]>,,2025-10-28T11:09:06.637513
,,,,,,ADD,,,,,LBV,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=ADD&origin=LBV&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,1,1,100%,30,<Response [200]>,,2025-10-28T11:09:09.080158
,,,,,,ADD,,,,,NBO,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=ADD&origin=NBO&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,1,2,50%,114,<Response [200]>,,2025-10-28T11:09:11.546705
,,,,,,ADD,,,,,NSI,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=ADD&origin=NSI&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,1,1,100%,29,<Response [200]>,,2025-10-28T10:52:50.050756
,,,,,,ADL,,,,,DPS,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=ADL&origin=DPS&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,,,,,,,
,,,,,,ADL,,,,,KUL,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=ADL&origin=KUL&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,1,2,50%,109,<Response [200]>,,2025-10-28T10:33:34.338755
,,,,,,ADL,,,,,SYD,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=ADL&origin=SYD&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,1.0,4.0,25%,305.0,<Response [200]>,,2025-10-27T10:14:12.006236
,,,,,,AEP,,,,,ASU,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=AEP&origin=ASU&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,1.0,3.0,33%,241.0,<Response [200]>,,2025-10-27T10:28:49.026344
,,,,,,AEP,,,,,BRC,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=AEP&origin=BRC&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,1.0,4.0,25%,382.0,<Response [200]>,,2025-10-27T10:14:25.288931
,,,,,,AEP,,,,,CNQ,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=AEP&origin=CNQ&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,1,2,50%,141,<Response [200]>,,2025-10-28T10:34:33.154874
,,,,,,AEP,,,,,COR,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=AEP&origin=COR&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,1.0,4.0,25%,307.0,<Response [200]>,,2025-10-27T10:14:22.667045
,,,,,,AEP,,,,,CRD,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=AEP&origin=CRD&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,1.0,5.0,20%,437.0,<Response [200]>,,2025-10-26T15:34:09.588601
,,,,,,AEP,,,,,FMA,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=AEP&origin=FMA&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,1.0,3.0,33%,240.0,<Response [200]>,,2025-10-27T10:07:05.254631
,,,,,,AEP,,,,,FTE,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=AEP&origin=FTE&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,1.0,2.0,50%,197.0,<Response [200]>,,2025-10-27T10:28:43.897567
,,,,,,AEP,,,,,GIG,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=AEP&origin=GIG&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,1.0,3.0,33%,274.0,<Response [200]>,,2025-10-27T10:23:02.835062
,,,,,,AEP,,,,,GRU,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=AEP&origin=GRU&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,1.0,6.0,17%,556.0,<Response [200]>,,2025-10-26T15:34:07.285357
,,,,,,AEP,,,,,IGR,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=AEP&origin=IGR&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,1.0,3.0,33%,292.0,<Response [200]>,,2025-10-27T10:14:09.362425
,,,,,,AEP,,,,,JUJ,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=AEP&origin=JUJ&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,1,2,50%,177,<Response [200]>,,2025-10-28T10:22:38.760179
,,,,,,AEP,,,,,MDZ,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=AEP&origin=MDZ&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,1.0,6.0,17%,580.0,<Response [200]>,,2025-10-26T15:40:05.392265
,,,,,,AEP,,,,,MVD,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=AEP&origin=MVD&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,1.0,3.0,33%,262.0,<Response [200]>,,2025-10-27T10:22:08.320896
,,,,,,AEP,,,,,NQN,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=AEP&origin=NQN&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,,,,,,,
,,,,,,AEP,,,,,PSS,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=AEP&origin=PSS&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,1.0,4.0,25%,312.0,<Response [200]>,,2025-10-27T10:14:06.818531
,,,,,,AEP,,,,,RES,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=AEP&origin=RES&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,1.0,3.0,33%,202.0,<Response [200]>,,2025-10-27T10:22:05.866924
,,,,,,AEP,,,,,RGA,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=AEP&origin=RGA&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,,,,,,,
