aircraftRegistration,aircraftType,arrivalCity,carrierCode,consumerHost,departureCity,destination,flightNumber,movementType,operatingAirlineCode,operationalSuffix,origin,serviceType,timeOriginType,timeType,endRange,startRange,call_parameters,totalPages,totalFlights,nb_of_pages_already_retrieved,completion,response
,,,,,,BIO,,,,,BIQ,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=BIO&origin=BIQ&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,,,,,
,,,,,,FAO,,,,,FNC,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=FAO&origin=FNC&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,,,,,
,,,,,,MXP,,,,,OLB,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=MXP&origin=OLB&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,,,,,
,,,,,,BHX,,,,,EMA,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=BHX&origin=EMA&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,,,,,
,,,,,,SOF,,,,,VAR,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=SOF&origin=VAR&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,5.0,479.0,1.0,20.0,<Response [200]>
,,,,,,RIX,,,,,TLL,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=RIX&origin=TLL&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,4.0,305.0,1.0,25.0,<Response [200]>
,,,,,,TLL,,,,,RIX,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=TLL&origin=RIX&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,3.0,284.0,1.0,33.0,<Response [200]>
,,,,,,RIX,,,,,VNO,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=RIX&origin=VNO&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,3.0,297.0,1.0,33.0,<Response [200]>
,,,,,,TRF,,,,,SVG,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=TRF&origin=SVG&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,3.0,254.0,1.0,33.0,<Response [200]>
,,,,,,VNO,,,,,RIX,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=VNO&origin=RIX&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,3.0,277.0,1.0,33.0,<Response [200]>
,,,,,,RIX,,,,,TMP,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=RIX&origin=TMP&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,3.0,281.0,1.0,33.0,<Response [200]>
,,,,,,VAR,,,,,SOF,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=VAR&origin=SOF&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,3.0,284.0,1.0,33.0,<Response [200]>
,,,,,,PLQ,,,,,RIX,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=PLQ&origin=RIX&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,3.0,232.0,1.0,33.0,<Response [200]>
,,,,,,TGD,,,,,BEG,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=TGD&origin=BEG&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,5.0,458.0,2.0,40.0,<Response [200]>
,,,,,,BEG,,,,,TGD,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=BEG&origin=TGD&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,5.0,458.0,2.0,40.0,<Response [200]>
,,,,,,BEG,,,,,SOF,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=BEG&origin=SOF&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,2.0,188.0,1.0,50.0,<Response [200]>
,,,,,,BEG,,,,,TIV,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=BEG&origin=TIV&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,2.0,153.0,1.0,50.0,<Response [200]>
,,,,,,BEG,,,,,SJJ,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=BEG&origin=SJJ&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,2.0,153.0,1.0,50.0,<Response [200]>
,,,,,,SKG,,,,,BEG,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=SKG&origin=BEG&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,2.0,186.0,1.0,50.0,<Response [200]>
,,,,,,BEG,,,,,SKG,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=BEG&origin=SKG&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,2.0,186.0,1.0,50.0,<Response [200]>
,,,,,,SVG,,,,,TRF,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=SVG&origin=TRF&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,2.0,125.0,1.0,50.0,<Response [200]>
,,,,,,SJJ,,,,,BEG,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=SJJ&origin=BEG&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,2.0,153.0,1.0,50.0,<Response [200]>
,,,,,,TMP,,,,,RIX,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=TMP&origin=RIX&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,2.0,153.0,1.0,50.0,<Response [200]>
,,,,,,RIX,,,,,PLQ,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=RIX&origin=PLQ&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,2.0,130.0,1.0,50.0,<Response [200]>
,,,,,,TIV,,,,,BEG,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=TIV&origin=BEG&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,2.0,153.0,1.0,50.0,<Response [200]>
,,,,,,TIA,,,,,BEG,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=TIA&origin=BEG&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,3.0,248.0,2.0,67.0,<Response [200]>
,,,,,,BEG,,,,,SKP,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=BEG&origin=SKP&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,3.0,292.0,2.0,67.0,<Response [200]>
,,,,,,SKP,,,,,BEG,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=SKP&origin=BEG&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,3.0,292.0,2.0,67.0,<Response [200]>
,,,,,,BEG,,,,,TIA,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=BEG&origin=TIA&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,3.0,248.0,2.0,67.0,<Response [200]>
,,,,,,SOF,,,,,BEG,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=SOF&origin=BEG&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,2.0,188.0,2.0,100.0,<Response [200]>
,,,,,,CRL,,,,,AJA,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=CRL&origin=AJA&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,1.0,91.0,1.0,100.0,<Response [200]>
,,,,,,AJA,,,,,CRL,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=AJA&origin=CRL&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,1.0,90.0,1.0,100.0,<Response [200]>
,,,,,,BLL,,,,,FAE,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=BLL&origin=FAE&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,1.0,90.0,1.0,100.0,<Response [200]>
,,,,,,TOS,,,,,BOO,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=TOS&origin=BOO&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,1.0,88.0,1.0,100.0,<Response [200]>
,,,,,,BIA,,,,,CRL,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=BIA&origin=CRL&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,1.0,84.0,1.0,100.0,<Response [200]>
,,,,,,CRL,,,,,BIA,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=CRL&origin=BIA&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,1.0,82.0,1.0,100.0,<Response [200]>
,,,,,,BOJ,,,,,SOF,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=BOJ&origin=SOF&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,1.0,75.0,1.0,100.0,<Response [200]>
,,,,,,SOF,,,,,BOJ,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=SOF&origin=BOJ&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,1.0,75.0,1.0,100.0,<Response [200]>
,,,,,,BOO,,,,,TOS,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=BOO&origin=TOS&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,1.0,74.0,1.0,100.0,<Response [200]>
,,,,,,BEG,,,,,VAR,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=BEG&origin=VAR&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,1.0,66.0,1.0,100.0,<Response [200]>
,,,,,,VAR,,,,,BEG,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=VAR&origin=BEG&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,1.0,66.0,1.0,100.0,<Response [200]>
,,,,,,FAE,,,,,BLL,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=FAE&origin=BLL&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,1.0,60.0,1.0,100.0,<Response [200]>
,,,,,,FAE,,,,,KEF,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=FAE&origin=KEF&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,1.0,59.0,1.0,100.0,<Response [200]>
,,,,,,LED,,,,,SVO,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=LED&origin=SVO&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,1.0,47.0,1.0,100.0,<Response [200]>
,,,,,,SVO,,,,,LED,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=SVO&origin=LED&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,1.0,45.0,1.0,100.0,<Response [200]>
,,,,,,SVO,,,,,KUF,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=SVO&origin=KUF&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,1.0,44.0,1.0,100.0,<Response [200]>
,,,,,,EDI,,,,,FAE,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=EDI&origin=FAE&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,1.0,43.0,1.0,100.0,<Response [200]>
,,,,,,KUF,,,,,SVO,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=KUF&origin=SVO&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,1.0,43.0,1.0,100.0,<Response [200]>
,,,,,,FAE,,,,,EDI,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=FAE&origin=EDI&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,1.0,42.0,1.0,100.0,<Response [200]>
,,,,,,VOG,,,,,SVO,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=VOG&origin=SVO&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,1.0,31.0,1.0,100.0,<Response [200]>
,,,,,,OHD,,,,,BEG,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=OHD&origin=BEG&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,1.0,29.0,1.0,100.0,<Response [200]>
,,,,,,BEG,,,,,OHD,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=BEG&origin=OHD&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,1.0,28.0,1.0,100.0,<Response [200]>
