aircraftRegistration,aircraftType,arrivalCity,carrierCode,consumerHost,departureCity,destination,flightNumber,movementType,operatingAirlineCode,operationalSuffix,origin,serviceType,timeOriginType,timeType,endRange,startRange,call_parameters,nb_of_pages_already_retrieved,totalPages,completion,totalFlights,response,message,timestamp
,,,,,,CDG,,,,,AAE,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=CDG&origin=AAE&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z&call_parameters=destination=CDG&origin=AAE&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z&call_parameters=destination=CDG&origin=AAE&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z&call_parameters=destination=CDG&origin=AAE&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z&nb_of_pages_already_retrieved=1.0&totalPages=1.0&completion=100.0&totalFlights=95.0&response=<Response [200]>&timestamp=2025-11-09T18:32:23.000120&nb_of_pages_already_retrieved=1.0&totalPages=1.0&completion=100.0&totalFlights=95.0&response=<Response [200]>&timestamp=2025-11-09T18:32:23.000120&nb_of_pages_already_retrieved=1.0&totalPages=1.0&completion=100.0&totalFlights=95.0&response=<Response [200]>&timestamp=2025-11-09T18:32:23.000120,1.0,1.0,100.0,95.0,<Response [200]>,,2025-11-09T18:32:23.000120
,,,,,,ORY,,,,,AAE,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=ORY&origin=AAE&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z&call_parameters=destination=ORY&origin=AAE&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z&call_parameters=destination=ORY&origin=AAE&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z&call_parameters=destination=ORY&origin=AAE&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z&nb_of_pages_already_retrieved=1.0&totalPages=1.0&completion=100.0&totalFlights=66.0&response=<Response [200]>&timestamp=2025-11-09T18:33:19.470479&nb_of_pages_already_retrieved=1.0&totalPages=1.0&completion=100.0&totalFlights=66.0&response=<Response [200]>&timestamp=2025-11-09T18:33:19.470479&nb_of_pages_already_retrieved=1.0&totalPages=1.0&completion=100.0&totalFlights=66.0&response=<Response [200]>&timestamp=2025-11-09T18:33:19.470479,1.0,1.0,100.0,66.0,<Response [200]>,,2025-11-09T18:33:19.470479
,,,,,,CDG,,,,,ABJ,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=CDG&origin=ABJ&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z&call_parameters=destination=CDG&origin=ABJ&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z&call_parameters=destination=CDG&origin=ABJ&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z&call_parameters=destination=CDG&origin=ABJ&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z&nb_of_pages_already_retrieved=4.0&totalPages=4.0&completion=100.0&totalFlights=313.0&response=<Response [200]>&timestamp=2025-11-09T18:34:31.491484&nb_of_pages_already_retrieved=4.0&totalPages=4.0&completion=100.0&totalFlights=313.0&response=<Response [200]>&timestamp=2025-11-09T18:34:31.491484&nb_of_pages_already_retrieved=4.0&totalPages=4.0&completion=100.0&totalFlights=313.0&response=<Response [200]>&timestamp=2025-11-09T18:34:31.491484,4.0,4.0,100.0,313.0,<Response [200]>,,2025-11-09T18:34:31.491484
,,,,,,ORY,,,,,ABJ,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=ORY&origin=ABJ&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z&call_parameters=destination=ORY&origin=ABJ&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z&call_parameters=destination=ORY&origin=ABJ&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z&call_parameters=destination=ORY&origin=ABJ&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z&nb_of_pages_already_retrieved=2.0&totalPages=2.0&completion=100.0&totalFlights=185.0&response=<Response [200]>&timestamp=2025-11-09T18:34:34.986308&nb_of_pages_already_retrieved=2.0&totalPages=2.0&completion=100.0&totalFlights=185.0&response=<Response [200]>&timestamp=2025-11-09T18:34:34.986308&nb_of_pages_already_retrieved=2.0&totalPages=2.0&completion=100.0&totalFlights=185.0&response=<Response [200]>&timestamp=2025-11-09T18:34:34.986308,2.0,2.0,100.0,185.0,<Response [200]>,,2025-11-09T18:34:34.986308
,,,,,,AMS,,,,,ACC,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=AMS&origin=ACC&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z&call_parameters=destination=AMS&origin=ACC&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z&call_parameters=destination=AMS&origin=ACC&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z&call_parameters=destination=AMS&origin=ACC&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z&nb_of_pages_already_retrieved=2.0&totalPages=2.0&completion=100.0&totalFlights=153.0&response=<Response [200]>&timestamp=2025-11-09T18:34:37.701059&nb_of_pages_already_retrieved=2.0&totalPages=2.0&completion=100.0&totalFlights=153.0&response=<Response [200]>&timestamp=2025-11-09T18:34:37.701059&nb_of_pages_already_retrieved=2.0&totalPages=2.0&completion=100.0&totalFlights=153.0&response=<Response [200]>&timestamp=2025-11-09T18:34:37.701059,2.0,2.0,100.0,153.0,<Response [200]>,,2025-11-09T18:34:37.701059
,,,,,,AMS,,,,,ADB,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=AMS&origin=ADB&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z&call_parameters=destination=AMS&origin=ADB&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z&call_parameters=destination=AMS&origin=ADB&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z&call_parameters=destination=AMS&origin=ADB&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z&nb_of_pages_already_retrieved=3.0&totalPages=3.0&completion=100.0&totalFlights=209.0&response=<Response [200]>&timestamp=2025-11-09T18:34:32.197142&nb_of_pages_already_retrieved=3.0&totalPages=3.0&completion=100.0&totalFlights=209.0&response=<Response [200]>&timestamp=2025-11-09T18:34:32.197142&nb_of_pages_already_retrieved=3.0&totalPages=3.0&completion=100.0&totalFlights=209.0&response=<Response [200]>&timestamp=2025-11-09T18:34:32.197142,3.0,3.0,100.0,209.0,<Response [200]>,,2025-11-09T18:34:32.197142
,,,,,,CDG,,,,,ADB,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=CDG&origin=ADB&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z&call_parameters=destination=CDG&origin=ADB&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z&call_parameters=destination=CDG&origin=ADB&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z&call_parameters=destination=CDG&origin=ADB&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z&nb_of_pages_already_retrieved=2.0&totalPages=2.0&completion=100.0&totalFlights=152.0&response=<Response [200]>&timestamp=2025-11-09T18:34:35.411850&nb_of_pages_already_retrieved=2.0&totalPages=2.0&completion=100.0&totalFlights=152.0&response=<Response [200]>&timestamp=2025-11-09T18:34:35.411850&nb_of_pages_already_retrieved=2.0&totalPages=2.0&completion=100.0&totalFlights=152.0&response=<Response [200]>&timestamp=2025-11-09T18:34:35.411850,2.0,2.0,100.0,152.0,<Response [200]>,,2025-11-09T18:34:35.411850
,,,,,,ORY,,,,,ADB,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=ORY&origin=ADB&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z&call_parameters=destination=ORY&origin=ADB&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z&call_parameters=destination=ORY&origin=ADB&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z&call_parameters=destination=ORY&origin=ADB&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z&nb_of_pages_already_retrieved=1.0&totalPages=1.0&completion=100.0&totalFlights=75.0&response=<Response [200]>&timestamp=2025-11-09T18:32:46.752254&nb_of_pages_already_retrieved=1.0&totalPages=1.0&completion=100.0&totalFlights=75.0&response=<Response [200]>&timestamp=2025-11-09T18:32:46.752254&nb_of_pages_already_retrieved=1.0&totalPages=1.0&completion=100.0&totalFlights=75.0&response=<Response [200]>&timestamp=2025-11-09T18:32:46.752254,1.0,1.0,100.0,75.0,<Response [200]>,,2025-11-09T18:32:46.752254
,,,,,,CDG,,,,,ADD,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=CDG&origin=ADD&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z&call_parameters=destination=CDG&origin=ADD&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z&call_parameters=destination=CDG&origin=ADD&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z&call_parameters=destination=CDG&origin=ADD&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z&nb_of_pages_already_retrieved=2.0&totalPages=2.0&completion=100.0&totalFlights=153.0&response=<Response [200]>&timestamp=2025-11-09T18:34:38.612266&nb_of_pages_already_retrieved=2.0&totalPages=2.0&completion=100.0&totalFlights=153.0&response=<Response [200]>&timestamp=2025-11-09T18:34:38.612266&nb_of_pages_already_retrieved=2.0&totalPages=2.0&completion=100.0&totalFlights=153.0&response=<Response [200]>&timestamp=2025-11-09T18:34:38.612266,2.0,2.0,100.0,153.0,<Response [200]>,,2025-11-09T18:34:38.612266
,,,,,,AMS,,,,,AGA,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=AMS&origin=AGA&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z&call_parameters=destination=AMS&origin=AGA&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z&call_parameters=destination=AMS&origin=AGA&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z&call_parameters=destination=AMS&origin=AGA&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z&nb_of_pages_already_retrieved=1.0&totalPages=1.0&completion=100.0&totalFlights=70.0&response=<Response [200]>&timestamp=2025-11-09T18:32:55.803348&nb_of_pages_already_retrieved=1.0&totalPages=1.0&completion=100.0&totalFlights=70.0&response=<Response [200]>&timestamp=2025-11-09T18:32:55.803348&nb_of_pages_already_retrieved=1.0&totalPages=1.0&completion=100.0&totalFlights=70.0&response=<Response [200]>&timestamp=2025-11-09T18:32:55.803348,1.0,1.0,100.0,70.0,<Response [200]>,,2025-11-09T18:32:55.803348
