aircraftRegistration,aircraftType,arrivalCity,carrierCode,consumerHost,departureCity,destination,flightNumber,movementType,operatingAirlineCode,operationalSuffix,origin,serviceType,timeOriginType,timeType,endRange,startRange,call_parameters,totalPages,totalFlights,nb_of_pages_already_retrieved,completion,response,timestamp,message
,,,,,,CDG,,,,,ATL,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,"destination=CDG&origin=ATL&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z&call_parameters=destination=CDG&origin=ATL&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z&call_parameters=destination=CDG&origin=ATL&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z&call_parameters=destination=CDG&origin=ATL&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z&totalPages=8.0&totalFlights=771.0&nb_of_pages_already_retrieved=1.0&completion=12.0&response=<Response [504]>&timestamp=2025-11-02T12:51:13.749823&message=<html><body><h1>504 Gateway Time-out</h1>
The server didn't respond in time.
</body></html>
&totalPages=8.0&totalFlights=771.0&nb_of_pages_already_retrieved=1.0&completion=12.0&response=<Response [504]>&timestamp=2025-11-02T12:51:13.749823&message=<html><body><h1>504 Gateway Time-out</h1>
The server didn't respond in time.
</body></html>
&totalPages=8.0&totalFlights=771.0&nb_of_pages_already_retrieved=1.0&completion=12.0&response=<Response [504]>&timestamp=2025-11-02T12:51:13.749823&message=<html><body><h1>504 Gateway Time-out</h1>
The server didn't respond in time.
</body></html>
",8.0,771.0,1.0,12.0,<Response [504]>,2025-11-02T12:51:13.749823,"<html><body><h1>504 Gateway Time-out</h1>
The server didn't respond in time.
</body></html>
"
,,,,,,AMS,,,,,ATL,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,"destination=AMS&origin=ATL&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z&call_parameters=destination=AMS&origin=ATL&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z&call_parameters=destination=AMS&origin=ATL&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z&call_parameters=destination=AMS&origin=ATL&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z&totalPages=7.0&totalFlights=613.0&nb_of_pages_already_retrieved=1.0&completion=14.0&response=<Response [504]>&timestamp=2025-11-02T12:56:24.344890&message=<html><body><h1>504 Gateway Time-out</h1>
The server didn't respond in time.
</body></html>
&totalPages=7.0&totalFlights=613.0&nb_of_pages_already_retrieved=1.0&completion=14.0&response=<Response [504]>&timestamp=2025-11-02T12:56:24.344890&message=<html><body><h1>504 Gateway Time-out</h1>
The server didn't respond in time.
</body></html>
&totalPages=7.0&totalFlights=613.0&nb_of_pages_already_retrieved=1.0&completion=14.0&response=<Response [504]>&timestamp=2025-11-02T12:56:24.344890&message=<html><body><h1>504 Gateway Time-out</h1>
The server didn't respond in time.
</body></html>
",7.0,613.0,1.0,14.0,<Response [504]>,2025-11-02T12:56:24.344890,"<html><body><h1>504 Gateway Time-out</h1>
The server didn't respond in time.
</body></html>
"
,,,,,,LHR,,,,,ATL,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,"destination=LHR&origin=ATL&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z&call_parameters=destination=LHR&origin=ATL&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z&call_parameters=destination=LHR&origin=ATL&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z&call_parameters=destination=LHR&origin=ATL&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z&totalPages=7.0&totalFlights=610.0&nb_of_pages_already_retrieved=1.0&completion=14.0&response=<Response [504]>&timestamp=2025-11-02T13:00:47.069928&message=<html><body><h1>504 Gateway Time-out</h1>
The server didn't respond in time.
</body></html>
&totalPages=7.0&totalFlights=610.0&nb_of_pages_already_retrieved=1.0&completion=14.0&response=<Response [504]>&timestamp=2025-11-02T13:00:47.069928&message=<html><body><h1>504 Gateway Time-out</h1>
The server didn't respond in time.
</body></html>
&totalPages=7.0&totalFlights=610.0&nb_of_pages_already_retrieved=1.0&completion=14.0&response=<Response [504]>&timestamp=2025-11-02T13:00:47.069928&message=<html><body><h1>504 Gateway Time-out</h1>
The server didn't respond in time.
</body></html>
",7.0,610.0,1.0,14.0,<Response [504]>,2025-11-02T13:00:47.069928,"<html><body><h1>504 Gateway Time-out</h1>
The server didn't respond in time.
</body></html>
"
,,,,,,HER,,,,,AMS,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,"destination=HER&origin=AMS&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z&call_parameters=destination=HER&origin=AMS&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z&call_parameters=destination=HER&origin=AMS&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z&call_parameters=destination=HER&origin=AMS&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z&totalPages=6.0&totalFlights=536.0&nb_of_pages_already_retrieved=1.0&completion=17.0&response=<Response [500]>&timestamp=2025-11-02T13:11:37.120750&message={""errors"":[{""name"":""INTERNAL_SERVER_ERROR""}]}&totalPages=6.0&totalFlights=536.0&nb_of_pages_already_retrieved=1.0&completion=17.0&response=<Response [500]>&timestamp=2025-11-02T13:11:37.120750&message={""errors"":[{""name"":""INTERNAL_SERVER_ERROR""}]}&totalPages=6.0&totalFlights=536.0&nb_of_pages_already_retrieved=1.0&completion=17.0&response=<Response [500]>&timestamp=2025-11-02T13:11:37.120750&message={""errors"":[{""name"":""INTERNAL_SERVER_ERROR""}]}",6.0,536.0,1.0,17.0,<Response [500]>,2025-11-02T13:11:37.120750,"{""errors"":[{""name"":""INTERNAL_SERVER_ERROR""}]}"
,,,,,,SKG,,,,,AMS,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,"destination=SKG&origin=AMS&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z&call_parameters=destination=SKG&origin=AMS&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z&call_parameters=destination=SKG&origin=AMS&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z&call_parameters=destination=SKG&origin=AMS&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z&totalPages=3.0&totalFlights=215.0&nb_of_pages_already_retrieved=1.0&completion=33.0&response=<Response [500]>&timestamp=2025-11-02T13:47:33.333923&message={""errors"":[{""name"":""INTERNAL_SERVER_ERROR""}]}&totalPages=3.0&totalFlights=215.0&nb_of_pages_already_retrieved=1.0&completion=33.0&response=<Response [500]>&timestamp=2025-11-02T13:47:33.333923&message={""errors"":[{""name"":""INTERNAL_SERVER_ERROR""}]}&totalPages=3.0&totalFlights=215.0&nb_of_pages_already_retrieved=1.0&completion=33.0&response=<Response [500]>&timestamp=2025-11-02T13:47:33.333923&message={""errors"":[{""name"":""INTERNAL_SERVER_ERROR""}]}",3.0,215.0,1.0,33.0,<Response [500]>,2025-11-02T13:47:33.333923,"{""errors"":[{""name"":""INTERNAL_SERVER_ERROR""}]}"
,,,,,,AMS,,,,,FNC,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,"destination=AMS&origin=FNC&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z&call_parameters=destination=AMS&origin=FNC&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z&call_parameters=destination=AMS&origin=FNC&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z&call_parameters=destination=AMS&origin=FNC&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z&totalPages=3.0&totalFlights=248.0&nb_of_pages_already_retrieved=1.0&completion=33.0&response=<Response [500]>&timestamp=2025-11-02T13:47:15.748112&message={""errors"":[{""name"":""INTERNAL_SERVER_ERROR""}]}&totalPages=3.0&totalFlights=248.0&nb_of_pages_already_retrieved=1.0&completion=33.0&response=<Response [500]>&timestamp=2025-11-02T13:47:15.748112&message={""errors"":[{""name"":""INTERNAL_SERVER_ERROR""}]}&totalPages=3.0&totalFlights=248.0&nb_of_pages_already_retrieved=1.0&completion=33.0&response=<Response [500]>&timestamp=2025-11-02T13:47:15.748112&message={""errors"":[{""name"":""INTERNAL_SERVER_ERROR""}]}",3.0,248.0,1.0,33.0,<Response [500]>,2025-11-02T13:47:15.748112,"{""errors"":[{""name"":""INTERNAL_SERVER_ERROR""}]}"
,,,,,,CDG,,,,,MSP,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,"destination=CDG&origin=MSP&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z&call_parameters=destination=CDG&origin=MSP&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z&call_parameters=destination=CDG&origin=MSP&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z&call_parameters=destination=CDG&origin=MSP&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z&totalPages=3.0&totalFlights=284.0&nb_of_pages_already_retrieved=1.0&completion=33.0&response=<Response [504]>&timestamp=2025-11-02T13:45:14.097022&message=<html><body><h1>504 Gateway Time-out</h1>
The server didn't respond in time.
</body></html>
&totalPages=3.0&totalFlights=284.0&nb_of_pages_already_retrieved=1.0&completion=33.0&response=<Response [504]>&timestamp=2025-11-02T13:45:14.097022&message=<html><body><h1>504 Gateway Time-out</h1>
The server didn't respond in time.
</body></html>
&totalPages=3.0&totalFlights=284.0&nb_of_pages_already_retrieved=1.0&completion=33.0&response=<Response [504]>&timestamp=2025-11-02T13:45:14.097022&message=<html><body><h1>504 Gateway Time-out</h1>
The server didn't respond in time.
</body></html>
",3.0,284.0,1.0,33.0,<Response [504]>,2025-11-02T13:45:14.097022,"<html><body><h1>504 Gateway Time-out</h1>
The server didn't respond in time.
</body></html>
"
,,,,,,FRA,,,,,AMS,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,"destination=FRA&origin=AMS&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z&call_parameters=destination=FRA&origin=AMS&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z&call_parameters=destination=FRA&origin=AMS&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z&call_parameters=destination=FRA&origin=AMS&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z&totalPages=18.0&totalFlights=1728.0&nb_of_pages_already_retrieved=7.0&completion=39.0&response=<Response [500]>&timestamp=2025-11-04T12:05:00.320586&message={""errors"":[{""name"":""INTERNAL_SERVER_ERROR""}]}&totalPages=18.0&totalFlights=1728.0&nb_of_pages_already_retrieved=7.0&completion=39.0&response=<Response [500]>&timestamp=2025-11-04T12:05:00.320586&message={""errors"":[{""name"":""INTERNAL_SERVER_ERROR""}]}&totalPages=18.0&totalFlights=1728.0&nb_of_pages_already_retrieved=7.0&completion=39.0&response=<Response [500]>&timestamp=2025-11-04T12:05:00.320586&message={""errors"":[{""name"":""INTERNAL_SERVER_ERROR""}]}",18.0,1728.0,7.0,39.0,<Response [500]>,2025-11-04T12:05:00.320586,"{""errors"":[{""name"":""INTERNAL_SERVER_ERROR""}]}"
,,,,,,AMS,,,,,TLV,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,"destination=AMS&origin=TLV&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z&call_parameters=destination=AMS&origin=TLV&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z&call_parameters=destination=AMS&origin=TLV&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z&call_parameters=destination=AMS&origin=TLV&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z&totalPages=5.0&totalFlights=480.0&nb_of_pages_already_retrieved=2.0&completion=40.0&response=<Response [500]>&timestamp=2025-11-02T13:18:58.744276&message={""errors"":[{""name"":""INTERNAL_SERVER_ERROR""}]}&totalPages=5.0&totalFlights=480.0&nb_of_pages_already_retrieved=2.0&completion=40.0&response=<Response [500]>&timestamp=2025-11-02T13:18:58.744276&message={""errors"":[{""name"":""INTERNAL_SERVER_ERROR""}]}&totalPages=5.0&totalFlights=480.0&nb_of_pages_already_retrieved=2.0&completion=40.0&response=<Response [500]>&timestamp=2025-11-02T13:18:58.744276&message={""errors"":[{""name"":""INTERNAL_SERVER_ERROR""}]}",5.0,480.0,2.0,40.0,<Response [500]>,2025-11-02T13:18:58.744276,"{""errors"":[{""name"":""INTERNAL_SERVER_ERROR""}]}"
,,,,,,STN,,,,,AMS,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,"destination=STN&origin=AMS&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z&call_parameters=destination=STN&origin=AMS&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z&call_parameters=destination=STN&origin=AMS&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z&call_parameters=destination=STN&origin=AMS&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z&totalPages=2.0&totalFlights=167.0&nb_of_pages_already_retrieved=1.0&completion=50.0&response=<Response [500]>&timestamp=2025-11-04T12:05:07.581449&message={""errors"":[{""name"":""INTERNAL_SERVER_ERROR""}]}&totalPages=2.0&totalFlights=167.0&nb_of_pages_already_retrieved=1.0&completion=50.0&response=<Response [500]>&timestamp=2025-11-04T12:05:07.581449&message={""errors"":[{""name"":""INTERNAL_SERVER_ERROR""}]}&totalPages=2.0&totalFlights=167.0&nb_of_pages_already_retrieved=1.0&completion=50.0&response=<Response [500]>&timestamp=2025-11-04T12:05:07.581449&message={""errors"":[{""name"":""INTERNAL_SERVER_ERROR""}]}",2.0,167.0,1.0,50.0,<Response [500]>,2025-11-04T12:05:07.581449,"{""errors"":[{""name"":""INTERNAL_SERVER_ERROR""}]}"
