aircraftRegistration,aircraftType,arrivalCity,carrierCode,consumerHost,departureCity,destination,flightNumber,movementType,operatingAirlineCode,operationalSuffix,origin,serviceType,timeOriginType,timeType,endRange,startRange,call_parameters,totalPages,totalFlights,nb_of_pages_already_retrieved,completion,response,timestamp,message
,,,,,,HER,,,,,AMS,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,"destination=HER&origin=AMS&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z&call_parameters=destination=HER&origin=AMS&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z&call_parameters=destination=HER&origin=AMS&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z&call_parameters=destination=HER&origin=AMS&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z&totalPages=6.0&totalFlights=536.0&nb_of_pages_already_retrieved=1.0&completion=17.0&response=<Response [500]>&timestamp=2025-11-04T12:05:34.686027&message={""errors"":[{""name"":""INTERNAL_SERVER_ERROR""}]}&totalPages=6.0&totalFlights=536.0&nb_of_pages_already_retrieved=1.0&completion=17.0&response=<Response [500]>&timestamp=2025-11-04T12:05:34.686027&message={""errors"":[{""name"":""INTERNAL_SERVER_ERROR""}]}&totalPages=6.0&totalFlights=536.0&nb_of_pages_already_retrieved=1.0&completion=17.0&response=<Response [500]>&timestamp=2025-11-04T12:05:34.686027&message={""errors"":[{""name"":""INTERNAL_SERVER_ERROR""}]}",6.0,536.0,1.0,17.0,<Response [500]>,2025-11-04T12:05:34.686027,"{""errors"":[{""name"":""INTERNAL_SERVER_ERROR""}]}"
,,,,,,SKG,,,,,AMS,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,"destination=SKG&origin=AMS&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z&call_parameters=destination=SKG&origin=AMS&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z&call_parameters=destination=SKG&origin=AMS&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z&call_parameters=destination=SKG&origin=AMS&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z&totalPages=3.0&totalFlights=215.0&nb_of_pages_already_retrieved=1.0&completion=33.0&response=<Response [500]>&timestamp=2025-11-04T12:05:40.332890&message={""errors"":[{""name"":""INTERNAL_SERVER_ERROR""}]}&totalPages=3.0&totalFlights=215.0&nb_of_pages_already_retrieved=1.0&completion=33.0&response=<Response [500]>&timestamp=2025-11-04T12:05:40.332890&message={""errors"":[{""name"":""INTERNAL_SERVER_ERROR""}]}&totalPages=3.0&totalFlights=215.0&nb_of_pages_already_retrieved=1.0&completion=33.0&response=<Response [500]>&timestamp=2025-11-04T12:05:40.332890&message={""errors"":[{""name"":""INTERNAL_SERVER_ERROR""}]}",3.0,215.0,1.0,33.0,<Response [500]>,2025-11-04T12:05:40.332890,"{""errors"":[{""name"":""INTERNAL_SERVER_ERROR""}]}"
,,,,,,AMS,,,,,FNC,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,"destination=AMS&origin=FNC&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z&call_parameters=destination=AMS&origin=FNC&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z&call_parameters=destination=AMS&origin=FNC&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z&call_parameters=destination=AMS&origin=FNC&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z&totalPages=3.0&totalFlights=248.0&nb_of_pages_already_retrieved=1.0&completion=33.0&response=<Response [500]>&timestamp=2025-11-04T12:05:37.818528&message={""errors"":[{""name"":""INTERNAL_SERVER_ERROR""}]}&totalPages=3.0&totalFlights=248.0&nb_of_pages_already_retrieved=1.0&completion=33.0&response=<Response [500]>&timestamp=2025-11-04T12:05:37.818528&message={""errors"":[{""name"":""INTERNAL_SERVER_ERROR""}]}&totalPages=3.0&totalFlights=248.0&nb_of_pages_already_retrieved=1.0&completion=33.0&response=<Response [500]>&timestamp=2025-11-04T12:05:37.818528&message={""errors"":[{""name"":""INTERNAL_SERVER_ERROR""}]}",3.0,248.0,1.0,33.0,<Response [500]>,2025-11-04T12:05:37.818528,"{""errors"":[{""name"":""INTERNAL_SERVER_ERROR""}]}"
,,,,,,FRA,,,,,AMS,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,"destination=FRA&origin=AMS&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z&call_parameters=destination=FRA&origin=AMS&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z&call_parameters=destination=FRA&origin=AMS&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z&call_parameters=destination=FRA&origin=AMS&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z&totalPages=18.0&totalFlights=1728.0&nb_of_pages_already_retrieved=7.0&completion=39.0&response=<Response [500]>&timestamp=2025-11-04T12:05:43.375264&message={""errors"":[{""name"":""INTERNAL_SERVER_ERROR""}]}&totalPages=18.0&totalFlights=1728.0&nb_of_pages_already_retrieved=7.0&completion=39.0&response=<Response [500]>&timestamp=2025-11-04T12:05:43.375264&message={""errors"":[{""name"":""INTERNAL_SERVER_ERROR""}]}&totalPages=18.0&totalFlights=1728.0&nb_of_pages_already_retrieved=7.0&completion=39.0&response=<Response [500]>&timestamp=2025-11-04T12:05:43.375264&message={""errors"":[{""name"":""INTERNAL_SERVER_ERROR""}]}",18.0,1728.0,7.0,39.0,<Response [500]>,2025-11-04T12:05:43.375264,"{""errors"":[{""name"":""INTERNAL_SERVER_ERROR""}]}"
,,,,,,TGD,,,,,BEG,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,"destination=TGD&origin=BEG&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z&call_parameters=destination=TGD&origin=BEG&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z&call_parameters=destination=TGD&origin=BEG&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z&call_parameters=destination=TGD&origin=BEG&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z&totalPages=5.0&totalFlights=458.0&nb_of_pages_already_retrieved=2.0&completion=40.0&response=<Response [404]>&timestamp=2025-11-04T12:05:46.001576&message={""errors"":[{""name"":""FLIGHT NOT FOUND"",""severity"":""INFO""}]}&totalPages=5.0&totalFlights=458.0&nb_of_pages_already_retrieved=2.0&completion=40.0&response=<Response [404]>&timestamp=2025-11-04T12:05:46.001576&message={""errors"":[{""name"":""FLIGHT NOT FOUND"",""severity"":""INFO""}]}&totalPages=5.0&totalFlights=458.0&nb_of_pages_already_retrieved=2.0&completion=40.0&response=<Response [404]>&timestamp=2025-11-04T12:05:46.001576&message={""errors"":[{""name"":""FLIGHT NOT FOUND"",""severity"":""INFO""}]}",5.0,458.0,2.0,40.0,<Response [404]>,2025-11-04T12:05:46.001576,"{""errors"":[{""name"":""FLIGHT NOT FOUND"",""severity"":""INFO""}]}"
,,,,,,STN,,,,,AMS,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,"destination=STN&origin=AMS&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z&call_parameters=destination=STN&origin=AMS&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z&call_parameters=destination=STN&origin=AMS&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z&call_parameters=destination=STN&origin=AMS&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z&totalPages=2.0&totalFlights=167.0&nb_of_pages_already_retrieved=1.0&completion=50.0&response=<Response [500]>&timestamp=2025-11-04T12:05:48.829893&message={""errors"":[{""name"":""INTERNAL_SERVER_ERROR""}]}&totalPages=2.0&totalFlights=167.0&nb_of_pages_already_retrieved=1.0&completion=50.0&response=<Response [500]>&timestamp=2025-11-04T12:05:48.829893&message={""errors"":[{""name"":""INTERNAL_SERVER_ERROR""}]}&totalPages=2.0&totalFlights=167.0&nb_of_pages_already_retrieved=1.0&completion=50.0&response=<Response [500]>&timestamp=2025-11-04T12:05:48.829893&message={""errors"":[{""name"":""INTERNAL_SERVER_ERROR""}]}",2.0,167.0,1.0,50.0,<Response [500]>,2025-11-04T12:05:48.829893,"{""errors"":[{""name"":""INTERNAL_SERVER_ERROR""}]}"
,,,,,,AMS,,,,,SOF,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,"destination=AMS&origin=SOF&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z&call_parameters=destination=AMS&origin=SOF&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z&call_parameters=destination=AMS&origin=SOF&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z&call_parameters=destination=AMS&origin=SOF&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z&totalPages=2.0&totalFlights=155.0&nb_of_pages_already_retrieved=1.0&completion=50.0&response=<Response [500]>&timestamp=2025-11-04T12:05:51.586167&message={""errors"":[{""name"":""INTERNAL_SERVER_ERROR""}]}&totalPages=2.0&totalFlights=155.0&nb_of_pages_already_retrieved=1.0&completion=50.0&response=<Response [500]>&timestamp=2025-11-04T12:05:51.586167&message={""errors"":[{""name"":""INTERNAL_SERVER_ERROR""}]}&totalPages=2.0&totalFlights=155.0&nb_of_pages_already_retrieved=1.0&completion=50.0&response=<Response [500]>&timestamp=2025-11-04T12:05:51.586167&message={""errors"":[{""name"":""INTERNAL_SERVER_ERROR""}]}",2.0,155.0,1.0,50.0,<Response [500]>,2025-11-04T12:05:51.586167,"{""errors"":[{""name"":""INTERNAL_SERVER_ERROR""}]}"
,,,,,,AMS,,,,,ALC,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,"destination=AMS&origin=ALC&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z&call_parameters=destination=AMS&origin=ALC&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z&call_parameters=destination=AMS&origin=ALC&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z&call_parameters=destination=AMS&origin=ALC&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z&totalPages=10.0&totalFlights=915.0&nb_of_pages_already_retrieved=6.0&completion=60.0&response=<Response [500]>&timestamp=2025-11-04T12:05:54.385596&message={""errors"":[{""name"":""INTERNAL_SERVER_ERROR""}]}&totalPages=10.0&totalFlights=915.0&nb_of_pages_already_retrieved=6.0&completion=60.0&response=<Response [500]>&timestamp=2025-11-04T12:05:54.385596&message={""errors"":[{""name"":""INTERNAL_SERVER_ERROR""}]}&totalPages=10.0&totalFlights=915.0&nb_of_pages_already_retrieved=6.0&completion=60.0&response=<Response [500]>&timestamp=2025-11-04T12:05:54.385596&message={""errors"":[{""name"":""INTERNAL_SERVER_ERROR""}]}",10.0,915.0,6.0,60.0,<Response [500]>,2025-11-04T12:05:54.385596,"{""errors"":[{""name"":""INTERNAL_SERVER_ERROR""}]}"
,,,,,,BHX,,,,,AMS,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,"destination=BHX&origin=AMS&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z&call_parameters=destination=BHX&origin=AMS&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z&call_parameters=destination=BHX&origin=AMS&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z&call_parameters=destination=BHX&origin=AMS&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z&totalPages=10.0&totalFlights=954.0&nb_of_pages_already_retrieved=7.0&completion=70.0&response=<Response [500]>&timestamp=2025-11-04T12:05:57.082593&message={""errors"":[{""name"":""INTERNAL_SERVER_ERROR""}]}&totalPages=10.0&totalFlights=954.0&nb_of_pages_already_retrieved=7.0&completion=70.0&response=<Response [500]>&timestamp=2025-11-04T12:05:57.082593&message={""errors"":[{""name"":""INTERNAL_SERVER_ERROR""}]}&totalPages=10.0&totalFlights=954.0&nb_of_pages_already_retrieved=7.0&completion=70.0&response=<Response [500]>&timestamp=2025-11-04T12:05:57.082593&message={""errors"":[{""name"":""INTERNAL_SERVER_ERROR""}]}",10.0,954.0,7.0,70.0,<Response [500]>,2025-11-04T12:05:57.082593,"{""errors"":[{""name"":""INTERNAL_SERVER_ERROR""}]}"
,,,,,,FAO,,,,,AMS,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,"destination=FAO&origin=AMS&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z&call_parameters=destination=FAO&origin=AMS&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z&call_parameters=destination=FAO&origin=AMS&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z&call_parameters=destination=FAO&origin=AMS&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z&totalPages=5.0&totalFlights=497.0&nb_of_pages_already_retrieved=4.0&completion=80.0&response=<Response [500]>&timestamp=2025-11-04T12:05:59.720424&message={""errors"":[{""name"":""INTERNAL_SERVER_ERROR""}]}&totalPages=5.0&totalFlights=497.0&nb_of_pages_already_retrieved=4.0&completion=80.0&response=<Response [500]>&timestamp=2025-11-04T12:05:59.720424&message={""errors"":[{""name"":""INTERNAL_SERVER_ERROR""}]}&totalPages=5.0&totalFlights=497.0&nb_of_pages_already_retrieved=4.0&completion=80.0&response=<Response [500]>&timestamp=2025-11-04T12:05:59.720424&message={""errors"":[{""name"":""INTERNAL_SERVER_ERROR""}]}",5.0,497.0,4.0,80.0,<Response [500]>,2025-11-04T12:05:59.720424,"{""errors"":[{""name"":""INTERNAL_SERVER_ERROR""}]}"
