aircraftRegistration,aircraftType,arrivalCity,carrierCode,consumerHost,departureCity,destination,flightNumber,movementType,operatingAirlineCode,operationalSuffix,origin,serviceType,timeOriginType,timeType,endRange,startRange,call_parameters,totalPages,totalFlights,nb_of_pages_already_retrieved,completion,response,timestamp,message
,,,,,,,,,,,CDG,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,origin=CDG&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,1077.0,107692.0,2.0,0.0,<Response [200]>,2025-10-29T12:00:26.609727,
,,,,,,,,,,,AMS,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,origin=AMS&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,1111,111068,1,0,<Response [200]>,2025-10-29T12:01:05.819275,
,,,,,,,,,,,ORY,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,origin=ORY&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,518,51711,1,0,<Response [200]>,2025-10-29T12:01:19.648612,
,,,,,,,,,,,FCO,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,origin=FCO&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,167,16630,1,1,<Response [200]>,2025-10-29T12:01:25.901014,
,,,,,,,,,,,LHR,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,origin=LHR&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,102,10145,1,1,<Response [200]>,2025-10-29T12:01:31.752123,
,,,,,,,,,,,CPH,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,origin=CPH&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,97,9626,1,1,<Response [200]>,2025-10-29T12:01:37.683755,
,,,,,,,,,,,MAD,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,origin=MAD&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,104,10316,1,1,<Response [200]>,2025-10-29T12:01:43.349393,
,,,,,,,,,,,ARN,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,origin=ARN&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,118,11776,1,1,<Response [200]>,2025-10-29T12:01:49.862871,
,,,,,,,,,,,OSL,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,origin=OSL&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,90,8949,1,1,<Response [200]>,2025-10-29T12:01:55.300784,
,,,,,,,,,,,LIN,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,origin=LIN&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,86,8581,1,1,<Response [200]>,2025-10-29T12:01:58.787712,
,,,,,,,,,,,NCE,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,origin=NCE&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,81,8081,1,1,<Response [200]>,2025-10-29T12:02:02.358734,
