aircraftRegistration,aircraftType,arrivalCity,carrierCode,consumerHost,departureCity,destination,flightNumber,movementType,operatingAirlineCode,operationalSuffix,origin,serviceType,timeOriginType,timeType,endRange,startRange,call_parameters,totalPages,totalFlights,nb_of_pages_already_retrieved,completion,response,timestamp,message
,,,,,,HER,,,,,AMS,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=HER&origin=AMS&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,6.0,536.0,1.0,17.0,<Response [500]>,2025-11-03T12:00:26.423519,"{""errors"":[{""name"":""INTERNAL_SERVER_ERROR""}]}"
,,,,,,AMS,,,,,FNC,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=AMS&origin=FNC&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,3.0,248.0,1.0,33.0,<Response [500]>,2025-11-03T11:51:01.477101,"{""errors"":[{""name"":""INTERNAL_SERVER_ERROR""}]}"
,,,,,,SKG,,,,,AMS,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=SKG&origin=AMS&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,3.0,215.0,1.0,33.0,<Response [500]>,2025-11-03T12:01:03.811111,"{""errors"":[{""name"":""INTERNAL_SERVER_ERROR""}]}"
,,,,,,FRA,,,,,AMS,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=FRA&origin=AMS&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,18.0,1728.0,7.0,39.0,<Response [500]>,2025-11-03T12:00:21.835881,"{""errors"":[{""name"":""INTERNAL_SERVER_ERROR""}]}"
,,,,,,AMS,,,,,SOF,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=AMS&origin=SOF&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,2.0,155.0,1.0,50.0,<Response [500]>,2025-11-03T11:51:03.903865,"{""errors"":[{""name"":""INTERNAL_SERVER_ERROR""}]}"
,,,,,,STN,,,,,AMS,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=STN&origin=AMS&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,2.0,167.0,1.0,50.0,<Response [500]>,2025-11-03T12:01:21.400305,"{""errors"":[{""name"":""INTERNAL_SERVER_ERROR""}]}"
,,,,,,AMS,,,,,ALC,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=AMS&origin=ALC&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,10.0,915.0,6.0,60.0,<Response [500]>,2025-11-03T11:50:58.490070,"{""errors"":[{""name"":""INTERNAL_SERVER_ERROR""}]}"
,,,,,,BHX,,,,,AMS,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=BHX&origin=AMS&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,10.0,954.0,7.0,70.0,<Response [500]>,2025-11-03T11:51:28.347881,"{""errors"":[{""name"":""INTERNAL_SERVER_ERROR""}]}"
,,,,,,FAO,,,,,AMS,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=FAO&origin=AMS&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,5.0,497.0,4.0,80.0,<Response [500]>,2025-11-03T11:59:47.415922,"{""errors"":[{""name"":""INTERNAL_SERVER_ERROR""}]}"
,,,,,,AAL,,,,,AMS,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=AAL&origin=AMS&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,7.0,602.0,7.0,100.0,<Response [200]>,,
