destination_continent,destination_country,destination_airport,destination,pages_per_day,flights_per_day,totalPages,totalFlights
Africa,Algeria,Rabah Bitat Airport (Les Salines Airport),AAE,0.6,1.85,13.0,742.0
Europe,Denmark,Aalborg Airport,AAL,0.11,9.67,48.0,4428.0
Europe,Denmark,Aarhus Airport,AAR,0.04,3.49,18.0,1599.0
Africa,Ivory Coast,Port Bouet Airport (Felix Houphouet Boigny Int'l),ABJ,0.04,3.18,18.0,1458.0
Africa,Nigeria,Nnamdi Azikiwe International Airport,ABV,0.01,0.39,3.0,180.0
Europe,Scotland,Aberdeen Airport,ABZ,0.06,5.86,30.0,2682.0
Africa,Ghana,Kotoka International Airport,ACC,0.01,1.0,6.0,459.0
Europe,Spain,Lanzarote Airport,ACE,0.05,2.51,21.0,1146.0
Asia,Turkey,Izmir Adnan Menderes Airport,ADB,0.04,2.86,18.0,1311.0
Africa,Ethiopia,Addis Ababa Bole International Airport,ADD,0.01,1.0,6.0,459.0
Europe,Norway,Alesund Airport,AES,0.11,8.83,48.0,4047.0
Europe,Iceland,Akureyri Airport,AEY,0.01,0.07,3.0,33.0
Africa,Morocco,Agadir-Al Massira Airport,AGA,0.08,5.51,32.0,2558.0
Europe,Spain,Malaga Airport,AGP,1.2,27.08,352.0,11480.0
Europe,Italy,Alghero-Fertilia Airport,AHO,0.08,5.67,33.0,2598.0
Europe,France,Ajaccio Napoleon Bonaparte Airport,AJA,0.43,15.49,82.0,7048.0
Europe,Spain,Alicante-Elche Airport,ALC,0.13,10.5,54.0,4806.0
Africa,Algeria,Houari Boumediene Airport,ALG,0.26,24.41,117.0,11178.0
Asia,Jordan,Queen Alia International Airport,AMM,0.02,1.53,9.0,702.0
Europe,Netherlands,Amsterdam Airport Schiphol,AMS,13.67,1192.26,5315.0,476919.0
Europe,Italy,Ancona Falconara Airport,AOI,0.01,0.28,3.0,129.0
Europe,Greece,Karpathos Island National Airport,AOK,0.01,0.69,6.0,315.0
Europe,Sweden,Stockholm Arlanda Airport,ARN,1.59,114.47,550.0,42108.0
Asia,Turkey,Erkilet International Airport,ASR,0.01,0.49,3.0,225.0
Americas,Paraguay,Silvio Pettirossi International Airport,ASU,0.01,0.1,3.0,30.0
Europe,Greece,Athens International Airport (Eleftherios Venizelos Airport),ATH,1.29,31.29,388.0,13745.0
Americas,United States,Hartsfield-Jackson Atlanta International Airport,ATL,0.29,24.44,135.0,11146.0
Americas,Aruba,Queen Beatrix International Airport,AUA,0.01,1.29,6.0,591.0
Asia,United Arab Emirates,Abu Dhabi International Airport,AUH,1.03,3.04,15.0,939.0
Americas,United States,Austin-Bergstrom International Airport,AUS,0.01,0.5,3.0,228.0
Asia,Turkey,Antalya Airport,AYT,0.05,5.03,27.0,2301.0
Asia,Bahrain,Bahrain International Airport,BAH,0.01,1.0,6.0,459.0
Europe,Spain,Barcelona El Prat Airport,BCN,1.52,69.04,500.0,28676.0
Europe,Italy,Brindisi - Salento Airport,BDS,0.07,5.61,33.0,2571.0
Europe,Serbia,Belgrade Nikola Tesla Airport,BEG,1.68,16.88,102.0,7955.0
Europe,Germany,Berlin Brandenburg Airport,BER,1.21,34.26,355.0,13576.0
Europe,France,Brest Bretagne Airport,BES,0.06,5.36,27.0,2457.0
Asia,Lebanon,Beirut-Rafic Hariri International Airport / Beirut Air Base,BEY,0.05,4.13,24.0,1893.0
Europe,Northern Ireland,Belfast International Airport,BFS,0.02,1.54,12.0,708.0
Africa,Central African Republic,Bangui M'Poko International Airport,BGF,0.01,0.14,3.0,63.0
Europe,Norway,Bergen Airport,BGO,1.38,63.81,436.0,23801.0
Americas,United States,Bangor International Airport,BGR,0.01,0.01,3.0,2.0
Europe,Northern Ireland,George Best Belfast City Airport,BHD,0.03,2.0,12.0,918.0
Europe,England,Birmingham Airport,BHX,0.12,10.82,51.0,4953.0
Europe,France,Bastia - Poretta Airport,BIA,0.42,14.19,76.0,6448.0
Europe,Spain,Bilbao Airport,BIO,0.14,11.17,60.0,5112.0
Europe,France,Biarritz Pays Basque Airport,BIQ,0.12,8.93,51.0,4089.0
Africa,Algeria,Soummam - Abane Ramdane Airport,BJA,0.05,3.98,24.0,1821.0
Africa,The Gambia,Banjul International Airport,BJL,0.01,0.14,3.0,63.0
Asia,Turkey,Milas-Bodrum Airport,BJV,0.02,0.95,9.0,435.0
Asia,Thailand,Suvarnabhumi Airport,BKK,0.05,3.65,21.0,1674.0
Africa,Mali,Bamako-Senou International Airport,BKO,0.01,0.77,6.0,351.0
Africa,Algeria,Mostepha Ben Boulaid Airport,BLJ,0.03,0.46,9.0,186.0
Europe,Denmark,Billund Airport,BLL,0.1,8.24,42.0,3777.0
Europe,Italy,Bologna Guglielmo Marconi Airport,BLQ,0.12,9.92,54.0,4539.0
Asia,India,Kempegowda International Airport,BLR,0.02,1.99,12.0,909.0
Europe,France,Bordeaux-Merignac Airport,BOD,0.15,12.14,66.0,5556.0
Americas,Colombia,El Dorado International Airport,BOG,0.04,3.0,18.0,1371.0
Europe,Bulgaria,Burgas Airport,BOJ,0.02,0.82,6.0,375.0
Asia,India,Chhatrapati Shivaji International Airport,BOM,0.03,2.39,15.0,1095.0
Americas,Caribbean Netherlands,Flamingo International Airport,BON,0.02,1.89,9.0,867.0
Europe,Norway,Bodo Airport,BOO,0.38,12.05,61.0,5461.0
Americas,United States,Logan International Airport,BOS,0.18,15.44,84.0,7011.0
Europe,Germany,Bremen Airport,BRE,0.04,3.86,18.0,1767.0
Europe,Italy,Bari Karol Wojtyla Airport,BRI,0.1,10.54,51.0,4827.0
Europe,England,Bristol Airport,BRS,0.1,8.97,42.0,4107.0
Europe,Belgium,Brussels Airport (Zaventem Airport),BRU,0.13,8.3,56.0,3799.0
Africa,Algeria,Biskra Airport,BSK,0.01,0.46,3.0,210.0
Europe,France,EuroAirport Basel Mulhouse Freiburg,BSL,0.07,6.58,33.0,3015.0
Europe,Switzerland,EuroAirport Basel Mulhouse Freiburg,BSL,0.07,6.58,33.0,3015.0
Europe,Hungary,Budapest Ferenc Liszt International Airport,BUD,0.1,9.69,48.0,4431.0
Africa,Cape Verde,Aristides Pereira International Airport (Rabil Airport),BVC,0.02,0.57,6.0,261.0
