origin_continent,origin_country,origin_airport,origin,pages_per_day,flights_per_day,totalPages,totalFlights
Africa,Algeria,Rabah Bitat Airport (Les Salines Airport),AAE,0.02,1.05,6.0,483.0
Europe,Denmark,Aalborg Airport,AAL,0.11,9.93,48.0,4548.0
Europe,Denmark,Aarhus Airport,AAR,0.04,3.6,18.0,1650.0
Africa,Ivory Coast,Port Bouet Airport (Felix Houphouet Boigny Int'l),ABJ,0.04,3.26,18.0,1494.0
Europe,Scotland,Aberdeen Airport,ABZ,0.06,5.83,30.0,2667.0
Africa,Ghana,Kotoka International Airport,ACC,0.01,1.0,6.0,459.0
Europe,Spain,Lanzarote Airport,ACE,0.05,2.51,21.0,1149.0
Asia,Turkey,Izmir Adnan Menderes Airport,ADB,0.04,2.86,18.0,1308.0
Africa,Ethiopia,Addis Ababa Bole International Airport,ADD,0.01,1.0,6.0,459.0
Europe,Russia,Sochi International Airport,AER,0.01,0.1,3.0,48.0
Europe,Norway,Alesund Airport,AES,0.11,8.26,48.0,3780.0
Europe,Iceland,Akureyri Airport,AEY,0.01,0.07,3.0,33.0
Africa,Morocco,Agadir-Al Massira Airport,AGA,0.08,5.48,30.0,2510.0
Europe,Spain,Malaga Airport,AGP,1.22,27.36,360.0,11597.0
Europe,Italy,Alghero-Fertilia Airport,AHO,0.08,5.77,33.0,2640.0
Europe,France,Ajaccio Napoleon Bonaparte Airport,AJA,0.44,15.36,85.0,6982.0
Europe,Spain,Alicante-Elche Airport,ALC,0.13,10.6,54.0,4854.0
Africa,Algeria,Houari Boumediene Airport,ALG,0.26,23.6,117.0,10802.0
Asia,Jordan,Queen Alia International Airport,AMM,0.02,1.53,9.0,699.0
Europe,Netherlands,Amsterdam Airport Schiphol,AMS,15.06,1188.98,5298.0,472710.0
Europe,Italy,Ancona Falconara Airport,AOI,0.01,0.28,3.0,129.0
Europe,Greece,Karpathos Island National Airport,AOK,0.01,0.71,6.0,324.0
Europe,Sweden,Stockholm Arlanda Airport,ARN,1.7,126.99,605.0,47859.0
Asia,Turkey,Erkilet International Airport,ASR,0.01,0.49,3.0,225.0
Americas,Paraguay,Silvio Pettirossi International Airport,ASU,0.01,0.12,3.0,38.0
Europe,Greece,Athens International Airport (Eleftherios Venizelos Airport),ATH,1.28,31.07,385.0,13655.0
Americas,United States,Hartsfield-Jackson Atlanta International Airport,ATL,0.95,24.39,153.0,11440.0
Americas,Aruba,Queen Beatrix International Airport,AUA,0.01,1.29,6.0,591.0
Asia,United Arab Emirates,Abu Dhabi International Airport,AUH,0.04,3.06,18.0,1401.0
Americas,United States,Austin-Bergstrom International Airport,AUS,0.01,0.5,3.0,228.0
Asia,Turkey,Antalya Airport,AYT,0.05,5.05,27.0,2312.0
Asia,Bahrain,Bahrain International Airport,BAH,0.01,1.0,6.0,459.0
Europe,Spain,Barcelona El Prat Airport,BCN,1.53,69.75,503.0,28867.0
Europe,Italy,Brindisi - Salento Airport,BDS,0.08,6.17,36.0,2826.0
Europe,Serbia,Belgrade Nikola Tesla Airport,BEG,0.22,17.36,96.0,7956.0
Europe,Germany,Berlin Brandenburg Airport,BER,1.21,34.49,355.0,13640.0
Europe,France,Brest Bretagne Airport,BES,0.06,5.38,27.0,2463.0
Asia,Lebanon,Beirut-Rafic Hariri International Airport / Beirut Air Base,BEY,0.05,4.16,24.0,1905.0
Europe,Northern Ireland,Belfast International Airport,BFS,0.02,1.54,12.0,705.0
Europe,Norway,Bergen Airport,BGO,1.49,76.79,483.0,29258.0
Europe,Northern Ireland,George Best Belfast City Airport,BHD,0.03,1.99,12.0,912.0
Europe,England,Birmingham Airport,BHX,0.12,10.77,51.0,4929.0
Europe,France,Bastia - Poretta Airport,BIA,0.42,14.08,76.0,6385.0
Europe,Spain,Bilbao Airport,BIO,0.13,10.23,57.0,4686.0
Europe,France,Biarritz Pays Basque Airport,BIQ,0.12,8.9,51.0,4080.0
Africa,Algeria,Soummam - Abane Ramdane Airport,BJA,0.05,3.47,21.0,1587.0
Asia,Turkey,Milas-Bodrum Airport,BJV,0.02,0.95,9.0,435.0
Asia,Thailand,Suvarnabhumi Airport,BKK,0.05,3.62,21.0,1659.0
Africa,Mali,Bamako-Senou International Airport,BKO,0.01,0.79,6.0,363.0
Africa,Algeria,Mostepha Ben Boulaid Airport,BLJ,0.02,0.23,6.0,102.0
Europe,Denmark,Billund Airport,BLL,0.1,8.05,42.0,3687.0
Europe,Italy,Bologna Guglielmo Marconi Airport,BLQ,0.11,9.92,51.0,4545.0
Asia,India,Kempegowda International Airport,BLR,0.02,1.92,12.0,879.0
Europe,France,Bordeaux-Merignac Airport,BOD,0.16,12.15,69.0,5562.0
Americas,Colombia,El Dorado International Airport,BOG,0.03,1.99,12.0,909.0
Europe,Bulgaria,Burgas Airport,BOJ,0.02,0.83,6.0,381.0
Asia,India,Chhatrapati Shivaji International Airport,BOM,0.03,2.4,15.0,1095.0
Americas,Caribbean Netherlands,Flamingo International Airport,BON,0.03,2.0,12.0,915.0
Europe,Norway,Bodo Airport,BOO,0.13,10.66,54.0,4878.0
Americas,United States,Logan International Airport,BOS,0.18,15.37,84.0,7038.0
Europe,Germany,Bremen Airport,BRE,0.04,3.84,18.0,1758.0
Europe,Italy,Bari Karol Wojtyla Airport,BRI,0.11,11.06,54.0,5061.0
Europe,England,Bristol Airport,BRS,0.1,8.91,42.0,4080.0
Europe,Belgium,Brussels Airport (Zaventem Airport),BRU,0.11,8.53,48.0,3909.0
Africa,Algeria,Biskra Airport,BSK,0.01,0.47,3.0,213.0
Europe,France,EuroAirport Basel Mulhouse Freiburg,BSL,0.07,6.55,33.0,2997.0
Europe,Switzerland,EuroAirport Basel Mulhouse Freiburg,BSL,0.07,6.55,33.0,2997.0
Europe,Hungary,Budapest Ferenc Liszt International Airport,BUD,0.1,9.71,48.0,4446.0
Africa,Republic of the Congo,Maya-Maya Airport,BZV,0.02,1.62,9.0,744.0
Europe,Italy,Cagliari Elmas Airport,CAG,0.03,1.73,12.0,795.0
Africa,Egypt,Cairo International Airport,CAI,0.07,7.03,36.0,3219.0
Asia,China,Guangzhou Baiyun International Airport,CAN,0.02,1.96,12.0,897.0
Americas,French Guiana,Cayenne - Felix Eboue Airport,CAY,0.02,1.76,12.0,807.0
Europe,France,Paris Charles de Gaulle Airport,CDG,14.43,1119.21,5029.0,444591.0
Africa,Algeria,Chlef International Airport,CFK,0.01,0.28,3.0,129.0
Europe,Greece,Corfu International Airport (Ioannis Kapodistrias Int'l Airport),CFU,0.04,3.32,21.0,1515.0
Asia,Indonesia,Soekarno–Hatta International Airport,CGK,0.02,1.61,9.0,738.0
Europe,Greece,Chania International Airport,CHQ,0.04,2.05,20.0,947.0
Asia,China,Chongqing Jiangbei International Airport,CKG,0.01,0.29,3.0,135.0
Africa,Guinea,Ahmed Sékou Touré International Airport,CKY,0.01,1.11,6.0,510.0
Europe,Romania,Cluj-Napoca International Airport,CLJ,0.03,2.58,12.0,1182.0
Americas,United States,Charlotte Douglas International Airport,CLT,0.02,0.61,6.0,275.0
Asia,Sri Lanka,Bandaranaike International Airport,CMB,0.01,0.43,3.0,198.0
Africa,Morocco,Mohammed V International Airport,CMN,0.49,15.49,111.0,10263.0
Africa,Benin,Cadjehoun Airport,COO,0.02,1.46,12.0,669.0
Americas,Argentina,Ingeniero Aeronautico Ambrosio L.V. Taravella International Airport (Pajas Blancas),COR,0.01,0.05,3.0,14.0
Europe,Denmark,Copenhagen Airport,CPH,1.78,120.65,611.0,45390.0
Africa,South Africa,Cape Town International Airport,CPT,0.01,1.03,6.0,471.0
Europe,Belgium,Brussels South Charleroi Airport,CRL,0.52,1.35,8.0,524.0
Europe,Italy,Catania-Fontanarossa Airport,CTA,0.19,16.96,87.0,7770.0
Americas,Colombia,Rafael Nunez International Airport,CTG,0.01,1.0,6.0,459.0
Americas,Mexico,Cancun International Airport,CUN,0.03,0.91,12.0,480.0
Americas,United States,Cincinnati/Northern Kentucky International Airport,CVG,0.01,0.86,6.0,393.0
Europe,Wales,Cardiff Airport,CWL,0.03,3.1,15.0,1419.0
Africa,Algeria,Mohamed Boudiaf International Airport,CZL,0.03,1.85,12.0,846.0
Africa,Tanzania,Julius Nyerere International Airport,DAR,0.01,1.23,6.0,564.0
Europe,Croatia,Dubrovnik Airport,DBV,0.05,4.31,24.0,1974.0
Asia,India,Indira Gandhi International Airport,DEL,0.06,4.53,24.0,2073.0
Americas,United States,Denver International Airport,DEN,0.01,0.5,3.0,231.0
Americas,United States,Dallas/Fort Worth International Airport,DFW,0.03,2.79,15.0,1275.0
Africa,Tunisia,Djerba-Zarzis International Airport,DJE,0.1,8.76,45.0,4011.0
Africa,Cameroon,Douala International Airport,DLA,0.01,1.02,6.0,465.0
Asia,Turkey,Dalaman Airport,DLM,0.01,0.99,6.0,453.0
Asia,Saudi Arabia,King Fahd International Airport,DMM,0.01,0.96,6.0,438.0
Asia,Qatar,Hamad International Airport,DOH,0.06,5.68,27.0,2601.0
Africa,Senegal,Blaise Diagne International Airport,DSS,0.03,2.27,12.0,1041.0
Americas,United States,Detroit Metro Wayne County Airport,DTW,0.44,10.11,63.0,4788.0
Europe,Ireland,Dublin Airport,DUB,1.28,39.28,391.0,16413.0
Europe,Germany,Dusseldorf Airport,DUS,0.11,10.17,51.0,4656.0
Asia,United Arab Emirates,Dubai International Airport,DXB,0.09,7.72,39.0,3537.0
Africa,Mayotte,Dzaoudzi-Pamandzi International Airport,DZA,0.01,0.89,6.0,408.0
Africa,Uganda,Entebbe International Airport,EBB,0.01,1.09,6.0,501.0
Asia,Iraq,Erbil International Airport,EBL,0.01,0.28,3.0,126.0
Europe,Scotland,Edinburgh Airport,EDI,0.16,13.53,69.0,6195.0
Europe,Greece,Kefalonia International Airport,EFL,0.03,0.83,12.0,378.0
Asia,Turkey,Ankara Esenboğa Airport,ESB,0.03,1.45,12.0,663.0
Asia,Armenia,Zvartnots International Airport,EVN,0.04,2.16,15.0,963.0
Americas,United States,Newark Liberty International Airport,EWR,0.27,7.22,45.0,3274.0
Europe,England,Exeter International Airport,EXT,0.01,1.0,6.0,459.0
Americas,Argentina,Ministro Pistarini International Airport,EZE,0.03,2.01,15.0,919.0
Europe,Faroe Islands,Vagar Airport,FAE,0.08,4.78,30.0,2187.0
Europe,Portugal,Faro Airport,FAO,0.1,7.74,42.0,3546.0
Europe,Italy,Rome–Fiumicino International Airport,FCO,2.28,164.79,869.0,66997.0
