origin_continent,origin_country,origin_airport,origin,destination_continent,destination_country,destination_airport,destination,pages_per_day,flights_per_day,totalPages,totalFlights
Africa,Algeria,Rabah Bitat Airport (Les Salines Airport),AAE,Europe,France,Paris Charles de Gaulle Airport,CDG,0.01,0.62,3.0,285.0
Africa,Algeria,Rabah Bitat Airport (Les Salines Airport),AAE,Europe,France,Aéroport de Paris-Orly,ORY,0.01,0.43,3.0,198.0
Europe,Denmark,Aalborg Airport,AAL,Europe,Netherlands,Amsterdam Airport Schiphol,AMS,0.04,3.93,18.0,1800.0
Europe,Denmark,Aalborg Airport,AAL,Europe,Denmark,Copenhagen Airport,CPH,0.07,6.0,30.0,2748.0
Europe,Denmark,Aarhus Airport,AAR,Europe,Denmark,Copenhagen Airport,CPH,0.04,3.6,18.0,1650.0
Africa,Ivory Coast,Port Bouet Airport (Felix Houphouet Boigny Int'l),ABJ,Europe,France,Paris Charles de Gaulle Airport,CDG,0.03,2.05,12.0,939.0
Africa,Ivory Coast,Port Bouet Airport (Felix Houphouet Boigny Int'l),ABJ,Europe,France,Aéroport de Paris-Orly,ORY,0.01,1.21,6.0,555.0
Europe,Scotland,Aberdeen Airport,ABZ,Europe,Netherlands,Amsterdam Airport Schiphol,AMS,0.05,4.99,24.0,2283.0
Europe,Scotland,Aberdeen Airport,ABZ,Europe,Norway,Bergen Airport,BGO,0.01,0.84,6.0,384.0
Africa,Ghana,Kotoka International Airport,ACC,Europe,Netherlands,Amsterdam Airport Schiphol,AMS,0.01,1.0,6.0,459.0
Europe,Spain,Lanzarote Airport,ACE,Europe,Netherlands,Amsterdam Airport Schiphol,AMS,0.01,0.71,6.0,327.0
Europe,Spain,Lanzarote Airport,ACE,Europe,France,Paris Charles de Gaulle Airport,CDG,0.01,0.64,3.0,291.0
Europe,Spain,Lanzarote Airport,ACE,Europe,Spain,Adolfo Suarez Madrid-Barajas Airport,MAD,0.01,0.47,3.0,216.0
Europe,Spain,Lanzarote Airport,ACE,Europe,France,Nantes Atlantique Airport,NTE,0.01,0.02,3.0,9.0
Europe,Spain,Lanzarote Airport,ACE,Europe,France,Aéroport de Paris-Orly,ORY,0.01,0.67,6.0,306.0
Asia,Turkey,Izmir Adnan Menderes Airport,ADB,Europe,Netherlands,Amsterdam Airport Schiphol,AMS,0.02,1.37,9.0,627.0
Asia,Turkey,Izmir Adnan Menderes Airport,ADB,Europe,France,Paris Charles de Gaulle Airport,CDG,0.01,1.0,6.0,456.0
Asia,Turkey,Izmir Adnan Menderes Airport,ADB,Europe,France,Aéroport de Paris-Orly,ORY,0.01,0.49,3.0,225.0
Africa,Ethiopia,Addis Ababa Bole International Airport,ADD,Europe,France,Paris Charles de Gaulle Airport,CDG,0.01,1.0,6.0,459.0
Europe,Russia,Sochi International Airport,AER,Europe,Russia,Tolmachevo Airport,OVB,0.01,0.1,3.0,48.0
Europe,Norway,Alesund Airport,AES,Europe,Netherlands,Amsterdam Airport Schiphol,AMS,0.03,2.0,12.0,915.0
Europe,Norway,Alesund Airport,AES,Europe,Norway,Bergen Airport,BGO,0.03,2.02,12.0,924.0
Europe,Norway,Alesund Airport,AES,Europe,Denmark,Copenhagen Airport,CPH,0.01,0.35,3.0,162.0
Europe,Norway,Alesund Airport,AES,Europe,Norway,Oslo Airport,OSL,0.03,2.91,15.0,1332.0
Europe,Norway,Alesund Airport,AES,Europe,Norway,Trondheim Airport,TRD,0.01,0.98,6.0,447.0
Europe,Iceland,Akureyri Airport,AEY,Europe,Netherlands,Amsterdam Airport Schiphol,AMS,0.01,0.07,3.0,33.0
Africa,Morocco,Agadir-Al Massira Airport,AGA,Europe,Netherlands,Amsterdam Airport Schiphol,AMS,0.01,0.46,3.0,210.0
Africa,Morocco,Agadir-Al Massira Airport,AGA,Europe,France,Paris Charles de Gaulle Airport,CDG,0.01,0.35,3.0,162.0
Africa,Morocco,Agadir-Al Massira Airport,AGA,Europe,France,Lyon-Saint-Exupery Airport,LYS,0.01,0.15,3.0,69.0
Africa,Morocco,Agadir-Al Massira Airport,AGA,Europe,France,Aéroport de Paris-Orly,ORY,0.05,4.52,21.0,2069.0
Europe,Spain,Malaga Airport,AGP,Europe,Netherlands,Amsterdam Airport Schiphol,AMS,0.11,10.7,51.0,4899.0
Europe,Spain,Malaga Airport,AGP,Europe,France,Paris Charles de Gaulle Airport,CDG,0.04,3.32,18.0,1521.0
Europe,Spain,Malaga Airport,AGP,Europe,France,Lyon-Saint-Exupery Airport,LYS,0.01,0.28,3.0,129.0
Europe,Spain,Malaga Airport,AGP,Europe,France,Nantes Atlantique Airport,NTE,0.01,0.01,5.0,5.0
Europe,Spain,Malaga Airport,AGP,Europe,France,Aéroport de Paris-Orly,ORY,0.06,5.75,27.0,2631.0
Europe,Italy,Alghero-Fertilia Airport,AHO,Europe,France,Paris Charles de Gaulle Airport,CDG,0.01,0.03,3.0,15.0
Europe,Italy,Alghero-Fertilia Airport,AHO,Europe,Italy,Rome–Fiumicino International Airport,FCO,0.03,3.24,15.0,1482.0
Europe,Italy,Alghero-Fertilia Airport,AHO,Europe,Italy,Milan-Linate Airport,LIN,0.03,2.21,12.0,1011.0
Europe,Italy,Alghero-Fertilia Airport,AHO,Europe,France,Aéroport de Paris-Orly,ORY,0.01,0.29,3.0,132.0
Europe,France,Ajaccio Napoleon Bonaparte Airport,AJA,Europe,France,Bordeaux-Merignac Airport,BOD,0.01,0.06,3.0,27.0
Europe,France,Ajaccio Napoleon Bonaparte Airport,AJA,Europe,France,Paris Charles de Gaulle Airport,CDG,0.01,1.03,6.0,471.0
Europe,France,Ajaccio Napoleon Bonaparte Airport,AJA,Europe,Belgium,Brussels South Charleroi Airport,CRL,0.26,0.7,4.0,274.0
Europe,France,Ajaccio Napoleon Bonaparte Airport,AJA,Europe,Italy,Rome–Fiumicino International Airport,FCO,0.01,0.29,3.0,135.0
Europe,France,Ajaccio Napoleon Bonaparte Airport,AJA,Europe,France,Lyon-Saint-Exupery Airport,LYS,0.01,0.98,6.0,450.0
Europe,France,Ajaccio Napoleon Bonaparte Airport,AJA,Europe,France,Marseille Provence Airport,MRS,0.03,3.05,15.0,1395.0
Europe,France,Ajaccio Napoleon Bonaparte Airport,AJA,Europe,France,Nice Cote d'Azur Airport,NCE,0.03,3.03,15.0,1386.0
Europe,France,Ajaccio Napoleon Bonaparte Airport,AJA,Europe,France,Aéroport de Paris-Orly,ORY,0.06,5.57,27.0,2550.0
Europe,France,Ajaccio Napoleon Bonaparte Airport,AJA,Europe,France,Pau Pyrenees Airport,PUF,0.01,0.07,3.0,30.0
Europe,France,Ajaccio Napoleon Bonaparte Airport,AJA,Europe,France,Toulouse-Blagnac Airport,TLS,0.01,0.58,3.0,264.0
Europe,Spain,Alicante-Elche Airport,ALC,Europe,Netherlands,Amsterdam Airport Schiphol,AMS,0.07,6.0,30.0,2745.0
Europe,Spain,Alicante-Elche Airport,ALC,Europe,Spain,Adolfo Suarez Madrid-Barajas Airport,MAD,0.01,0.14,3.0,66.0
Europe,Spain,Alicante-Elche Airport,ALC,Europe,France,Aéroport de Paris-Orly,ORY,0.05,4.46,21.0,2043.0
Africa,Algeria,Houari Boumediene Airport,ALG,Europe,France,Paris Charles de Gaulle Airport,CDG,0.14,13.36,63.0,6117.0
Africa,Algeria,Houari Boumediene Airport,ALG,Europe,Italy,Rome–Fiumicino International Airport,FCO,0.01,1.04,6.0,477.0
Africa,Algeria,Houari Boumediene Airport,ALG,Europe,France,Lyon-Saint-Exupery Airport,LYS,0.01,0.61,3.0,279.0
Africa,Algeria,Houari Boumediene Airport,ALG,Europe,France,Nice Cote d'Azur Airport,NCE,0.01,0.01,3.0,2.0
Africa,Algeria,Houari Boumediene Airport,ALG,Europe,France,Aéroport de Paris-Orly,ORY,0.09,8.58,42.0,3927.0
Asia,Jordan,Queen Alia International Airport,AMM,Europe,Netherlands,Amsterdam Airport Schiphol,AMS,0.01,0.51,3.0,234.0
Asia,Jordan,Queen Alia International Airport,AMM,Europe,France,Paris Charles de Gaulle Airport,CDG,0.01,1.02,6.0,465.0
Europe,Netherlands,Amsterdam Airport Schiphol,AMS,Europe,Denmark,Aalborg Airport,AAL,0.05,3.94,21.0,1806.0
Europe,Netherlands,Amsterdam Airport Schiphol,AMS,Europe,Scotland,Aberdeen Airport,ABZ,0.05,5.0,24.0,2289.0
Europe,Netherlands,Amsterdam Airport Schiphol,AMS,Africa,Ghana,Kotoka International Airport,ACC,0.01,1.0,6.0,459.0
Europe,Netherlands,Amsterdam Airport Schiphol,AMS,Europe,Spain,Lanzarote Airport,ACE,0.01,0.71,6.0,324.0
Europe,Netherlands,Amsterdam Airport Schiphol,AMS,Asia,Turkey,Izmir Adnan Menderes Airport,ADB,0.02,1.37,9.0,627.0
Europe,Netherlands,Amsterdam Airport Schiphol,AMS,Europe,Norway,Alesund Airport,AES,0.03,2.0,12.0,918.0
Europe,Netherlands,Amsterdam Airport Schiphol,AMS,Europe,Iceland,Akureyri Airport,AEY,0.01,0.07,3.0,33.0
Europe,Netherlands,Amsterdam Airport Schiphol,AMS,Africa,Morocco,Agadir-Al Massira Airport,AGA,0.01,0.46,3.0,210.0
Europe,Netherlands,Amsterdam Airport Schiphol,AMS,Europe,Spain,Malaga Airport,AGP,0.1,10.42,48.0,4773.0
Europe,Netherlands,Amsterdam Airport Schiphol,AMS,Europe,Spain,Alicante-Elche Airport,ALC,0.07,5.93,30.0,2715.0
Europe,Netherlands,Amsterdam Airport Schiphol,AMS,Asia,Jordan,Queen Alia International Airport,AMM,0.01,0.51,3.0,234.0
Europe,Netherlands,Amsterdam Airport Schiphol,AMS,Europe,Greece,Karpathos Island National Airport,AOK,0.01,0.69,6.0,315.0
Europe,Netherlands,Amsterdam Airport Schiphol,AMS,Europe,Sweden,Stockholm Arlanda Airport,ARN,0.09,9.03,42.0,4134.0
Europe,Netherlands,Amsterdam Airport Schiphol,AMS,Asia,Turkey,Erkilet International Airport,ASR,0.01,0.49,3.0,225.0
