continent,airport,totalFlights,totalPages,page_per_day,page_per_day_cum_sum
Americas,ATL,794471.0,8167.0,54.446666666666665,54.446666666666665
Americas,DTW,331318.0,3453.0,23.02,77.46666666666667
Americas,MSP,313402.0,3254.0,21.69333333333333,99.16
Americas,JFK,253136.0,2649.0,17.66,116.82
Europe,CDG,246545.0,2777.0,18.513333333333332,135.33333333333331
Europe,AMS,240005.0,2699.0,17.993333333333332,153.32666666666665
Americas,SLC,167620.0,1743.0,11.62,164.94666666666666
Americas,SEA,136394.0,1417.0,9.446666666666667,174.39333333333332
Americas,LAX,126902.0,1332.0,8.88,183.2733333333333
Europe,ORY,120805.0,1385.0,9.233333333333333,192.50666666666663
Americas,BOS,120686.0,1274.0,8.493333333333334,200.99999999999997
Americas,LAS,56751.0,588.0,3.92,204.91999999999996
Americas,SFO,56712.0,595.0,3.966666666666667,208.88666666666663
Americas,ORD,51296.0,534.0,3.56,212.44666666666663
Americas,MEX,50914.0,554.0,3.6933333333333334,216.13999999999996
Americas,MCO,50254.0,522.0,3.48,219.61999999999995
Americas,PHX,39276.0,408.0,2.72,222.33999999999995
Americas,LGA,38395.0,399.0,2.66,224.99999999999994
Americas,CVG,37638.0,396.0,2.64,227.63999999999993
Americas,SAN,35821.0,375.0,2.5,230.13999999999993
Americas,DEN,33620.0,347.0,2.3133333333333335,232.45333333333326
Americas,RDU,33281.0,351.0,2.34,234.79333333333327
Americas,DCA,33017.0,339.0,2.26,237.05333333333326
Europe,FCO,31964.0,371.0,2.473333333333333,239.52666666666659
Americas,YYZ,29994.0,326.0,2.1733333333333333,241.69999999999993
Americas,PDX,28985.0,303.0,2.02,243.71999999999994
Americas,BNA,28702.0,298.0,1.9866666666666666,245.70666666666662
Europe,LHR,28358.0,323.0,2.1533333333333333,247.85999999999996
Asia,PVG,28178.0,334.0,2.2266666666666666,250.08666666666662
Americas,AUS,28130.0,299.0,1.9933333333333334,252.07999999999996
Americas,CLE,27844.0,287.0,1.9133333333333333,253.99333333333328
Americas,CLT,27647.0,290.0,1.9333333333333333,255.92666666666662
Americas,MCI,25710.0,265.0,1.7666666666666666,257.69333333333327
Americas,TPA,25623.0,270.0,1.8,259.4933333333333
Americas,FLL,24946.0,258.0,1.72,261.2133333333333
Americas,DFW,24565.0,257.0,1.7133333333333334,262.9266666666666
Americas,PHL,24328.0,254.0,1.6933333333333334,264.61999999999995
Asia,AUH,23820.0,275.0,1.8333333333333333,266.45333333333326
Americas,EWR,23537.0,253.0,1.6866666666666668,268.13999999999993
Americas,IND,23472.0,248.0,1.6533333333333333,269.79333333333324
Americas,IAD,22698.0,243.0,1.62,271.41333333333324
Americas,MIA,21495.0,231.0,1.54,272.95333333333326
Americas,MKE,21161.0,221.0,1.4733333333333334,274.4266666666666
Americas,PIT,20900.0,217.0,1.4466666666666668,275.8733333333333
Americas,CMH,20020.0,210.0,1.4,277.27333333333326
Americas,RIC,19764.0,207.0,1.38,278.65333333333325
Americas,IAH,19708.0,209.0,1.3933333333333333,280.04666666666657
Europe,CPH,19590.0,225.0,1.5,281.54666666666657
Europe,MAD,19566.0,228.0,1.52,283.06666666666655
Americas,STL,18785.0,194.0,1.2933333333333332,284.3599999999999
Asia,SIN,18607.0,213.0,1.42,285.7799999999999
Europe,ARN,17911.0,200.0,1.3333333333333333,287.11333333333323
Americas,PTY,17490.0,210.0,1.4,288.5133333333332
Asia,HAN,17190.0,188.0,1.2533333333333334,289.76666666666654
