,flightLegs-arrivalInformation-airport-code,flightLegs-departureInformation-airport-code,_id
1734,TRD,BGO,466
305,BCN,AMS,463
465,CDG,AMS,430
146,AMS,MAD,401
411,BOO,TRD,387
327,BER,AMS,380
425,BRS,AMS,375
355,BGO,TRD,372
359,BHX,AMS,371
243,ATH,AMS,370
136,AMS,LHR,363
387,BLL,AMS,359
439,BUD,AMS,358
339,BGO,AMS,348
419,BRE,AMS,343
399,BOD,AMS,343
99,AMS,DUB,342
373,BIO,AMS,342
427,BRU,AMS,340
375,BIO,MAD,338
94,AMS,CPH,335
390,BLQ,AMS,335
314,BEG,AMS,332
343,BGO,CPH,324
90,AMS,CDG,322
63,AMS,AGP,321
109,AMS,FRA,319
30,AGP,AMS,317
310,BCN,PMI,316
408,BOO,OSL,315
154,AMS,MUC,315
367,BIA,MRS,314
368,BIA,NCE,313
323,BEG,TGD,313
148,AMS,MAN,312
348,BGO,KRS,312
338,BGO,AES,311
524,CDG,LHR,310
349,BGO,KSU,310
354,BGO,TOS,309
324,BEG,TIA,308
321,BEG,SKP,308
211,AMS,ZRH,307
347,BGO,HAU,306
353,BGO,SVG,306
138,AMS,LIS,305
403,BOD,LYS,304
381,BIQ,LYS,303
332,BES,LYS,302
167,AMS,OSL,298
208,AMS,WAW,287
101,AMS,EDI,283
172,AMS,PMI,282
204,AMS,VIE,280
420,BRI,AMS,278
175,AMS,PRG,276
145,AMS,LYS,273
352,BGO,OSL,270
322,BEG,SOF,269
70,AMS,BCN,269
117,AMS,GVA,268
65,AMS,ALC,267
1027,LHR,AMS,267
357,BHD,AMS,264
52,ALC,AMS,264
157,AMS,NCE,264
205,AMS,VLC,264
320,BEG,SKG,263
134,AMS,LCY,263
123,AMS,IBZ,263
107,AMS,FLR,258
131,AMS,KRK,258
164,AMS,OPO,257
10,ABZ,AMS,256
194,AMS,SVG,255
119,AMS,HAM,254
193,AMS,STR,254
114,AMS,GOT,254
120,AMS,HEL,253
140,AMS,LPA,253
100,AMS,DUS,253
59,AMS,ABZ,252
121,AMS,HER,251
160,AMS,NUE,249
158,AMS,NCL,249
191,AMS,SPU,247
105,AMS,FAO,247
112,AMS,GLA,246
0,AAL,AMS,244
708,DUB,AMS,244
111,AMS,GDN,243
203,AMS,VCE,243
543,CDG,NCE,240
161,AMS,NWI,239
58,AMS,AAL,238
179,AMS,RHO,235
638,CPH,AMS,235
200,AMS,TLS,235
159,AMS,NTE,234
201,AMS,TRD,234
534,CDG,MAD,234
153,AMS,MRS,233
118,AMS,HAJ,233
212,AMS,ZTH,232
180,AMS,RIX,232
133,AMS,LBA,232
189,AMS,SOU,232
97,AMS,CWL,231
144,AMS,LUX,230
122,AMS,HUY,230
125,AMS,INV,230
210,AMS,ZAG,230
1355,ORY,MAD,229
165,AMS,ORK,227
129,AMS,KGS,226
151,AMS,MME,226
202,AMS,TRN,224
156,AMS,NAP,224
113,AMS,GOA,224
132,AMS,KRS,224
764,FCO,CDG,224
95,AMS,CTA,223
1,AAL,CPH,223
804,FRA,AMS,222
244,ATH,CDG,222
22,AES,AMS,222
206,AMS,VNO,222
309,BCN,ORY,221
1143,MAD,ORY,221
306,BCN,CDG,220
61,AMS,AES,220
199,AMS,TLL,220
150,AMS,MLA,220
209,AMS,WRO,220
185,AMS,SKG,220
174,AMS,POZ,220
98,AMS,DBV,220
500,CDG,FCO,219
467,CDG,ATH,217
3,AAR,CPH,217
139,AMS,LJU,216
176,AMS,PSA,216
468,CDG,BCN,215
25,AES,OSL,215
163,AMS,OLB,214
48,AJA,MRS,213
49,AJA,NCE,213
1028,LHR,CDG,208
187,AMS,SMI,207
805,FRA,CDG,206
1129,MAD,AMS,205
503,CDG,FRA,203
137,AMS,LIN,198
490,CDG,CPH,196
540,CDG,MUC,196
217,ARN,AMS,195
641,CPH,CDG,194
91,AMS,CFU,193
178,AMS,PVK,191
68,AMS,ARN,191
75,AMS,BHD,190
782,FCO,ORY,188
709,DUB,CDG,187
717,EDI,AMS,186
539,CDG,MRS,185
494,CDG,DUB,185
582,CDG,VIE,184
536,CDG,MAN,181
135,AMS,LGW,181
525,CDG,LIN,180
72,AMS,BER,180
756,FCO,AMS,179
50,AJA,ORY,178
523,CDG,LGW,178
106,AMS,FCO,176
369,BIA,ORY,176
143,AMS,LTN,176
195,AMS,SVQ,174
480,CDG,BOD,173
69,AMS,ATH,172
85,AMS,BRS,170
577,CDG,TLS,169
551,CDG,OSL,168
400,BOD,CDG,168
329,BER,CDG,167
501,CDG,FLR,167
796,FLR,CDG,166
581,CDG,VCE,166
597,CDG,ZRH,165
319,BEG,SJJ,164
470,CDG,BER,164
586,CDG,WAW,164
325,BEG,TIV,164
513,CDG,HEL,163
33,AGP,ORY,163
76,AMS,BHX,162
1012,LCY,AMS,162
1352,ORY,LIS,162
552,CDG,OTP,160
1064,LIS,ORY,158
795,FLR,AMS,158
841,GOT,AMS,158
526,CDG,LIS,158
88,AMS,BUD,158
711,DUS,AMS,157
496,CDG,EDI,157
718,EDI,CDG,157
207,AMS,VRN,156
79,AMS,BLL,156
466,CDG,ARN,155
556,CDG,PRG,155
533,CDG,LYS,154
510,CDG,GVA,154
219,ARN,CDG,153
168,AMS,OTP,153
530,CDG,LTN,152
432,BSL,AMS,152
831,GLA,AMS,152
512,CDG,HAM,152
54,ALC,ORY,152
514,CDG,HER,152
541,CDG,MXP,151
554,CDG,PMI,149
477,CDG,BIQ,148
366,BIA,LYS,146
360,BHX,CDG,145
749,FAO,ORY,145
87,AMS,BSL,145
474,CDG,BHX,144
519,CDG,KEF,144
1735,TRD,BOO,144
462,CDG,AGP,144
379,BIQ,CDG,144
74,AMS,BGO,144
746,FAO,AMS,144
31,AGP,CDG,143
77,AMS,BIO,143
128,AMS,KEF,143
110,AMS,FUE,143
827,GDN,AMS,142
815,FSC,ORY,142
545,CDG,NTE,141
471,CDG,BES,140
26,AES,TRD,140
81,AMS,BOD,140
1254,NCE,CDG,139
83,AMS,BRE,139
483,CDG,BRU,139
86,AMS,BRU,138
331,BES,CDG,138
155,AMS,MXP,138
542,CDG,NAP,137
330,BER,ORY,136
673,CWL,AMS,136
667,CTA,FCO,136
1134,MAD,CDG,136
71,AMS,BEG,134
80,AMS,BLQ,133
341,BGO,BOO,132
766,FCO,CTA,132
406,BOO,BGO,132
