aircraftRegistration,aircraftType,arrivalCity,carrierCode,consumerHost,departureCity,destination,flightNumber,movementType,operatingAirlineCode,operationalSuffix,origin,serviceType,timeOriginType,timeType,endRange,startRange,call_parameters,totalPages,totalFlights,nb_of_pages_already_retrieved,completion,response,timestamp,message
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,CDG,,,,2025-10-15T23:59:59Z,2025-10-15T00:00:00Z,origin=CDG&endRange=2025-10-15T23:59:59Z&startRange=2025-10-15T00:00:00Z,7.0,662.0,7.0,100,<Response [200]>,2025-10-29T12:19:59.623995,
,,,,,,,,,,,AMS,,,,2025-10-15T23:59:59Z,2025-10-15T00:00:00Z,origin=AMS&endRange=2025-10-15T23:59:59Z&startRange=2025-10-15T00:00:00Z,8.0,718.0,8.0,100,<Response [200]>,2025-10-29T12:20:19.782269,
,,,,,,,,,,,ORY,,,,2025-10-15T23:59:59Z,2025-10-15T00:00:00Z,origin=ORY&endRange=2025-10-15T23:59:59Z&startRange=2025-10-15T00:00:00Z,4.0,322.0,4.0,100,<Response [200]>,2025-10-29T12:20:29.494377,
,,,,,,,,,,,FCO,,,,2025-10-15T23:59:59Z,2025-10-15T00:00:00Z,origin=FCO&endRange=2025-10-15T23:59:59Z&startRange=2025-10-15T00:00:00Z,2.0,117.0,2.0,100,<Response [200]>,2025-10-29T12:20:34.198972,
,,,,,,,,,,,LHR,,,,2025-10-15T23:59:59Z,2025-10-15T00:00:00Z,origin=LHR&endRange=2025-10-15T23:59:59Z&startRange=2025-10-15T00:00:00Z,1.0,65.0,1.0,100,<Response [200]>,2025-10-29T12:20:36.586878,
,,,,,,,,,,,CPH,,,,2025-10-15T23:59:59Z,2025-10-15T00:00:00Z,origin=CPH&endRange=2025-10-15T23:59:59Z&startRange=2025-10-15T00:00:00Z,1.0,66.0,1.0,100,<Response [200]>,2025-10-29T12:20:39.015954,
,,,,,,,,,,,MAD,,,,2025-10-15T23:59:59Z,2025-10-15T00:00:00Z,origin=MAD&endRange=2025-10-15T23:59:59Z&startRange=2025-10-15T00:00:00Z,1.0,68.0,1.0,100,<Response [200]>,2025-10-29T12:20:41.419373,
,,,,,,,,,,,ARN,,,,2025-10-15T23:59:59Z,2025-10-15T00:00:00Z,origin=ARN&endRange=2025-10-15T23:59:59Z&startRange=2025-10-15T00:00:00Z,1.0,98.0,1.0,100,<Response [200]>,2025-10-29T12:20:43.946515,
,,,,,,,,,,,OSL,,,,2025-10-15T23:59:59Z,2025-10-15T00:00:00Z,origin=OSL&endRange=2025-10-15T23:59:59Z&startRange=2025-10-15T00:00:00Z,1.0,67.0,1.0,100,<Response [200]>,2025-10-29T12:20:46.320753,
,,,,,,,,,,,LIN,,,,2025-10-15T23:59:59Z,2025-10-15T00:00:00Z,origin=LIN&endRange=2025-10-15T23:59:59Z&startRange=2025-10-15T00:00:00Z,1.0,69.0,1.0,100,<Response [200]>,2025-10-29T12:20:48.598974,
,,,,,,,,,,,NCE,,,,2025-10-15T23:59:59Z,2025-10-15T00:00:00Z,origin=NCE&endRange=2025-10-15T23:59:59Z&startRange=2025-10-15T00:00:00Z,1.0,52.0,1.0,100,<Response [200]>,2025-10-29T12:20:50.869322,
