continent,airport,totalFlights,totalPages,page_per_day,page_per_day_cum_sum
Europe,CDG,246545.0,2777.0,18.513333333333332,18.513333333333332
Europe,AMS,240005.0,2699.0,17.993333333333332,36.50666666666666
Europe,ORY,120805.0,1385.0,9.233333333333333,45.739999999999995
Europe,FCO,31964.0,371.0,2.473333333333333,48.21333333333333
Europe,LHR,28358.0,323.0,2.1533333333333333,50.36666666666667
Europe,CPH,19590.0,225.0,1.5,51.86666666666667
Europe,MAD,19566.0,228.0,1.52,53.38666666666667
Europe,ARN,17911.0,200.0,1.3333333333333333,54.720000000000006
Europe,OSL,16627.0,180.0,1.2,55.92000000000001
Europe,LIN,16527.0,192.0,1.28,57.20000000000001
Europe,NCE,15593.0,171.0,1.14,58.34000000000001
Europe,BCN,14324.0,156.0,1.04,59.38000000000001
Europe,LYS,11278.0,150.0,1.0,60.38000000000001
Europe,BGO,10263.0,120.0,0.8,61.18000000000001
Europe,LIS,9853.0,105.0,0.7,61.88000000000001
Europe,DUB,8356.0,90.0,0.6,62.48000000000001
Europe,HEL,8353.0,99.0,0.66,63.14000000000001
Europe,TLS,8108.0,88.0,0.5866666666666667,63.726666666666674
Europe,OTP,7912.0,96.0,0.64,64.36666666666667
Europe,FRA,7705.0,85.0,0.5666666666666667,64.93333333333334
Europe,MRS,7601.0,81.0,0.54,65.47333333333334
Europe,ATH,7598.0,87.0,0.58,66.05333333333334
Europe,PMI,7098.0,82.0,0.5466666666666666,66.60000000000001
Europe,MUC,7044.0,77.0,0.5133333333333333,67.11333333333334
Europe,TRD,6832.0,78.0,0.52,67.63333333333334
Europe,MAN,6672.0,75.0,0.5,68.13333333333334
Europe,BER,6272.0,66.0,0.44,68.57333333333334
Europe,AGP,6085.0,66.0,0.44,69.01333333333334
Europe,OPO,6022.0,66.0,0.44,69.45333333333333
Europe,BEG,5785.0,70.0,0.4666666666666667,69.92
Europe,VCE,5710.0,65.0,0.43333333333333335,70.35333333333334
Europe,ZRH,5631.0,58.0,0.38666666666666666,70.74000000000001
Europe,MXP,5498.0,63.0,0.42,71.16000000000001
Europe,NAP,5473.0,61.0,0.4066666666666667,71.56666666666668
Europe,FLR,5383.0,59.0,0.3933333333333333,71.96000000000001
Europe,VIE,5322.0,56.0,0.37333333333333335,72.33333333333334
Europe,CTA,5217.0,59.0,0.3933333333333333,72.72666666666667
Europe,EDI,5189.0,60.0,0.4,73.12666666666668
Europe,WAW,4734.0,50.0,0.3333333333333333,73.46000000000001
Europe,PMO,4693.0,51.0,0.34,73.80000000000001
Europe,AJA,4676.0,55.0,0.36666666666666664,74.16666666666667
Europe,SVG,4661.0,52.0,0.3466666666666667,74.51333333333334
Europe,GVA,4637.0,50.0,0.3333333333333333,74.84666666666666
