continent,subcontinent,country,iata,country_code,region_name,icao,airport,latitude,longitude
Europe,United Kingdom,England,BHX,GB,England,EGBB,Birmingham Airport,52.4539,-1.74803
Europe,United Kingdom,England,BOH,GB,England,EGHH,Bournemouth Airport,50.78,-1.8425
Europe,United Kingdom,England,BRS,GB,England,EGGD,Bristol Airport,51.3827,-2.71909
Europe,United Kingdom,England,EXT,GB,England,EGTE,Exeter International Airport,50.7344,-3.41389
Europe,United Kingdom,England,HUY,GB,England,EGNJ,Humberside Airport,53.5744,-0.350833
Europe,United Kingdom,England,LBA,GB,England,EGNM,Leeds Bradford Airport,53.8659,-1.66057
Europe,United Kingdom,England,LPL,GB,England,EGGP,Liverpool John Lennon Airport,53.3336,-2.84972
Europe,United Kingdom,England,LGW,GB,England,EGKK,Gatwick Airport,51.1481,-0.190278
Europe,United Kingdom,England,LHR,GB,England,EGLL,Heathrow Airport,51.4775,-0.461389
Europe,United Kingdom,England,LCY,GB,England,EGLC,London City Airport,51.5053,0.055278
Europe,United Kingdom,England,SEN,GB,England,EGMC,London Southend Airport,51.5703,0.693333
Europe,United Kingdom,England,STN,GB,England,EGSS,London Stansted Airport,51.885,0.235
Europe,United Kingdom,England,LTN,GB,England,EGGW,London Luton Airport,51.8747,-0.368333
Europe,United Kingdom,England,MAN,GB,England,EGCC,Manchester Airport,53.3537,-2.27495
Europe,United Kingdom,England,MME,GB,England,EGNV,Teesside International Airport,54.5092,-1.42941
Europe,United Kingdom,England,NCL,GB,England,EGNT,Newcastle Airport,55.0375,-1.69167
Europe,United Kingdom,England,NQY,GB,England,EGHQ,Cornwall Airport Newquay,50.4406,-4.99541
Europe,United Kingdom,England,NWI,GB,England,EGSH,Norwich International Airport,52.6758,1.28278
Europe,United Kingdom,England,EMA,GB,England,EGNX,East Midlands Airport,52.8311,-1.32806
Europe,United Kingdom,England,SOU,GB,England,EGHI,Southampton Airport,50.9503,-1.3568
Europe,United Kingdom,Northern Ireland,BFS,GB,Northern Ireland,EGAA,Belfast International Airport,54.6575,-6.21583
Europe,United Kingdom,Northern Ireland,BHD,GB,Northern Ireland,EGAC,George Best Belfast City Airport,54.6181,-5.8725
Europe,United Kingdom,Northern Ireland,LDY,GB,Northern Ireland,EGAE,City of Derry Airport,55.0428,-7.16111
