Callsign,Aircraft,Departure ICAO,Destination ICAO,Contributor,AIRAC validity,Date added
QQE772,GA7C,CYOW,LIRQ,Pilatus,2510,14 Oct 25
BBA41,GL7T,CYUL,OMDW,Pilatus,2510,14 Oct 25
N85D,GLEX,EINN,CYUL,Pilatus,2510,14 Oct 25
MMD5290,FA7X,LIML,CYYZ,Pilatus,2510,14 Oct 25
SYB522,GLEX,CYYZ,LJLJ,Pilatus,2510,14 Oct 25
HRT389,GL5T,HESH,CYQX,Pilatus,2510,14 Oct 25
PGC82W,PC24,LSZB,EDDB,Pilatus,2510,14 Oct 25
N4585S,BE36,LSZB,LSZB,Pilatus,2510,14 Oct 25
PCH04,PC12,LSZC,LSMP,Pilatus,2510,14 Oct 25
CGDTD,CRJ2,BIKF,LICB,Pilatus,2510,14 Oct 25
N960PC,TBM9,BIRK,CYYR,Pilatus,2510,14 Oct 25
CFEMF,LJ40,BIKF,CYYR,Pilatus,2510,14 Oct 25
AFR92KM,A321,LFPG,LFBO,Pilatus,2510,14 Oct 25
EZS38LP,A320,LSGG,LFPO,Pilatus,2510,14 Oct 25
EZS63RT,A320,LSGG,LFBH,Pilatus,2510,14 Oct 25
EZS84DK,A320,LFBH,LSGG,Pilatus,2510,14 Oct 25
DAL3106,A321,KIND,KATL,Pilatus,2510,14 Oct 25
N307EL,GA5C,KIND,EDDF,Pilatus,2510,14 Oct 25
NJE977M,GLEX,EGGW,KSFO,Pilatus,2510,14 Oct 25
UAL3031,B764,LDDU,KEWR,adrianospada,2510,14 Oct 25
AZG8116,B748,KJFK,LLBG,Pilatus,2510,14 Oct 25
GTI568,B748,LEZG,LLBG,Pilatus,2510,14 Oct 25
N804MS,B763,LLBG,LEBL,Pilatus,2510,14 Oct 25
N804MS,B763,LGTS,LLBG,Pilatus,2510,14 Oct 25
N371JC,GLF5,LGAV,LLBG,Pilatus,2510,14 Oct 25
N702ER,GLEX,KLAX,LIML,Pilatus,2510,14 Oct 25
LVVEG,GLF5,LFPB,KLAX,Pilatus,2510,14 Oct 25
N737AG,B737,LIRS,LLBG,Pilatus,2510,14 Oct 25
TOM644,B788,EGPF,KMLB,Pilatus,2510,14 Oct 25
TOM102,B789,EGCC,KMLB,Pilatus,2510,14 Oct 25
N982RW,GA6C,KMLB,EGGW,Pilatus,2510,14 Oct 25
QQE202,GA7C,HESH,KMIA,Pilatus,2510,14 Oct 25
N102WG,GL7T,HESH,KFLL,Pilatus,2510,14 Oct 25
DLH2P,A359,KSAN,EDDM,Pilatus,2510,14 Oct 25
LXJ656,GLF6,KSFO,LFPB,Pilatus,2510,14 Oct 25
EJM240,GL5T,LPPT,KHPN,Pilatus,2510,14 Oct 25
N158QS,GLEX,LICC,KHPN,Pilatus,2510,14 Oct 25
NJE6PM,GLEX,KHPN,EGKB,Pilatus,2510,14 Oct 25
NJE133V,GLEX,KHPN,EGGW,Pilatus,2510,14 Oct 25
LXJ668,GLF6,KHPN,EGLF,Pilatus,2510,14 Oct 25
WWI70,GLEX,EGSS,KTEB,Pilatus,2510,10 Oct 25
VJT938,GLEX,EIDW,KTEB,Pilatus,2510,10 Oct 25
VJT796,GLEX,EGNM,KTEB,Pilatus,2510,10 Oct 25
IXR833,GLEX,LFPB,KTEB,Pilatus,2510,10 Oct 25
IFA6526,GLEX,KTEB,LIRF,Pilatus,2510,10 Oct 25
IFA6518,GLEX,LFMN,KTEB,Pilatus,2510,10 Oct 25
RJR85,GL7T,LFPB,KTEB,Pilatus,2510,10 Oct 25
N114QS,GL5T,LPFR,KTEB,Pilatus,2510,10 Oct 25
N40WR,GL7T,EBBR,KTEB,Pilatus,2510,10 Oct 25
N113QS,GL5T,KTEB,EGGW,Pilatus,2510,10 Oct 25
GOMTX,GL5T,EGLF,KTEB,Pilatus,2510,10 Oct 25
N590BA,GA5C,EIDW,KTEB,Pilatus,2510,10 Oct 25
