Callsign,Aircraft,Departure ICAO,Destination ICAO,Contributor,AIRAC validity,Date added
N450BW,GLF4,LEPA,KPSM,Pilatus,2505,10 Jun 25
N111CQ,GLF4,KPWM,LIBR,Pilatus,2505,10 Jun 25
N178AS,C750,BIRK,KPWM,Pilatus,2505,10 Jun 25
N1226,GL5T,KMKC,LIPZ,Pilatus,2505,10 Jun 25
N221RW,GA6C,EIDW,EGLF,Pilatus,2505,10 Jun 25
PJZ025,GLF5,LSZH,KDTW,Pilatus,2505,10 Jun 25
PGT645U,A320,EDDF,LTFJ,Pilatus,2505,10 Jun 25
EJU73QG,A320,LFLL,LPPR,Pilatus,2505,10 Jun 25
PGT9UV,A320,LTFJ,EDDF,Pilatus,2505,10 Jun 25
N744QS,CL35,KPQI,EGPK,Pilatus,2505,10 Jun 25
N200JB,CL35,EGTK,CYQX,Pilatus,2505,10 Jun 25
N80RP,F2TH,EINN,CYQX,Pilatus,2505,10 Jun 25
N387EB,GA6C,CYQX,HRYR,Pilatus,2505,10 Jun 25
TEU2,CL60,BIKF,CYUL,Pilatus,2505,10 Jun 25
VJT968,GLEX,LFMN,CYUL,Pilatus,2505,10 Jun 25
HRT370,F2TH,CYYZ,LFOT,Pilatus,2505,10 Jun 25
N808PD,E545,LFPB,CYQX,Pilatus,2505,10 Jun 25
N253PK,C68A,CYQX,EINN,Pilatus,2505,10 Jun 25
BAW6AC,B78X,KORD,EGLL,Pilatus,2505,10 Jun 25
BAW298,B772,KORD,EGLL,Pilatus,2505,10 Jun 25
ICV38R,B748,KORD,ELLX,Pilatus,2505,10 Jun 25
OAE369,B763,EINN,KBDL,Pilatus,2505,10 Jun 25
SAZ53,CL60,CYEG,EGPF,Pilatus,2505,10 Jun 25
RGA01,EC45,LSMD,ZZZZ,Pilatus,2505,10 Jun 25
SAZ54,CL60,EGPF,LSZB,Pilatus,2505,10 Jun 25
NUM701,GLF6,LSZH,LSZB,Pilatus,2505,10 Jun 25
DBHRO,E550,LGAV,LSZC,Pilatus,2505,10 Jun 25
HBFSG,PC12,LSZC,LSZB,Pilatus,2505,10 Jun 25
HBFVT,PC12,LFLY,LFSB,Pilatus,2505,10 Jun 25
N178MH,PC12,LOWZ,EGMC,Pilatus,2505,10 Jun 25
N940DD,TBM9,EGNX,LFBO,Pilatus,2505,10 Jun 25
RYS3012,B738,LGKO,EPKT,Pilatus,2505,10 Jun 25
EJU64VT,A320,LPPR,LFLL,Pilatus,2505,10 Jun 25
N652PP,C680,BIKF,KGRR,Pilatus,2505,10 Jun 25
N703RK,GLF5,BIKF,EGLF,Pilatus,2505,10 Jun 25
N155RW,C56X,CYYT,LPLA,Pilatus,2505,10 Jun 25
KNT911,LJ45,BIKF,CYYR,Pilatus,2505,10 Jun 25
TLK822,LJ45,CYYR,BIKF,Pilatus,2505,10 Jun 25
RYS3011,B738,EPKT,LGKO,Pilatus,2505,10 Jun 25
EZS43UK,A320,LSGG,LFMN,Pilatus,2505,10 Jun 25
