continent;country;city;airport_name;iata_code
Europe;France;Ajaccio;Ajaccio Napoleon Bonaparte;AJA
Europe;France;Bastia;Poretta;BIA
Europe;France;Beauvais;Beauvais–Tillé;BVA
Europe;France;Bergerac;Bergerac Dordogne Périgord;EGC
Europe;France;Béziers;Béziers Cap d'Agde;BZR
Europe;France;Biarritz;Biarritz Pays Basque;BIQ
Europe;France;Bordeaux;Bordeaux–Mérignac;BOD
Europe;France;Brest;Brest Bretagne;BES
Europe;France;Carcassonne;Carcassonne;CCF
Europe;France;Châlons-en-Champagne;Châlons Vatry;XCR
Europe;France;Chambéry;Chambéry;CMF
Europe;France;Dinard;Dinard–Pleurtuit–Saint-Malo;DNR
Europe;France;Figari;Figari–Sud Corse;FSC
Europe;France;Grenoble;Alpes–Isère;GNB
Europe;France;La Rochelle;La Rochelle – Île de Ré;LRH
Europe;France;Lille;Lille;LIL
Europe;France;Limoges;Limoges – Bellegarde;LIG
Europe;France;Lyon;Lyon–Saint-Exupéry;LYS
Europe;France;Marseille;Marseille Provence;MRS
Europe;France;Mulhouse;EuroAirport Basel Mulhouse ;BSL
Europe;France;Nantes;Nantes Atlantique;NTE
Europe;France;Nice;Nice Côte d'Azur;NCE
Europe;France;Nîmes;Nîmes–Alès–Camargue–Cévennes;FNI
Europe;France;Paris;Charles de Gaulle;CDG
Europe;France;Paris;Orly;ORY
Europe;France;Pau;Pau Pyrénées;PUF
Europe;France;Perpignan;Perpignan–Rivesaltes;PGF
Europe;France;Poitiers;Poitiers–Biard;PIS
Europe;France;Rodez;Rodez–Aveyron;RDZ
Europe;France;Saint-Étienne;Saint-Étienne–Bouthéon;EBU
Europe;France;Strasbourg;Strasbourg;SXB
Europe;France;Toulon;Toulon–Hyères;TLN
Europe;France;Toulouse;Toulouse–Blagnac;TLS
Europe;France;Tours;Tours Val de Loire;TUF
Europe;Germany;Baden-Baden/Karlsruhe;Karlsruhe/Baden-Baden;FKB
Europe;Germany;Berlin;Berlin Brandenburg;BER
Europe;Germany;Bremen;Bremen;BRE
Europe;Germany;Cologne/Bonn;Cologne/Bonn;CGN
Europe;Germany;Dortmund;Dortmund;DTM
Europe;Germany;Düsseldorf;Düsseldorf;DUS
Europe;Germany;Frankfurt;Frankfurt;FRA
Europe;Germany;Frankfurt;Frankfurt-Hahn;HHN
Europe;Germany;Freiburg im Breisgau;EuroAirport Basel–Mulhouse–Freiburg;MLH/BSL/EAP
Europe;Germany;Friedrichshafen;Friedrichshafen;FDH
Europe;Germany;Hamburg;Hamburg;HAM
Europe;Germany;Hanover;Hannover;HAJ
Europe;Germany;Leipzig;Leipzig/Halle;LEJ
Europe;Germany;Lübeck;Lübeck;LBC
Europe;Germany;Memmingen;Memmingen;FMM
Europe;Germany;Munich;Munich;MUC
Europe;Germany;Nuremberg;Nuremberg;NUE
Europe;Germany;Stuttgart;Stuttgart;STR
Europe;Germany;Weeze;Weeze;NRN
Europe;Netherlands;Amsterdam;Amsterdam Airport;AMS
Europe;Netherlands;Eindhoven;Eindhoven Airport;EIN
Europe;Netherlands;Groningen;Groningen Airport Eelde;GRQ
Europe;Netherlands;Maastricht;Maastricht Aachen Airport;MST
Europe;Netherlands;Rotterdam;Rotterdam The Hague Airport;RTM
