feature,importance,pipeline,problem_type
flightLegs_scheduledFlightDuration,0.2061446807357568,DecisionTree,classification
flightLegs_aircraft_typeCode_E90,0.06643471003382771,DecisionTree,classification
flightLegs_arrivalInformation_airport_code_ORY,0.05433508334089198,DecisionTree,classification
flightLegs_departureInformation_airport_code_AMS,0.051947179900878764,DecisionTree,classification
flightLegs_arrivalInformation_airport_code_AMS,0.04768332620216315,DecisionTree,classification
flightLegs_aircraft_typeCode_223,0.034303275027835575,DecisionTree,classification
flightLegs_aircraft_typeCode_E7W,0.02338928766511934,DecisionTree,classification
flightLegs_departureInformation_airport_code_CDG,0.023261947096668824,DecisionTree,classification
flightLegs_aircraft_typeCode_32A,0.022391127664317667,DecisionTree,classification
flightLegs_aircraft_typeCode_320,0.02206355001952714,DecisionTree,classification
flightLegs_aircraft_typeCode_321,0.01978741539526074,DecisionTree,classification
flightLegs_departureInformation_airport_code_ORY,0.019321158808538012,DecisionTree,classification
flightLegs_aircraft_typeCode_73H,0.018268611204509354,DecisionTree,classification
flightLegs_season_summer,0.014549769805141855,DecisionTree,classification
flightLegs_arrivalInformation_times_scheduled_dayPeriod_morning,0.01449247908658555,DecisionTree,classification
flightLegs_arrivalInformation_airport_code_CDG,0.014219234371083182,DecisionTree,classification
flightLegs_aircraft_typeCode_E70,0.013991437181946172,DecisionTree,classification
flightLegs_aircraft_typeCode_32N,0.013876149583713788,DecisionTree,classification
flightLegs_aircraft_typeCode_318,0.012428711142236606,DecisionTree,classification
flightLegs_departureInformation_times_scheduled_dayPeriod_evening,0.011789326748687953,DecisionTree,classification
flightLegs_scheduledFlightDuration,0.17915806262927597,RandomForest,classification
flightLegs_aircraft_typeCode_E90,0.04723305057808241,RandomForest,classification
flightLegs_departureInformation_airport_code_AMS,0.04405286044414775,RandomForest,classification
flightLegs_aircraft_typeCode_32N,0.02546443829585862,RandomForest,classification
flightLegs_arrivalInformation_airport_code_AMS,0.025176844679660873,RandomForest,classification
flightLegs_aircraft_typeCode_295,0.0247800535872141,RandomForest,classification
flightLegs_arrivalInformation_airport_code_ORY,0.02371519085344731,RandomForest,classification
flightLegs_departureInformation_airport_code_CDG,0.02289293784140174,RandomForest,classification
flightLegs_season_summer,0.020194572939488734,RandomForest,classification
flightLegs_aircraft_typeCode_E7W,0.01855418758972296,RandomForest,classification
flightLegs_aircraft_typeCode_73H,0.017459133793798827,RandomForest,classification
flightLegs_aircraft_typeCode_223,0.016560363693886426,RandomForest,classification
flightLegs_departureInformation_airport_code_ORY,0.016458308108837864,RandomForest,classification
flightLegs_aircraft_typeCode_32A,0.015899278222235934,RandomForest,classification
flightLegs_arrivalInformation_airport_code_CDG,0.015556593029981438,RandomForest,classification
flightLegs_arrivalInformation_times_scheduled_dayPeriod_morning,0.014143920864950848,RandomForest,classification
flightLegs_aircraft_typeCode_32S,0.013500533851272587,RandomForest,classification
flightLegs_departureInformation_times_scheduled_dayPeriod_morning,0.013429395721459063,RandomForest,classification
flightLegs_arrivalInformation_times_scheduled_dayPeriod_evening,0.013093974997967862,RandomForest,classification
flightLegs_departureInformation_times_scheduled_dayPeriod_evening,0.01269953020905187,RandomForest,classification
flightLegs_arrivalInformation_airport_code_PDL,532.4953124880252,LinearRegression,regression
flightLegs_aircraft_typeCode_290,170.2431782309654,LinearRegression,regression
flightLegs_aircraft_typeCode_781,168.00900817633865,LinearRegression,regression
flightLegs_aircraft_typeCode_73G,165.58365436920735,LinearRegression,regression
flightLegs_aircraft_typeCode_AT7,163.3943826373682,LinearRegression,regression
flightLegs_aircraft_typeCode_339,158.90051828374848,LinearRegression,regression
flightLegs_aircraft_typeCode_7M9,154.84678285301223,LinearRegression,regression
flightLegs_aircraft_typeCode_221,154.19992727904963,LinearRegression,regression
flightLegs_aircraft_typeCode_733,153.68384409364526,LinearRegression,regression
flightLegs_aircraft_typeCode_32S,153.36491271285738,LinearRegression,regression
flightLegs_aircraft_typeCode_738,152.52458191596338,LinearRegression,regression
flightLegs_aircraft_typeCode_DH4,152.28778488411993,LinearRegression,regression
flightLegs_aircraft_typeCode_E7W,151.881473856975,LinearRegression,regression
flightLegs_aircraft_typeCode_CS3,151.33094761698445,LinearRegression,regression
flightLegs_aircraft_typeCode_32B,150.28707808555092,LinearRegression,regression
flightLegs_aircraft_typeCode_7S8,149.009724766405,LinearRegression,regression
flightLegs_aircraft_typeCode_295,148.51504769483896,LinearRegression,regression
flightLegs_aircraft_typeCode_32N,148.38990323767945,LinearRegression,regression
flightLegs_aircraft_typeCode_73W,148.18876895893067,LinearRegression,regression
flightLegs_aircraft_typeCode_220,147.5642057490766,LinearRegression,regression
flightLegs_scheduledFlightDuration,0.1772855273763829,DecisionTreeRegressor,regression
flightLegs_arrivalInformation_times_scheduled_dayPeriod_evening,0.13190999078602053,DecisionTreeRegressor,regression
flightLegs_departureInformation_times_scheduled_dayPeriod_morning,0.0610955956271505,DecisionTreeRegressor,regression
flightLegs_season_summer,0.04061825756711858,DecisionTreeRegressor,regression
flightLegs_season_spring,0.040382450799495956,DecisionTreeRegressor,regression
flightLegs_aircraft_typeCode_32A,0.03419461519019999,DecisionTreeRegressor,regression
flightLegs_departureInformation_times_scheduled_dayPeriod_evening,0.03249645556552707,DecisionTreeRegressor,regression
flightLegs_aircraft_typeCode_E90,0.027439124823989778,DecisionTreeRegressor,regression
flightLegs_aircraft_typeCode_321,0.023745721424202393,DecisionTreeRegressor,regression
flightLegs_aircraft_typeCode_320,0.012411448139767415,DecisionTreeRegressor,regression
flightLegs_departureInformation_airport_code_LYS,0.01217210711195995,DecisionTreeRegressor,regression
flightLegs_departureInformation_airport_code_NCE,0.01181257930319471,DecisionTreeRegressor,regression
flightLegs_aircraft_typeCode_319,0.011360556774915008,DecisionTreeRegressor,regression
flightLegs_arrivalInformation_airport_code_PDL,0.011067229699493806,DecisionTreeRegressor,regression
flightLegs_arrivalInformation_airport_code_LHR,0.00860213233351209,DecisionTreeRegressor,regression
flightLegs_aircraft_typeCode_73H,0.0083625246044846,DecisionTreeRegressor,regression
flightLegs_arrivalInformation_airport_code_NCE,0.008336846858701365,DecisionTreeRegressor,regression
flightLegs_arrivalInformation_times_scheduled_dayPeriod_morning,0.008095890465016293,DecisionTreeRegressor,regression
flightLegs_arrivalInformation_airport_code_BOJ,0.007395652839619681,DecisionTreeRegressor,regression
flightLegs_aircraft_typeCode_E70,0.006905478783213055,DecisionTreeRegressor,regression
flightLegs_scheduledFlightDuration,0.14835968647859132,RandomForestRegressor,regression
flightLegs_arrivalInformation_times_scheduled_dayPeriod_evening,0.08563252997893349,RandomForestRegressor,regression
flightLegs_season_summer,0.05622759171189366,RandomForestRegressor,regression
flightLegs_departureInformation_times_scheduled_dayPeriod_evening,0.05206202680767388,RandomForestRegressor,regression
flightLegs_departureInformation_times_scheduled_dayPeriod_morning,0.05083184394711849,RandomForestRegressor,regression
flightLegs_aircraft_typeCode_E90,0.041243815596437,RandomForestRegressor,regression
flightLegs_season_spring,0.024987808557582827,RandomForestRegressor,regression
flightLegs_aircraft_typeCode_32A,0.023231629948585145,RandomForestRegressor,regression
