feature,importance
flightLegs_departureInformation_airport_code_WAW,0.052826658
flightLegs_departureInformation_times_scheduled_dayPeriod_morning,0.050855152
flightLegs_arrivalInformation_airport_code_PDL,0.03886673
flightLegs_aircraft_typeCode_321,0.0321537
flightLegs_departureInformation_airport_code_BRS,0.031839196
flightLegs_arrivalInformation_airport_code_BOJ,0.02652726
flightLegs_departureInformation_airport_code_FSC,0.023912037
flightLegs_arrivalInformation_airport_code_FAO,0.023607295
flightLegs_departureInformation_airport_code_NCE,0.02224551
flightLegs_arrivalInformation_airport_code_BRS,0.017560115
flightLegs_arrivalInformation_airport_code_BES,0.01624878
flightLegs_departureInformation_airport_code_DUB,0.0154497875
flightLegs_aircraft_typeCode_77W,0.015117241
flightLegs_aircraft_typeCode_AT7,0.014536382
flightLegs_arrivalInformation_airport_code_FSC,0.013515906
flightLegs_arrivalInformation_times_scheduled_dayPeriod_evening,0.01349562
flightLegs_departureInformation_airport_code_ORY,0.012973364
flightLegs_departureInformation_airport_code_AMS,0.012575023
flightLegs_arrivalInformation_airport_code_NCE,0.011708743
flightLegs_departureInformation_airport_code_MAD,0.011351975
flightLegs_arrivalInformation_airport_code_AMS,0.0111509105
flightLegs_departureInformation_airport_code_ZRH,0.010470643
flightLegs_departureInformation_airport_code_DUS,0.010131883
flightLegs_arrivalInformation_airport_code_NCL,0.009231512
flightLegs_season_spring,0.008669185
flightLegs_arrivalInformation_airport_code_CPH,0.008628491
flightLegs_arrivalInformation_airport_code_NAP,0.008471604
flightLegs_arrivalInformation_airport_code_CDG,0.008325405
flightLegs_aircraft_typeCode_320,0.008205494
flightLegs_departureInformation_airport_code_BUD,0.008093458
flightLegs_arrivalInformation_airport_code_KGS,0.00763868
flightLegs_arrivalInformation_times_scheduled_dayPeriod_morning,0.0074537024
flightLegs_departureInformation_airport_code_PRG,0.0074057695
flightLegs_scheduledFlightDuration,0.0071737478
flightLegs_departureInformation_airport_code_LIN,0.007121795
flightLegs_departureInformation_airport_code_FCO,0.006996741
flightLegs_departureInformation_airport_code_BER,0.006787812
flightLegs_departureInformation_airport_code_MAN,0.0066620936
flightLegs_arrivalInformation_airport_code_BCN,0.0066347285
flightLegs_aircraft_typeCode_E7W,0.0064353338
flightLegs_arrivalInformation_airport_code_OPO,0.0061114477
