feature,importance,pipeline,problem_type
flightLegs_scheduledFlightDuration,0.36189588016029284,DecisionTree,classification
flightLegs_arrivalInformation_airport_code_AMS,0.22659754046266667,DecisionTree,classification
flightLegs_departureInformation_airport_code_AMS,0.19789649877317828,DecisionTree,classification
flightLegs_aircraft_typeCode_E90,0.13884589587174836,DecisionTree,classification
flightLegs_aircraft_typeCode_E7W,0.07476418473211392,DecisionTree,classification
flightLegs_departureInformation_airport_code_EBU,0.0,DecisionTree,classification
flightLegs_departureInformation_airport_code_EFL,0.0,DecisionTree,classification
flightLegs_departureInformation_airport_code_EIN,0.0,DecisionTree,classification
flightLegs_departureInformation_airport_code_EXT,0.0,DecisionTree,classification
flightLegs_departureInformation_airport_code_FAE,0.0,DecisionTree,classification
flightLegs_departureInformation_airport_code_FAO,0.0,DecisionTree,classification
flightLegs_departureInformation_airport_code_FCO,0.0,DecisionTree,classification
flightLegs_departureInformation_airport_code_FLR,0.0,DecisionTree,classification
flightLegs_departureInformation_airport_code_FNC,0.0,DecisionTree,classification
flightLegs_departureInformation_airport_code_FNI,0.0,DecisionTree,classification
flightLegs_departureInformation_airport_code_FRA,0.0,DecisionTree,classification
flightLegs_departureInformation_airport_code_FSC,0.0,DecisionTree,classification
flightLegs_departureInformation_airport_code_EDI,0.0,DecisionTree,classification
flightLegs_departureInformation_airport_code_DUS,0.0,DecisionTree,classification
flightLegs_departureInformation_airport_code_DUB,0.0,DecisionTree,classification
flightLegs_scheduledFlightDuration,0.1801105332141231,RandomForest,classification
flightLegs_aircraft_typeCode_E90,0.04822643430604961,RandomForest,classification
flightLegs_departureInformation_airport_code_AMS,0.041637730725711586,RandomForest,classification
flightLegs_arrivalInformation_airport_code_AMS,0.024406836300531407,RandomForest,classification
flightLegs_aircraft_typeCode_32N,0.024085963201710758,RandomForest,classification
flightLegs_aircraft_typeCode_295,0.023947363615469723,RandomForest,classification
flightLegs_arrivalInformation_airport_code_ORY,0.022487157501885235,RandomForest,classification
flightLegs_departureInformation_airport_code_CDG,0.021608455227375593,RandomForest,classification
flightLegs_season_summer,0.021331301744435992,RandomForest,classification
flightLegs_aircraft_typeCode_73H,0.019438828791486996,RandomForest,classification
flightLegs_aircraft_typeCode_E7W,0.018348449978295867,RandomForest,classification
flightLegs_aircraft_typeCode_223,0.016937707870118345,RandomForest,classification
flightLegs_departureInformation_airport_code_ORY,0.016486181003360134,RandomForest,classification
flightLegs_arrivalInformation_airport_code_CDG,0.015841939788305205,RandomForest,classification
flightLegs_aircraft_typeCode_32A,0.015010927316302014,RandomForest,classification
flightLegs_arrivalInformation_times_scheduled_dayPeriod_morning,0.014386768344458288,RandomForest,classification
flightLegs_departureInformation_times_scheduled_dayPeriod_morning,0.013487206038740358,RandomForest,classification
flightLegs_arrivalInformation_times_scheduled_dayPeriod_evening,0.013435126422210755,RandomForest,classification
flightLegs_departureInformation_times_scheduled_dayPeriod_evening,0.01340897234704153,RandomForest,classification
flightLegs_aircraft_typeCode_32S,0.0128969664845781,RandomForest,classification
flightLegs_arrivalInformation_airport_code_PDL,532.4953124880252,LinearRegression,regression
flightLegs_aircraft_typeCode_290,170.2431782309654,LinearRegression,regression
flightLegs_aircraft_typeCode_781,168.00900817633865,LinearRegression,regression
flightLegs_aircraft_typeCode_73G,165.58365436920735,LinearRegression,regression
flightLegs_aircraft_typeCode_AT7,163.3943826373682,LinearRegression,regression
flightLegs_aircraft_typeCode_339,158.90051828374848,LinearRegression,regression
flightLegs_aircraft_typeCode_7M9,154.84678285301223,LinearRegression,regression
flightLegs_aircraft_typeCode_221,154.19992727904963,LinearRegression,regression
flightLegs_aircraft_typeCode_733,153.68384409364526,LinearRegression,regression
flightLegs_aircraft_typeCode_32S,153.36491271285738,LinearRegression,regression
flightLegs_aircraft_typeCode_738,152.52458191596338,LinearRegression,regression
flightLegs_aircraft_typeCode_DH4,152.28778488411993,LinearRegression,regression
flightLegs_aircraft_typeCode_E7W,151.881473856975,LinearRegression,regression
flightLegs_aircraft_typeCode_CS3,151.33094761698445,LinearRegression,regression
flightLegs_aircraft_typeCode_32B,150.28707808555092,LinearRegression,regression
flightLegs_aircraft_typeCode_7S8,149.009724766405,LinearRegression,regression
flightLegs_aircraft_typeCode_295,148.51504769483896,LinearRegression,regression
flightLegs_aircraft_typeCode_32N,148.38990323767945,LinearRegression,regression
flightLegs_aircraft_typeCode_73W,148.18876895893067,LinearRegression,regression
flightLegs_aircraft_typeCode_220,147.5642057490766,LinearRegression,regression
flightLegs_departureInformation_times_scheduled_dayPeriod_morning,0.2849818452623436,DecisionTreeRegressor,regression
flightLegs_scheduledFlightDuration,0.17229473386802513,DecisionTreeRegressor,regression
flightLegs_season_summer,0.1521090105290592,DecisionTreeRegressor,regression
flightLegs_aircraft_typeCode_321,0.10346771604684443,DecisionTreeRegressor,regression
flightLegs_arrivalInformation_airport_code_PDL,0.05162335368578284,DecisionTreeRegressor,regression
flightLegs_aircraft_typeCode_320,0.03913136844446942,DecisionTreeRegressor,regression
flightLegs_arrivalInformation_airport_code_BOJ,0.03449120617603091,DecisionTreeRegressor,regression
flightLegs_departureInformation_airport_code_BRS,0.027950293386553818,DecisionTreeRegressor,regression
flightLegs_departureInformation_airport_code_WAW,0.02627376763933904,DecisionTreeRegressor,regression
flightLegs_arrivalInformation_times_scheduled_dayPeriod_morning,0.026251452509291163,DecisionTreeRegressor,regression
flightLegs_departureInformation_airport_code_DUB,0.024469318407855982,DecisionTreeRegressor,regression
flightLegs_departureInformation_airport_code_NCE,0.020590160363177325,DecisionTreeRegressor,regression
flightLegs_departureInformation_airport_code_FSC,0.014500442273557642,DecisionTreeRegressor,regression
flightLegs_arrivalInformation_airport_code_NAP,0.0076963452797672,DecisionTreeRegressor,regression
flightLegs_departureInformation_airport_code_CDG,0.004711830992740236,DecisionTreeRegressor,regression
flightLegs_arrivalInformation_airport_code_BES,0.002726197697881911,DecisionTreeRegressor,regression
flightLegs_departureInformation_airport_code_BER,0.002456521276330675,DecisionTreeRegressor,regression
flightLegs_departureInformation_airport_code_AMS,0.0024497320095711378,DecisionTreeRegressor,regression
flightLegs_arrivalInformation_airport_code_MAD,0.0018045369431740562,DecisionTreeRegressor,regression
flightLegs_departureInformation_times_scheduled_dayPeriod_evening,2.016720820437709e-05,DecisionTreeRegressor,regression
flightLegs_scheduledFlightDuration,0.14948912019508573,RandomForestRegressor,regression
flightLegs_arrivalInformation_times_scheduled_dayPeriod_evening,0.08212956702031135,RandomForestRegressor,regression
flightLegs_season_summer,0.057002198142872385,RandomForestRegressor,regression
flightLegs_departureInformation_times_scheduled_dayPeriod_evening,0.05456150964845096,RandomForestRegressor,regression
flightLegs_departureInformation_times_scheduled_dayPeriod_morning,0.05136347989073469,RandomForestRegressor,regression
flightLegs_aircraft_typeCode_E90,0.03935070767357581,RandomForestRegressor,regression
flightLegs_aircraft_typeCode_32A,0.024891645168179214,RandomForestRegressor,regression
flightLegs_season_spring,0.022550949538535058,RandomForestRegressor,regression
flightLegs_aircraft_typeCode_321,0.02127097071563685,RandomForestRegressor,regression
flightLegs_aircraft_typeCode_320,0.015055055812185303,RandomForestRegressor,regression
flightLegs_arrivalInformation_airport_code_PDL,0.014033365037069803,RandomForestRegressor,regression
flightLegs_aircraft_typeCode_319,0.01305390493309596,RandomForestRegressor,regression
flightLegs_aircraft_typeCode_73H,0.011775969220290701,RandomForestRegressor,regression
flightLegs_departureInformation_airport_code_NCE,0.01098496878823944,RandomForestRegressor,regression
flightLegs_aircraft_typeCode_223,0.010793210144502461,RandomForestRegressor,regression
flightLegs_aircraft_typeCode_E70,0.008773494758538846,RandomForestRegressor,regression
flightLegs_arrivalInformation_airport_code_NCE,0.008607701758108531,RandomForestRegressor,regression
flightLegs_aircraft_typeCode_295,0.008464377962398484,RandomForestRegressor,regression
flightLegs_arrivalInformation_times_scheduled_dayPeriod_morning,0.007963411629301828,RandomForestRegressor,regression
flightLegs_departureInformation_airport_code_LHR,0.007670606064874924,RandomForestRegressor,regression
flightLegs_departureInformation_times_scheduled_dayPeriod_morning,0.08717896044254303,XGBRegressor,regression
flightLegs_departureInformation_airport_code_WAW,0.049774717539548874,XGBRegressor,regression
flightLegs_arrivalInformation_airport_code_PDL,0.041834454983472824,XGBRegressor,regression
flightLegs_aircraft_typeCode_321,0.035375677049160004,XGBRegressor,regression
flightLegs_arrivalInformation_airport_code_BOJ,0.031437721103429794,XGBRegressor,regression
flightLegs_departureInformation_airport_code_BRS,0.03111535869538784,XGBRegressor,regression
flightLegs_departureInformation_airport_code_NCE,0.027328234165906906,XGBRegressor,regression
flightLegs_departureInformation_airport_code_FSC,0.021397283300757408,XGBRegressor,regression
flightLegs_aircraft_typeCode_77W,0.017285650596022606,XGBRegressor,regression
flightLegs_arrivalInformation_airport_code_MUC,0.017142726108431816,XGBRegressor,regression
flightLegs_aircraft_typeCode_AT7,0.01662999764084816,XGBRegressor,regression
flightLegs_departureInformation_airport_code_AMS,0.016501301899552345,XGBRegressor,regression
flightLegs_departureInformation_airport_code_ZRH,0.016300784423947334,XGBRegressor,regression
flightLegs_arrivalInformation_airport_code_FAO,0.015332398004829884,XGBRegressor,regression
flightLegs_arrivalInformation_airport_code_NCE,0.013744587078690529,XGBRegressor,regression
flightLegs_arrivalInformation_airport_code_FSC,0.013539203442633152,XGBRegressor,regression
flightLegs_arrivalInformation_airport_code_BRS,0.013343182392418385,XGBRegressor,regression
flightLegs_season_spring,0.013248546980321407,XGBRegressor,regression
flightLegs_arrivalInformation_airport_code_AMS,0.012867827899754047,XGBRegressor,regression
