feature,importance
flightLegs_departureInformation_times_scheduled_dayPeriod_morning,0.2849818452623436
flightLegs_scheduledFlightDuration,0.1722947338680251
flightLegs_season_summer,0.1521090105290592
flightLegs_aircraft_typeCode_321,0.10346771604684442
flightLegs_arrivalInformation_airport_code_PDL,0.05162335368578283
flightLegs_arrivalInformation_airport_code_BOJ,0.03449120617603091
flightLegs_aircraft_typeCode_320,0.033820684156977
flightLegs_departureInformation_airport_code_BRS,0.027950293386553814
flightLegs_departureInformation_airport_code_WAW,0.026273767639339037
flightLegs_arrivalInformation_times_scheduled_dayPeriod_morning,0.02625145250929116
flightLegs_departureInformation_airport_code_DUB,0.02446931840785598
flightLegs_departureInformation_airport_code_NCE,0.020590160363177325
flightLegs_departureInformation_airport_code_FSC,0.01450044227355764
flightLegs_arrivalInformation_airport_code_NAP,0.007696345279767199
flightLegs_aircraft_typeCode_7M8,0.005310684287492416
flightLegs_departureInformation_airport_code_CDG,0.004711830992740236
flightLegs_arrivalInformation_airport_code_BES,0.0027261976978819108
flightLegs_departureInformation_airport_code_BER,0.002456521276330675
flightLegs_departureInformation_airport_code_AMS,0.0024497320095711378
flightLegs_arrivalInformation_airport_code_MAD,0.001804536943174056
flightLegs_arrivalInformation_times_scheduled_dayPeriod_evening,2.0167208204377088e-05
flightLegs_departureInformation_airport_code_BHD,0.0
flightLegs_departureInformation_airport_code_BHX,0.0
flightLegs_departureInformation_airport_code_BIA,0.0
flightLegs_arrivalInformation_airport_code_SEN,0.0
flightLegs_departureInformation_airport_code_BIO,0.0
flightLegs_departureInformation_airport_code_BGO,0.0
flightLegs_departureInformation_airport_code_BIQ,0.0
flightLegs_departureInformation_airport_code_BES,0.0
flightLegs_departureInformation_airport_code_BEG,0.0
flightLegs_departureInformation_airport_code_BLL,0.0
flightLegs_departureInformation_airport_code_BLQ,0.0
flightLegs_departureInformation_airport_code_BCN,0.0
flightLegs_departureInformation_airport_code_BOD,0.0
flightLegs_departureInformation_airport_code_BRE,0.0
flightLegs_departureInformation_airport_code_FRA,0.0
flightLegs_departureInformation_airport_code_FLR,0.0
flightLegs_departureInformation_airport_code_FCO,0.0
flightLegs_departureInformation_airport_code_FAO,0.0
flightLegs_departureInformation_airport_code_EXT,0.0
flightLegs_departureInformation_airport_code_EDI,0.0
flightLegs_departureInformation_airport_code_DUS,0.0
flightLegs_arrivalInformation_airport_code_RIX,0.0
flightLegs_arrivalInformation_airport_code_SCQ,0.0
flightLegs_departureInformation_airport_code_CWL,0.0
flightLegs_departureInformation_airport_code_CTA,0.0
flightLegs_departureInformation_airport_code_CPH,0.0
flightLegs_departureInformation_airport_code_CAG,0.0
flightLegs_departureInformation_airport_code_BUD,0.0
flightLegs_departureInformation_airport_code_BSL,0.0
flightLegs_departureInformation_airport_code_BRU,0.0
flightLegs_departureInformation_airport_code_ATH,0.0
flightLegs_departureInformation_airport_code_BRI,0.0
flightLegs_departureInformation_airport_code_DBV,0.0
flightLegs_arrivalInformation_airport_code_TOS,0.0
flightLegs_arrivalInformation_airport_code_SOF,0.0
flightLegs_arrivalInformation_airport_code_TLS,0.0
flightLegs_arrivalInformation_airport_code_TLN,0.0
flightLegs_arrivalInformation_airport_code_TLL,0.0
flightLegs_arrivalInformation_airport_code_SOU,0.0
flightLegs_arrivalInformation_airport_code_SPC,0.0
flightLegs_arrivalInformation_airport_code_TIV,0.0
flightLegs_departureInformation_airport_code_ALC,0.0
flightLegs_arrivalInformation_airport_code_SPU,0.0
flightLegs_arrivalInformation_airport_code_TGD,0.0
flightLegs_arrivalInformation_airport_code_TFS,0.0
flightLegs_arrivalInformation_airport_code_SZG,0.0
flightLegs_arrivalInformation_airport_code_SVQ,0.0
flightLegs_arrivalInformation_airport_code_SVG,0.0
flightLegs_arrivalInformation_airport_code_STR,0.0
