,precision,recall,f1-score,support
]000;005],0.3469387755102041,0.015310717502251577,0.029327199539965498,6662.0
]005;015],0.3539044481054366,0.8274401047685078,0.4957651565853546,12981.0
]015;030],0.2896922325354177,0.18372405246307963,0.22484833164812942,9683.0
]030;060],0.29371387283236994,0.121561004784689,0.17195431472081218,6688.0
]060;120],0.0,0.0,0.0,1835.0
]120;240],0.0,0.0,0.0,1524.0
]240;360],0.0,0.0,0.0,180.0
accuracy,0.33967082142947436,0.33967082142947436,0.33967082142947436,0.33967082142947436
macro avg,0.1834641898547755,0.16400512564550399,0.13169928607060882,39553.0
weighted avg,0.2951682055077742,0.33967082142947436,0.2517670506199623,39553.0
