,precision,recall,f1-score,support
]000;005],0.25,0.0003009328919650918,0.0006011421701232341,6646.0
]005;015],0.33371664532315815,0.9768954173360875,0.4974870456227841,13071.0
]015;030],0.379746835443038,0.012331723358339328,0.02388772767990445,9731.0
]030;060],0.2770979020979021,0.04618971295351887,0.07918071687273635,6863.0
]060;120],0.0,0.0,0.0,1772.0
]120;240],0.0,0.0,0.0,1467.0
]240;360],0.0,0.0,0.0,181.0
accuracy,0.3324356296091213,0.3324356296091213,0.3324356296091213,0.3324356296091213
macro avg,0.17722305469487118,0.14795968379141583,0.08587951890650689,39731.0
weighted avg,0.29248067324791993,0.3324356296091213,0.18329559039915405,39731.0
