,precision,recall,f1-score,support
]000;005],0.2608695652173913,0.0009027986758952753,0.001799370220422852,6646.0
]005;015],0.3497321291902648,0.8739958687170071,0.49956270771383593,13071.0
]015;030],0.28331987075928916,0.14417839893125065,0.19110535994006675,9731.0
]030;060],0.30750836920133906,0.0936908057700714,0.14362296180477999,6863.0
]060;120],0.0,0.0,0.0,1772.0
]120;240],0.0,0.0,0.0,1467.0
]240;360],0.0,0.0,0.0,181.0
accuracy,0.33918099217235914,0.33918099217235914,0.33918099217235914,0.33918099217235914
macro avg,0.17163284776689774,0.1589668388706035,0.11944148566844363,39731.0
weighted avg,0.28120367952652003,0.33918099217235914,0.23626572226864348,39731.0
