,precision,recall,f1-score,support
]000;005],0.35714285714285715,0.0007523322299127295,0.0015015015015015015,6646.0
]005;015],0.3501197568015722,0.8723127534236095,0.49968227534675813,13071.0
]015;030],0.278698224852071,0.14520604254444558,0.19093304506452266,9731.0
]030;060],0.30610283517539644,0.09281655252804896,0.14244186046511628,6863.0
]060;120],0.0,0.0,0.0,1772.0
]120;240],0.0,0.0,0.0,1467.0
]240;360],0.0,0.0,0.0,181.0
accuracy,0.33870277616974154,0.33870277616974154,0.33870277616974154,0.33870277616974154
macro avg,0.18458052485312812,0.1587268115322881,0.11922266891112838,39731.0
weighted avg,0.2960605812481193,0.33870277616974154,0.23600900933607052,39731.0
