,precision,recall,f1-score,support
]000;005],0.376,0.014143845922359314,0.027262180974477957,6646.0
]005;015],0.34923457087753135,0.886619233417489,0.5010917738622852,13071.0
]015;030],0.2883519489400502,0.12999691706916042,0.17920385323700241,9731.0
]030;060],0.31236673773987206,0.08538539997085823,0.13411145439981692,6863.0
]060;120],0.4166666666666667,0.0028216704288939053,0.005605381165919282,1772.0
]120;240],0.045454545454545456,0.0006816632583503749,0.001343183344526528,1467.0
]240;360],0.0,0.0,0.0,181.0
accuracy,0.3407918250232816,0.3407918250232816,0.3407918250232816,0.3407918250232816
macro avg,0.2554392099540951,0.15994981858101592,0.12123111814057545,39731.0
weighted avg,0.3226317475950702,0.3407918250232816,0.2367697219727154,39731.0
