feature,importance
flightlegs_aircraft_ownerairlinecode_PS,286.63610801212786
flightlegs_arrinfo_airport_code_PUY,194.61378105516326
flightlegs_aircraft_ownerairlinecode_QW,192.542670256629
flightlegs_aircraft_ownerairlinecode_TB,133.48737361830152
flightlegs_aircraft_ownerairlinecode_TP,127.58517170449946
flightlegs_aircraft_typecode_75W,110.38954026421075
flightlegs_arrinfo_airport_code_SCQ,103.97831573289758
flightlegs_aircraft_ownerairlinecode_FI,96.65523991905044
flightlegs_aircraft_ownerairlinecode_E9,88.74924681544246
flightlegs_arrinfo_airport_code_BTS,88.29506414887021
flightlegs_scheduledflightduration_PT15M,64.90113607604779
flightlegs_scheduledflightduration_PT4H15M,62.80064635784574
flightlegs_aircraft_ownerairlinecode_C3,61.053557483829294
flightlegs_scheduledflightduration_PT4H10M,59.72170144295342
flightlegs_arrinfo_airport_code_MJT,50.168566982549
flightlegs_scheduledflightduration_PT4H45M,47.03584711323858
flightlegs_scheduledflightduration_PT4H,46.49344505904068
flightlegs_aircraft_ownerairlinecode_I2,44.655515268488756
flightlegs_aircraft_ownerairlinecode_DY,44.26273507514059
flightlegs_aircraft_ownerairlinecode_ED,43.92837273188806
flightlegs_depinfo_airport_code_JTR,42.030051916969526
flightlegs_scheduledflightduration_PT3H40M,41.75046384582148
flightlegs_arrinfo_airport_code_OVD,40.38418071794911
flightlegs_scheduledflightduration_PT3H25M,39.58909587712507
flightlegs_aircraft_ownerairlinecode_RQ,39.425083146995114
flightlegs_scheduledflightduration_PT4H40M,39.39266152378915
flightlegs_depinfo_airport_code_HER,38.79602629115549
flightlegs_scheduledflightduration_PT3H20M,38.66401901057794
flightlegs_scheduledflightduration_PT3H15M,38.60503942237387
flightlegs_scheduledflightduration_PT3H10M,38.567290253084906
flightlegs_aircraft_ownerairlinecode_XG,37.140690040988005
flightlegs_aircraft_ownerairlinecode_A6,37.018534404013415
flightlegs_scheduledflightduration_PT3H30M,36.40668668208561
flightlegs_aircraft_ownerairlinecode_VY,36.052724024465
flightlegs_scheduledflightduration_PT2H55M,35.71449373926151
flightlegs_scheduledflightduration_PT3H,35.5585066187062
flightlegs_scheduledflightduration_PT1H26M,35.497596900642456
flightlegs_depinfo_airport_code_TFS,35.24705352067604
flightlegs_scheduledflightduration_PT3H5M,35.055621529670326
flightlegs_aircraft_ownerairlinecode_GT,34.70122228252886
flightlegs_aircraft_ownerairlinecode_DX,34.482405791662664
flightlegs_scheduledflightduration_PT50M,34.27312293044202
flightlegs_scheduledflightduration_PT2H5M,34.14642328525726
flightlegs_scheduledflightduration_PT3H35M,33.81544162937204
flightlegs_scheduledflightduration_PT2H10M,33.54468283844322
flightlegs_scheduledflightduration_PT1H45M,33.311828497278974
flightlegs_scheduledflightduration_PT2H30M,33.2253183434218
flightlegs_scheduledflightduration_PT2H50M,33.15608747264389
flightlegs_aircraft_ownerairlinecode_LG,33.07614958542248
flightlegs_scheduledflightduration_PT2H40M,32.88216006903911
flightlegs_aircraft_ownerairlinecode_QS,32.38663417062601
flightlegs_scheduledflightduration_PT1H55M,32.17350787076756
flightlegs_scheduledflightduration_PT1H50M,32.12637324081818
flightlegs_scheduledflightduration_PT2H,31.975285040284753
flightlegs_scheduledflightduration_PT1H40M,31.971052854473765
flightlegs_scheduledflightduration_PT1H25M,31.781101622268373
flightlegs_aircraft_ownerairlinecode_JP,31.671528546384362
flightlegs_scheduledflightduration_PT2H25M,31.471297051561578
flightlegs_depinfo_airport_code_TOS,31.392259953785455
flightlegs_scheduledflightduration_PT2H35M,30.975814024711973
flightlegs_scheduledflightduration_PT1H20M,30.971122980210872
flightlegs_scheduledflightduration_PT1H,30.885853586727965
flightlegs_scheduledflightduration_PT45M,30.807906179911303
flightlegs_scheduledflightduration_PT1H35M,30.806569298848814
flightlegs_scheduledflightduration_PT2H20M,30.790306294706628
flightlegs_aircraft_ownerairlinecode_JU,30.478702459335313
flightlegs_scheduledflightduration_PT40M,30.467891648961146
flightlegs_scheduledflightduration_PT1H10M,30.12821185570231
flightlegs_scheduledflightduration_PT2H15M,29.97911487377824
flightlegs_scheduledflightduration_PT1H15M,29.885857459200327
flightlegs_arrinfo_airport_code_FUE,29.80131008276222
flightlegs_scheduledflightduration_PT1H30M,29.757665540486098
flightlegs_scheduledflightduration_PT55M,29.44099766443742
flightlegs_aircraft_ownerairlinecode_KM,29.26562838487418
flightlegs_aircraft_ownerairlinecode_YY,28.896193398293445
flightlegs_scheduledflightduration_PT2H45M,28.798064596708368
flightlegs_scheduledflightduration_PT1H5M,28.43770791486561
flightlegs_aircraft_ownerairlinecode_U2,27.356163628125937
flightlegs_aircraft_ownerairlinecode_5O,26.9237068002844
flightlegs_aircraft_ownerairlinecode_HV,26.555632749097665
flightlegs_aircraft_ownerairlinecode_OU,26.53602942570777
flightlegs_arrinfo_airport_code_EFL,26.44001541220954
flightlegs_scheduledflightduration_PT5M,26.237097584111797
flightlegs_aircraft_ownerairlinecode_BA,25.989358994603773
flightlegs_aircraft_ownerairlinecode_GW,25.975786589028665
flightlegs_scheduledflightduration_PT3H50M,25.884150309717214
flightlegs_aircraft_ownerairlinecode_SR,25.439592521920222
flightlegs_aircraft_ownerairlinecode_8R,24.63478569606577
flightlegs_aircraft_ownerairlinecode_AP,23.977159000393225
flightlegs_aircraft_typecode_7S8,23.976746772583937
flightlegs_aircraft_ownerairlinecode_LO,23.93902059078438
flightlegs_arrinfo_airport_code_TFS,23.868037072371852
flightlegs_aircraft_ownerairlinecode_DS,23.817900713795176
flightlegs_aircraft_ownerairlinecode_OS,23.473787589213376
flightlegs_aircraft_ownerairlinecode_AF,23.39971928385905
flightlegs_arrinfo_airport_code_KGS,23.023904020102027
flightlegs_aircraft_ownerairlinecode_A2,22.43410279409511
flightlegs_aircraft_ownerairlinecode_LH,22.385750727766325
flightlegs_arrinfo_airport_code_RMO,22.35802637238131
flightlegs_aircraft_ownerairlinecode_T3,22.34468329629304
flightlegs_aircraft_ownerairlinecode_RO,21.885686466756837
flightlegs_aircraft_ownerairlinecode_FB,21.780599749156664
flightlegs_arrinfo_airport_code_JSI,21.046751339648814
flightlegs_arrinfo_airport_code_KLX,20.570432688486434
flightlegs_aircraft_ownerairlinecode_99,20.08439019691944
flightlegs_arrinfo_airport_code_CHQ,20.070462656720103
flightlegs_aircraft_ownerairlinecode_BD,19.990230065425408
flightlegs_aircraft_ownerairlinecode_IB,19.936978946349225
flightlegs_aircraft_ownerairlinecode_EC,19.745504374314084
flightlegs_arrinfo_airport_code_RHO,19.492989420665026
flightlegs_aircraft_typecode_73G,19.449829656277817
flightlegs_aircraft_ownerairlinecode_EI,19.33697865262354
flightlegs_aircraft_ownerairlinecode_AZ,19.293733062174145
flightlegs_aircraft_ownerairlinecode_SK,19.051809372963067
flightlegs_scheduledflightduration_PT3H55M,18.991710500013767
flightlegs_depinfo_airport_code_RHO,18.991710500013767
flightlegs_aircraft_ownerairlinecode_WK,18.254565536521824
flightlegs_aircraft_ownerairlinecode_OK,18.191982127190908
flightlegs_aircraft_ownerairlinecode_VO,17.854091223930215
flightlegs_arrinfo_airport_code_STN,17.76836549842952
flightlegs_arrinfo_airport_code_GRX,17.49227605364522
flightlegs_aircraft_ownerairlinecode_C0,16.63371603204753
flightlegs_aircraft_ownerairlinecode_T7,16.0325524035227
flightlegs_arrinfo_airport_code_ATH,15.839301815995496
flightlegs_aircraft_typecode_AT4,15.423026960880769
flightlegs_aircraft_ownerairlinecode_BT,15.351624088108812
flightlegs_aircraft_ownerairlinecode_A5,15.241573166197387
flightlegs_arrinfo_airport_code_HER,15.240450389217726
flightlegs_aircraft_ownerairlinecode_XK,15.0275343988997
flightlegs_depinfo_airport_code_ALC,14.595891446706553
flightlegs_aircraft_ownerairlinecode_KL,14.045558120021676
flightlegs_aircraft_typecode_738,13.985103068623665
flightlegs_aircraft_ownerairlinecode_TO,13.415326408544914
flightlegs_arrinfo_airport_code_LPA,13.216329870717155
flightlegs_aircraft_typecode_321,12.865157966229237
flightlegs_depinfo_airport_code_MME,12.720258440191134
flightlegs_arrinfo_airport_code_PDL,12.556413939792277
flightlegs_scheduledflightduration_PT20M,12.081153852549168
flightlegs_arrinfo_airport_code_NCE,12.022927266310573
flightlegs_depinfo_airport_code_VRN,11.870725988025775
flightlegs_arrinfo_airport_code_BEG,11.63202683535315
flightlegs_arrinfo_airport_code_FAE,11.311636414283381
flightlegs_aircraft_ownerairlinecode_RC,11.311636414283381
flightlegs_depinfo_airport_code_HUY,11.29162498300125
flightlegs_aircraft_typecode_DH4,11.290055484115298
flightlegs_aircraft_typecode_7M8,11.279714282508925
flightlegs_arrinfo_airport_code_INN,11.090308524449643
flightlegs_arrinfo_airport_code_LPL,11.0323168904025
flightlegs_aircraft_ownerairlinecode_NL,10.986838269863668
flightlegs_aircraft_typecode_ER4,10.986838269863668
flightlegs_depinfo_times_scheduled_dayPeriod_night,10.647742614941231
flightlegs_arrinfo_airport_code_PMI,10.588555754616323
flightlegs_aircraft_ownerairlinecode_AY,10.487678202295477
flightlegs_arrinfo_airport_code_BCN,10.32401685795719
flightlegs_arrinfo_airport_code_SKG,10.309945516678251
flightlegs_arrinfo_airport_code_VAR,10.247532569261132
flightlegs_aircraft_typecode_295,10.21849348547737
flightlegs_aircraft_typecode_77W,10.193475111009418
flightlegs_arrinfo_airport_code_TGD,10.072555634238851
flightlegs_depinfo_airport_code_NTE,9.941095964373606
flightlegs_arrinfo_airport_code_MAH,9.872571785446494
flightlegs_depinfo_airport_code_TRD,9.823343984028515
flightlegs_aircraft_typecode_E90,9.752905759897317
flightlegs_arrinfo_airport_code_PVK,9.751644128852512
flightlegs_depinfo_airport_code_CTA,9.658882487505165
flightlegs_arrinfo_airport_code_OPO,9.348130521827962
flightlegs_arrinfo_airport_code_SOF,9.099766722539293
flightlegs_aircraft_typecode_290,9.074381168551158
flightlegs_depinfo_airport_code_TIA,8.992477266768399
flightlegs_arrinfo_airport_code_JMK,8.949309811626232
flightlegs_depinfo_airport_code_MAD,8.941584544119445
flightlegs_arrinfo_airport_code_TIA,8.921018127047631
flightlegs_aircraft_typecode_733,8.852252586440576
flightlegs_depinfo_airport_code_BES,8.824868123792788
flightlegs_arrinfo_airport_code_FNC,8.721843832114933
flightlegs_arrinfo_airport_code_LGW,8.71123060372223
flightlegs_aircraft_ownerairlinecode_UQ,8.706905080563166
flightlegs_depinfo_airport_code_OSL,8.633292978269901
flightlegs_arrinfo_airport_code_KRS,8.606458216365905
flightlegs_arrinfo_airport_code_JTR,8.510979746212398
flightlegs_aircraft_typecode_E70,8.403451966400317
flightlegs_arrinfo_airport_code_ALC,8.399061800987946
flightlegs_arrinfo_airport_code_HUY,8.23498825178571
flightlegs_aircraft_ownerairlinecode_EN,8.204891689822196
flightlegs_arrinfo_airport_code_SZG,8.202967375519574
flightlegs_arrinfo_airport_code_CWL,8.101219742782162
flightlegs_depinfo_airport_code_NCE,8.083204369271941
flightlegs_arrinfo_airport_code_GOA,7.882023296203158
flightlegs_depinfo_airport_code_BRS,7.85383527170058
flightlegs_aircraft_typecode_32B,7.838374241610656
flightlegs_depinfo_airport_code_SOU,7.819500463888181
flightlegs_arrinfo_airport_code_AGP,7.6308757448839994
flightlegs_arrinfo_airport_code_BUD,7.629449138181636
flightlegs_arrinfo_airport_code_TRN,7.597968305733635
flightlegs_arrinfo_airport_code_PSA,7.522215499589711
flightlegs_depinfo_airport_code_LCY,7.517780112524091
flightlegs_depinfo_airport_code_LHR,7.507650451373493
flightlegs_arrinfo_airport_code_VCE,7.4925221215829065
flightlegs_aircraft_ownerairlinecode_LX,7.450762396246768
flightlegs_aircraft_ownerairlinecode_ZQ,7.328075215964547
flightlegs_depinfo_airport_code_LIS,7.321355056422537
flightlegs_aircraft_typecode_E7W,7.288300708236871
flightlegs_depinfo_airport_code_BLL,7.282954250049264
flightlegs_arrinfo_airport_code_GDN,7.255453460564972
flightlegs_arrinfo_airport_code_TLL,7.236131597311065
flightlegs_aircraft_typecode_AT7,7.194909753323089
flightlegs_depinfo_airport_code_LYS,7.165580943342077
flightlegs_depinfo_airport_code_CDG,7.15090886396821
flightlegs_arrinfo_airport_code_WRO,6.965912531210823
flightlegs_season_spring,6.8937693418831705
flightlegs_arrinfo_airport_code_FSC,6.837554118221638
flightlegs_arrinfo_airport_code_BOJ,6.828688301337773
flightlegs_arrinfo_airport_code_PRG,6.805189063129708
flightlegs_depinfo_airport_code_HAM,6.790407763662651
flightlegs_arrinfo_airport_code_FAO,6.76779927472477
flightlegs_aircraft_typecode_E75,6.7578695567955975
flightlegs_depinfo_airport_code_SVQ,6.756817405170662
flightlegs_arrinfo_airport_code_CFU,6.723272058151769
flightlegs_depinfo_airport_code_ABZ,6.635726377352778
flightlegs_arrinfo_airport_code_MAN,6.625907159564613
flightlegs_arrinfo_airport_code_FCO,6.402662868545126
flightlegs_aircraft_ownerairlinecode_CE,6.325940297888981
flightlegs_arrinfo_airport_code_NAP,6.300131410865189
flightlegs_arrinfo_airport_code_TIV,6.293366727232716
flightlegs_arrinfo_airport_code_CTA,6.282264367344644
flightlegs_depinfo_airport_code_BRE,6.202811602180074
flightlegs_depinfo_airport_code_NWI,6.194721613340971
flightlegs_depinfo_airport_code_NAP,6.194266780771968
flightlegs_arrinfo_airport_code_ZRH,6.107671435425478
flightlegs_arrinfo_airport_code_LIG,6.087687010078372
flightlegs_arrinfo_airport_code_NWI,6.05711466277301
flightlegs_arrinfo_airport_code_ACE,5.960274904062016
flightlegs_depinfo_airport_code_BRU,5.9601173857311265
flightlegs_depinfo_airport_code_PUF,5.939705421075292
flightlegs_depinfo_airport_code_VLC,5.937910666210758
flightlegs_depinfo_airport_code_MLA,5.91187480718074
flightlegs_depinfo_airport_code_BGO,5.891593218069072
flightlegs_arrinfo_airport_code_DUB,5.865097910526036
flightlegs_arrinfo_airport_code_AMS,5.858717126162789
flightlegs_arrinfo_airport_city_country_areacode_N,5.858717126162789
flightlegs_depinfo_airport_code_SVG,5.857952149549521
flightlegs_arrinfo_airport_code_LIS,5.84745817974577
flightlegs_arrinfo_times_scheduled_dayPeriod_morning,5.846748355815574
flightlegs_depinfo_airport_code_GOT,5.8249398735001785
flightlegs_arrinfo_airport_code_AJA,5.769189855265457
flightlegs_arrinfo_airport_code_BIA,5.740974132676108
flightlegs_aircraft_ownerairlinecode_MT,5.728601422158464
flightlegs_depinfo_airport_code_HEL,5.657609782085547
flightlegs_depinfo_airport_code_CPH,5.62154357365414
flightlegs_aircraft_ownerairlinecode_UX,5.593208263470604
flightlegs_arrinfo_airport_code_TLS,5.539464953587737
flightlegs_depinfo_airport_code_FCO,5.502480614113357
flightlegs_aircraft_typecode_32S,5.492284166209756
flightlegs_arrinfo_airport_code_MRS,5.475113712250671
flightlegs_arrinfo_airport_code_LJU,5.398395167087138
flightlegs_arrinfo_airport_code_FLR,5.390222315186897
flightlegs_depinfo_airport_code_MXP,5.364801215212238
flightlegs_arrinfo_airport_code_KRK,5.299413149546752
flightlegs_depinfo_times_scheduled_dayPeriod_morning,5.286115694162573
flightlegs_aircraft_typecode_332,5.23842644115976
flightlegs_arrinfo_airport_code_LHR,5.168475152932537
flightlegs_arrinfo_airport_code_ORK,5.158561276427045
flightlegs_arrinfo_airport_code_ZAG,5.120945578063802
flightlegs_depinfo_airport_code_EDI,5.0864337898049605
flightlegs_depinfo_airport_code_BLQ,5.022145630360178
flightlegs_aircraft_typecode_BEH,5.014129566402575
flightlegs_aircraft_typecode_223,5.002061620533259
flightlegs_depinfo_airport_code_ORY,4.962701415959332
flightlegs_arrinfo_airport_code_MAD,4.960089951452397
flightlegs_aircraft_typecode_320,4.9336883011263
flightlegs_arrinfo_airport_code_KEF,4.926732110943465
flightlegs_arrinfo_airport_code_PMO,4.917957027880393
flightlegs_arrinfo_airport_code_TRD,4.902924473634789
flightlegs_arrinfo_airport_code_BDS,4.881486848745708
flightlegs_arrinfo_airport_code_OTP,4.865526681240339
flightlegs_arrinfo_airport_code_ZTH,4.854930109190808
flightlegs_arrinfo_airport_code_WAW,4.783470514466279
flightlegs_depinfo_airport_code_FAO,4.770201178445523
flightlegs_arrinfo_airport_code_BER,4.769187985216955
flightlegs_arrinfo_airport_code_SVG,4.7490315324102035
flightlegs_arrinfo_airport_code_BIO,4.681076828660495
flightlegs_depinfo_airport_code_LJU,4.680658257853432
flightlegs_depinfo_airport_code_PMI,4.673551899535091
flightlegs_arrinfo_airport_code_RIX,4.661692677592854
flightlegs_arrinfo_airport_code_EXT,4.640195883131985
flightlegs_arrinfo_airport_code_ARN,4.616802760665904
flightlegs_depinfo_airport_code_BOD,4.612803749823259
flightlegs_arrinfo_airport_code_BRU,4.603338532587123
flightlegs_aircraft_typecode_E95,4.5755300288042875
flightlegs_arrinfo_airport_code_MME,4.568934641565773
flightlegs_depinfo_airport_code_KRS,4.557689281417572
flightlegs_depinfo_airport_code_OPO,4.556721575976004
flightlegs_depinfo_airport_code_PMO,4.382408697106509
flightlegs_arrinfo_airport_code_BSL,4.366382704518145
flightlegs_arrinfo_airport_code_MXP,4.344225087863687
flightlegs_depinfo_airport_code_LIN,4.332247810991899
flightlegs_arrinfo_airport_code_OSL,4.2924249113791415
flightlegs_arrinfo_airport_code_EDI,4.276792071477191
flightlegs_arrinfo_airport_code_HAJ,4.238962502922933
flightlegs_arrinfo_airport_code_SVQ,4.183453759821944
flightlegs_depinfo_airport_code_DBV,4.180277223683576
flightlegs_arrinfo_airport_code_POZ,4.130611149679693
flightlegs_arrinfo_airport_code_AOK,4.125240002365357
flightlegs_arrinfo_airport_code_GVA,4.122766810602756
flightlegs_depinfo_airport_code_VCE,4.08618273886922
flightlegs_arrinfo_airport_code_LTN,4.030388589858963
flightlegs_arrinfo_airport_code_CAG,4.010393356014429
flightlegs_arrinfo_airport_code_ABZ,3.9735749761569084
flightlegs_depinfo_airport_code_LUX,3.966454643858562
flightlegs_depinfo_airport_code_FLR,3.961644502079512
flightlegs_aircraft_typecode_772,3.904131785727367
flightlegs_arrinfo_airport_code_PUF,3.8915431857603218
flightlegs_arrinfo_airport_code_IBZ,3.756197069199731
flightlegs_arrinfo_airport_code_BRS,3.731819305218689
flightlegs_depinfo_airport_code_SPU,3.727108818077127
flightlegs_arrinfo_airport_code_BHX,3.694351357312876
flightlegs_depinfo_airport_code_GVA,3.673775910369209
flightlegs_depinfo_airport_code_AES,3.6157561419920516
flightlegs_arrinfo_times_scheduled_dayPeriod_evening,3.547864382116639
flightlegs_arrinfo_airport_code_BIQ,3.524471585931156
flightlegs_aircraft_typecode_32Q,3.48528689087974
flightlegs_arrinfo_airport_code_VLC,3.472689404879839
flightlegs_aircraft_typecode_73J,3.44244978628643
flightlegs_depinfo_airport_code_CAG,3.4331295287043133
flightlegs_depinfo_airport_code_BRI,3.4038413512243637
flightlegs_depinfo_airport_code_ORK,3.3850066714755807
flightlegs_arrinfo_airport_code_BGO,3.3585532560865254
flightlegs_depinfo_airport_code_JMK,3.3528369541198364
flightlegs_arrinfo_airport_code_TLN,3.3522986345978416
flightlegs_arrinfo_airport_code_BOD,3.334136730353746
flightlegs_depinfo_airport_code_GLA,3.3308864634706254
flightlegs_depinfo_airport_code_ATH,3.3307613358363644
flightlegs_arrinfo_airport_code_AES,3.3114370147101875
flightlegs_depinfo_airport_code_IBZ,3.2849876214006186
flightlegs_depinfo_airport_code_GOA,3.276768389284166
flightlegs_aircraft_typecode_73H,3.185089532669887
flightlegs_aircraft_ownerairlinecode_TF,3.1770837040602204
flightlegs_depinfo_airport_code_ARN,3.0810979018002467
flightlegs_arrinfo_airport_code_VRN,3.0186662005660843
flightlegs_aircraft_typecode_319,2.9708162336031436
flightlegs_depinfo_airport_code_TLS,2.9577581441311382
flightlegs_arrinfo_airport_code_MLA,2.9536245951463713
flightlegs_depinfo_airport_code_KRK,2.953549328515821
flightlegs_depinfo_airport_code_FSC,2.9533218685184917
flightlegs_depinfo_airport_code_BUD,2.9274903080899803
flightlegs_depinfo_airport_code_VIE,2.9122124098170676
flightlegs_arrinfo_airport_code_GOT,2.911293422663906
flightlegs_arrinfo_airport_code_CPH,2.9078985502662933
flightlegs_arrinfo_airport_code_MUC,2.904220130455828
flightlegs_arrinfo_airport_code_PGF,2.8990666498303463
flightlegs_depinfo_airport_code_BHX,2.8751535180753343
flightlegs_arrinfo_airport_code_NCL,2.857568839368635
flightlegs_depinfo_airport_code_EXT,2.7586578027230106
flightlegs_aircraft_ownerairlinecode_WA,2.7555640930057077
flightlegs_arrinfo_airport_code_VIE,2.741947083851888
flightlegs_depinfo_airport_code_BEG,2.6099917205647887
flightlegs_depinfo_airport_code_STR,2.580015935217766
flightlegs_arrinfo_airport_code_HEL,2.5291434288965884
flightlegs_depinfo_airport_code_HAJ,2.520997755394748
flightlegs_depinfo_airport_code_MAN,2.5086815558910818
flightlegs_arrinfo_airport_code_LUX,2.496446937755919
flightlegs_aircraft_typecode_221,2.4763779666723553
flightlegs_arrinfo_airport_code_DUS,2.4714615414531456
flightlegs_arrinfo_airport_code_FRA,2.4277483603078243
flightlegs_arrinfo_airport_code_BRE,2.313567214415727
flightlegs_arrinfo_airport_code_LBA,2.2844942227623593
flightlegs_depinfo_airport_code_AJA,2.2447273242385353
flightlegs_depinfo_airport_code_PRG,2.1337907112412307
flightlegs_depinfo_airport_code_MUC,2.1110233718417994
flightlegs_arrinfo_airport_code_BLQ,2.108753787567016
flightlegs_depinfo_airport_code_BSL,2.0524611172405054
flightlegs_aircraft_typecode_CS3,2.019514595741764
flightlegs_arrinfo_airport_code_LIN,2.0125800144913013
flightlegs_depinfo_airport_code_BIQ,1.9933477545015228
flightlegs_depinfo_airport_code_WAW,1.9558720003915562
flightlegs_depinfo_airport_code_BIO,1.8897977030253201
flightlegs_arrinfo_airport_code_VNO,1.8777556143205838
flightlegs_arrinfo_airport_code_CDG,1.8711558051395294
flightlegs_arrinfo_airport_code_GLA,1.824458470602599
flightlegs_aircraft_typecode_32N,1.800129731746189
