pipeline,timestamp,best_pipeline,mode,problem_type,dataset_size_training,dataset_size_testing,accuracy,macro_avg_precision,macro_avg_recall,macro_avg_f1,processing_time,numeric_features,categorical_features,target_variable,mae,mse,rmse,r2,estimator__C,estimator__class_weight,estimator__dual,estimator__fit_intercept,estimator__intercept_scaling,estimator__l1_ratio,estimator__max_iter,estimator__multi_class,estimator__n_jobs,estimator__penalty,estimator__random_state,estimator__solver,estimator__tol,estimator__verbose,estimator__warm_start,n_jobs,estimator.C,estimator.class_weight,estimator.dual,estimator.fit_intercept,estimator.intercept_scaling,estimator.l1_ratio,estimator.max_iter,estimator.multi_class,estimator.n_jobs,estimator.penalty,estimator.random_state,estimator.solver,estimator.tol,estimator.verbose,estimator.warm_start,ccp_alpha,class_weight,criterion,max_depth,max_features,max_leaf_nodes,min_impurity_decrease,min_samples_leaf,min_samples_split,min_weight_fraction_leaf,monotonic_cst,random_state,splitter,bootstrap,max_samples,n_estimators,oob_score,verbose,warm_start,copy_X,fit_intercept,positive,tol,objective,base_score,booster,callbacks,colsample_bylevel,colsample_bynode,colsample_bytree,device,early_stopping_rounds,enable_categorical,eval_metric,feature_types,feature_weights,gamma,grow_policy,importance_type,interaction_constraints,learning_rate,max_bin,max_cat_threshold,max_cat_to_onehot,max_delta_step,max_leaves,min_child_weight,missing,monotone_constraints,multi_strategy,num_parallel_tree,reg_alpha,reg_lambda,sampling_method,scale_pos_weight,subsample,tree_method,validate_parameters,verbosity
Logistic_OVO,2025_11_27T19_14_21,False,simple,classification_status,420959,105240,0.865098821740783,0.5710487902385342,0.5809987864815506,0.5741029299112193,8,[],"['flightlegs_aircraft_ownerairlinecode', 'flightlegs_aircraft_typecode', 'flightlegs_depinfo_airport_country_name', 'flightlegs_arrinfo_airport_code', 'flightlegs_arrinfo_airport_country_name', 'flightlegs_depinfo_airport_code', 'flightlegs_scheduledflightduration', 'flightlegs_season', 'flightlegs_arrinfo_times_scheduled_dayPeriod', 'flightlegs_depinfo_times_scheduled_dayPeriod']",flightlegs_publishedstatus,,,,,1.0,,False,True,1.0,,1000.0,deprecated,,l2,,lbfgs,0.0001,0.0,False,6.0,1.0,,False,True,1.0,,1000.0,deprecated,,l2,,lbfgs,0.0001,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DecisionTree,2025_11_27T19_14_21,False,simple,classification_status,420959,105240,0.8741068034967693,0.5772134684643239,0.5875986666322596,0.5803502185955928,21,[],"['flightlegs_aircraft_ownerairlinecode', 'flightlegs_aircraft_typecode', 'flightlegs_depinfo_airport_country_name', 'flightlegs_arrinfo_airport_code', 'flightlegs_arrinfo_airport_country_name', 'flightlegs_depinfo_airport_code', 'flightlegs_scheduledflightduration', 'flightlegs_season', 'flightlegs_arrinfo_times_scheduled_dayPeriod', 'flightlegs_depinfo_times_scheduled_dayPeriod']",flightlegs_publishedstatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,gini,,,,0.0,1.0,2.0,0.0,,,best,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,2025_11_27T19_14_21,True,simple,classification_status,420959,105240,0.8743348536678069,0.5771477397125182,0.5867869281041622,0.5803151757128108,349,[],"['flightlegs_aircraft_ownerairlinecode', 'flightlegs_aircraft_typecode', 'flightlegs_depinfo_airport_country_name', 'flightlegs_arrinfo_airport_code', 'flightlegs_arrinfo_airport_country_name', 'flightlegs_depinfo_airport_code', 'flightlegs_scheduledflightduration', 'flightlegs_season', 'flightlegs_arrinfo_times_scheduled_dayPeriod', 'flightlegs_depinfo_times_scheduled_dayPeriod']",flightlegs_publishedstatus,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,0.0,,gini,,sqrt,,0.0,1.0,2.0,0.0,,,,True,,100.0,False,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logistic_OVR,2025_11_27T19_14_21,False,simple,classification_status,420959,105240,0.8651843405549221,0.5711172049805023,0.5811002509362818,0.5741702184703702,8,[],"['flightlegs_aircraft_ownerairlinecode', 'flightlegs_aircraft_typecode', 'flightlegs_depinfo_airport_country_name', 'flightlegs_arrinfo_airport_code', 'flightlegs_arrinfo_airport_country_name', 'flightlegs_depinfo_airport_code', 'flightlegs_scheduledflightduration', 'flightlegs_season', 'flightlegs_arrinfo_times_scheduled_dayPeriod', 'flightlegs_depinfo_times_scheduled_dayPeriod']",flightlegs_publishedstatus,,,,,1.0,,False,True,1.0,,1000.0,deprecated,,l2,,lbfgs,0.0001,0.0,False,6.0,1.0,,False,True,1.0,,1000.0,deprecated,,l2,,lbfgs,0.0001,0.0,False,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logistic_OVO,2025_11_27T19_14_21,True,simple,classification_delay,162276,40569,0.3402844536468732,0.17936013924620875,0.16207709180448426,0.1274546164142141,3,[],"['flightlegs_aircraft_ownerairlinecode', 'flightlegs_aircraft_typecode', 'flightlegs_depinfo_airport_country_name', 'flightlegs_arrinfo_airport_code', 'flightlegs_arrinfo_airport_country_name', 'flightlegs_depinfo_airport_code', 'flightlegs_scheduledflightduration', 'flightlegs_season', 'flightlegs_arrinfo_times_scheduled_dayPeriod', 'flightlegs_depinfo_times_scheduled_dayPeriod']",flightlegs_irregularity_delayduration_total_bracket,,,,,1.0,,False,True,1.0,,1000.0,deprecated,,l2,,lbfgs,0.0001,0.0,False,6.0,1.0,,False,True,1.0,,1000.0,deprecated,,l2,,lbfgs,0.0001,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DecisionTree,2025_11_27T19_14_21,False,simple,classification_delay,162276,40569,0.3222904187926742,0.20779021722394014,0.17959313588124542,0.17474809975163672,13,[],"['flightlegs_aircraft_ownerairlinecode', 'flightlegs_aircraft_typecode', 'flightlegs_depinfo_airport_country_name', 'flightlegs_arrinfo_airport_code', 'flightlegs_arrinfo_airport_country_name', 'flightlegs_depinfo_airport_code', 'flightlegs_scheduledflightduration', 'flightlegs_season', 'flightlegs_arrinfo_times_scheduled_dayPeriod', 'flightlegs_depinfo_times_scheduled_dayPeriod']",flightlegs_irregularity_delayduration_total_bracket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,gini,,,,0.0,1.0,2.0,0.0,,,best,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,2025_11_27T19_14_21,False,simple,classification_delay,162276,40569,0.31957898888313735,0.20112271007392718,0.17868267682557418,0.17493969726923564,152,[],"['flightlegs_aircraft_ownerairlinecode', 'flightlegs_aircraft_typecode', 'flightlegs_depinfo_airport_country_name', 'flightlegs_arrinfo_airport_code', 'flightlegs_arrinfo_airport_country_name', 'flightlegs_depinfo_airport_code', 'flightlegs_scheduledflightduration', 'flightlegs_season', 'flightlegs_arrinfo_times_scheduled_dayPeriod', 'flightlegs_depinfo_times_scheduled_dayPeriod']",flightlegs_irregularity_delayduration_total_bracket,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,0.0,,gini,,sqrt,,0.0,1.0,2.0,0.0,,,,True,,100.0,False,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logistic_OVR,2025_11_27T19_14_21,False,simple,classification_delay,162276,40569,0.3399640119302916,0.18727097610147533,0.16131064208208468,0.12565643663143697,3,[],"['flightlegs_aircraft_ownerairlinecode', 'flightlegs_aircraft_typecode', 'flightlegs_depinfo_airport_country_name', 'flightlegs_arrinfo_airport_code', 'flightlegs_arrinfo_airport_country_name', 'flightlegs_depinfo_airport_code', 'flightlegs_scheduledflightduration', 'flightlegs_season', 'flightlegs_arrinfo_times_scheduled_dayPeriod', 'flightlegs_depinfo_times_scheduled_dayPeriod']",flightlegs_irregularity_delayduration_total_bracket,,,,,1.0,,False,True,1.0,,1000.0,deprecated,,l2,,lbfgs,0.0001,0.0,False,6.0,1.0,,False,True,1.0,,1000.0,deprecated,,l2,,lbfgs,0.0001,0.0,False,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LinearRegression,2025_11_27T19_14_21,False,simple,regression,162276,40569,,,,,13,[],"['flightlegs_aircraft_ownerairlinecode', 'flightlegs_aircraft_typecode', 'flightlegs_depinfo_airport_country_name', 'flightlegs_arrinfo_airport_code', 'flightlegs_arrinfo_airport_country_name', 'flightlegs_depinfo_airport_code', 'flightlegs_scheduledflightduration', 'flightlegs_season', 'flightlegs_arrinfo_times_scheduled_dayPeriod', 'flightlegs_depinfo_times_scheduled_dayPeriod']",flightlegs_irregularity_delayduration_total,21.90603138598798,1358.9086204945481,36.863377768383465,0.05501545975890343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,1e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DecisionTreeRegressor,2025_11_27T19_14_21,False,simple,regression,162276,40569,,,,,11,[],"['flightlegs_aircraft_ownerairlinecode', 'flightlegs_aircraft_typecode', 'flightlegs_depinfo_airport_country_name', 'flightlegs_arrinfo_airport_code', 'flightlegs_arrinfo_airport_country_name', 'flightlegs_depinfo_airport_code', 'flightlegs_scheduledflightduration', 'flightlegs_season', 'flightlegs_arrinfo_times_scheduled_dayPeriod', 'flightlegs_depinfo_times_scheduled_dayPeriod']",flightlegs_irregularity_delayduration_total,22.617958204516523,1477.1389496814784,38.43356540423329,-0.027201866398468555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,squared_error,,,,0.0,1.0,2.0,0.0,,,best,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RandomForestRegressor,2025_11_27T19_14_21,False,simple,regression,162276,40569,,,,,207,[],"['flightlegs_aircraft_ownerairlinecode', 'flightlegs_aircraft_typecode', 'flightlegs_depinfo_airport_country_name', 'flightlegs_arrinfo_airport_code', 'flightlegs_arrinfo_airport_country_name', 'flightlegs_depinfo_airport_code', 'flightlegs_scheduledflightduration', 'flightlegs_season', 'flightlegs_arrinfo_times_scheduled_dayPeriod', 'flightlegs_depinfo_times_scheduled_dayPeriod']",flightlegs_irregularity_delayduration_total,22.378066289544172,1434.732471951721,37.87786255785457,0.002287582160710677,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,0.0,,squared_error,,1.0,,0.0,1.0,2.0,0.0,,,,True,,100.0,False,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XGBRegressor,2025_11_27T19_14_21,True,simple,regression,162276,40569,,,,,1,[],"['flightlegs_aircraft_ownerairlinecode', 'flightlegs_aircraft_typecode', 'flightlegs_depinfo_airport_country_name', 'flightlegs_arrinfo_airport_code', 'flightlegs_arrinfo_airport_country_name', 'flightlegs_depinfo_airport_code', 'flightlegs_scheduledflightduration', 'flightlegs_season', 'flightlegs_arrinfo_times_scheduled_dayPeriod', 'flightlegs_depinfo_times_scheduled_dayPeriod']",flightlegs_irregularity_delayduration_total,21.66389575341087,1339.9442990142948,36.60524961005313,0.06820324173682601,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reg:squarederror,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,
