,precision,recall,f1-score,support
]000;005],0.2634675491818349,0.21176296734151026,0.23480255611994102,6767.0
]005;015],0.36201561128816223,0.5800769686204855,0.44580951568409977,13512.0
]015;030],0.2876997154738455,0.2638763424671284,0.27527354588764985,9963.0
]030;060],0.2620054739985071,0.15387987724682156,0.1938869453139385,6843.0
]060;120],0.0821917808219178,0.00667779632721202,0.012352032938754504,1797.0
]120;240],0.17159763313609466,0.019104084321475624,0.03438055720213397,1518.0
]240;360],0.0,0.0,0.0,169.0
accuracy,0.3202938204047425,0.3202938204047425,0.3202938204047425,0.3202938204047425
macro avg,0.20413968055719459,0.17648257661780473,0.1709293075923597,40569.0
weighted avg,0.2894298455992115,0.3202938204047425,0.289787573434714,40569.0
