,precision,recall,f1-score,support
]000;005],0.2824186498300146,0.17186345500221664,0.2136885622416169,6767.0
]005;015],0.3665039249473483,0.5666814683244523,0.4451226601557958,13512.0
]015;030],0.28393072895690696,0.2830472749171936,0.2834883136466449,9963.0
]030;060],0.259441384736428,0.19275171708315067,0.22117883793074536,6843.0
]060;120],0.06474820143884892,0.01001669449081803,0.017349397590361446,1797.0
]120;240],0.14056224899598393,0.0230566534914361,0.039615166949632144,1518.0
]240;360],0.0,0.0,0.0,169.0
accuracy,0.32073750893539404,0.32073750893539404,0.32073750893539404,0.32073750893539404
macro avg,0.19965787698650436,0.17820246618703822,0.1743489912163995,40569.0
weighted avg,0.29079379076631995,0.32073750893539404,0.2930750433196571,40569.0
