,precision,recall,f1-score,support
]000;005],0.2809917355371901,0.004651799151730743,0.009152086137281292,7309.0
]005;015],0.34738681030717716,0.8606362259251245,0.4949800862927315,13863.0
]015;030],0.2787060078208318,0.15030674846625766,0.1952920662598082,10432.0
]030;060],0.2957619477006312,0.09225144142877233,0.1406367241933755,7111.0
]060;120],0.0,0.0,0.0,1824.0
]120;240],0.0,0.0,0.0,1598.0
]240;360],0.0,0.0,0.0,173.0
accuracy,0.33535807137792484,0.33535807137792484,0.33535807137792484,0.33535807137792484
macro avg,0.1718352144808329,0.15826374499598359,0.12000870898331377,42310.0
weighted avg,0.28078979508427854,0.33535807137792484,0.23555084175880264,42310.0
