filename,run,pipeline,mode,problem_type,dataset_size_training,dataset_size_testing,accuracy,macro_avg_recall,macro_avg_precision,macro_avg_f1,target_values,target,features,hyperparameters,mae,mse,rmse,r2
classification_status_20251206_012241_DecisionTree.pkl,20251206_012241,DecisionTree,simple,classification_status,440617,110155,0.8738595615269393,0.5882782955403264,0.5771380644667558,0.5802574289485566,"{'CANCELLED', 'ONTIME', 'LATE'}",flightlegs_publishedstatus,"{float64: ['flightlegs_scheduledflightduration'], object: ['flightlegs_aircraft_ownerairlinecode', 'flightlegs_aircraft_typecode', 'flightlegs_depinfo_airport_country_name', 'flightlegs_arrinfo_airport_code', 'flightlegs_arrinfo_airport_country_name', 'flightlegs_depinfo_airport_code', 'flightlegs_season', 'flightlegs_arrinfo_times_scheduled_dayPeriod', 'flightlegs_depinfo_times_scheduled_dayPeriod']}","{""ccp_alpha"": 0.0, ""class_weight"": null, ""criterion"": ""gini"", ""max_depth"": null, ""max_features"": null, ""max_leaf_nodes"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""random_state"": null, ""splitter"": ""best""}",,,,
classification_status_20251206_012241_RandomForest.pkl,20251206_012241,RandomForest,simple,classification_status,440617,110155,0.8734056556670147,0.5872774332586005,0.5766301648535119,0.579815035568802,"{'CANCELLED', 'ONTIME', 'LATE'}",flightlegs_publishedstatus,"{float64: ['flightlegs_scheduledflightduration'], object: ['flightlegs_aircraft_ownerairlinecode', 'flightlegs_aircraft_typecode', 'flightlegs_depinfo_airport_country_name', 'flightlegs_arrinfo_airport_code', 'flightlegs_arrinfo_airport_country_name', 'flightlegs_depinfo_airport_code', 'flightlegs_season', 'flightlegs_arrinfo_times_scheduled_dayPeriod', 'flightlegs_depinfo_times_scheduled_dayPeriod']}","{""bootstrap"": true, ""ccp_alpha"": 0.0, ""class_weight"": null, ""criterion"": ""gini"", ""max_depth"": null, ""max_features"": ""sqrt"", ""max_leaf_nodes"": null, ""max_samples"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""n_estimators"": 100, ""n_jobs"": 6, ""oob_score"": false, ""random_state"": null, ""verbose"": 0, ""warm_start"": false}",,,,
classification_status_20251206_012241_Logistic_OVO.pkl,20251206_012241,Logistic_OVO,simple,classification_status,440617,110155,0.8636466796786346,0.5804128999585235,0.5700156680835701,0.5730986643186133,"{'CANCELLED', 'ONTIME', 'LATE'}",flightlegs_publishedstatus,"{float64: ['flightlegs_scheduledflightduration'], object: ['flightlegs_aircraft_ownerairlinecode', 'flightlegs_aircraft_typecode', 'flightlegs_depinfo_airport_country_name', 'flightlegs_arrinfo_airport_code', 'flightlegs_arrinfo_airport_country_name', 'flightlegs_depinfo_airport_code', 'flightlegs_season', 'flightlegs_arrinfo_times_scheduled_dayPeriod', 'flightlegs_depinfo_times_scheduled_dayPeriod']}","{""estimator__C"": 1.0, ""estimator__class_weight"": null, ""estimator__dual"": false, ""estimator__fit_intercept"": true, ""estimator__intercept_scaling"": 1, ""estimator__l1_ratio"": null, ""estimator__max_iter"": 1000, ""estimator__multi_class"": ""deprecated"", ""estimator__n_jobs"": null, ""estimator__penalty"": ""l2"", ""estimator__random_state"": null, ""estimator__solver"": ""lbfgs"", ""estimator__tol"": 0.0001, ""estimator__verbose"": 0, ""estimator__warm_start"": false, ""estimator"": {""C"": 1.0, ""class_weight"": null, ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": null, ""max_iter"": 1000, ""multi_class"": ""deprecated"", ""n_jobs"": null, ""penalty"": ""l2"", ""random_state"": null, ""solver"": ""lbfgs"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}, ""n_jobs"": 6}",,,,
classification_status_20251206_012241_Logistic_OVR.pkl,20251206_012241,Logistic_OVR,simple,classification_status,440617,110155,0.863782851436612,0.5804304113857838,0.5700856930469899,0.5731761277974139,"{'CANCELLED', 'ONTIME', 'LATE'}",flightlegs_publishedstatus,"{float64: ['flightlegs_scheduledflightduration'], object: ['flightlegs_aircraft_ownerairlinecode', 'flightlegs_aircraft_typecode', 'flightlegs_depinfo_airport_country_name', 'flightlegs_arrinfo_airport_code', 'flightlegs_arrinfo_airport_country_name', 'flightlegs_depinfo_airport_code', 'flightlegs_season', 'flightlegs_arrinfo_times_scheduled_dayPeriod', 'flightlegs_depinfo_times_scheduled_dayPeriod']}","{""estimator__C"": 1.0, ""estimator__class_weight"": null, ""estimator__dual"": false, ""estimator__fit_intercept"": true, ""estimator__intercept_scaling"": 1, ""estimator__l1_ratio"": null, ""estimator__max_iter"": 1000, ""estimator__multi_class"": ""deprecated"", ""estimator__n_jobs"": null, ""estimator__penalty"": ""l2"", ""estimator__random_state"": null, ""estimator__solver"": ""lbfgs"", ""estimator__tol"": 0.0001, ""estimator__verbose"": 0, ""estimator__warm_start"": false, ""estimator"": {""C"": 1.0, ""class_weight"": null, ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": null, ""max_iter"": 1000, ""multi_class"": ""deprecated"", ""n_jobs"": null, ""penalty"": ""l2"", ""random_state"": null, ""solver"": ""lbfgs"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}, ""n_jobs"": 6, ""verbose"": 0}",,,,
classification_delay_20251206_012241_DecisionTree.pkl,20251206_012241,DecisionTree,simple,classification_delay,169237,42310,0.32176790356889623,0.17478982422925965,0.20249257117448044,0.1670770980041758,"{']060;120]', ']000;005]', ']005;015]', ']030;060]', ']240;360]', ']015;030]', ']120;240]'}",flightlegs_irregularity_delayduration_total_bracket,"{float64: ['flightlegs_scheduledflightduration'], object: ['flightlegs_aircraft_ownerairlinecode', 'flightlegs_aircraft_typecode', 'flightlegs_depinfo_airport_country_name', 'flightlegs_arrinfo_airport_code', 'flightlegs_arrinfo_airport_country_name', 'flightlegs_depinfo_airport_code', 'flightlegs_season', 'flightlegs_arrinfo_times_scheduled_dayPeriod', 'flightlegs_depinfo_times_scheduled_dayPeriod']}","{""ccp_alpha"": 0.0, ""class_weight"": null, ""criterion"": ""gini"", ""max_depth"": null, ""max_features"": null, ""max_leaf_nodes"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""random_state"": null, ""splitter"": ""best""}",,,,
classification_delay_20251206_012241_RandomForest.pkl,20251206_012241,RandomForest,simple,classification_delay,169237,42310,0.3195225714961002,0.17501860928886095,0.19587274226092385,0.16880511583094868,"{']060;120]', ']000;005]', ']005;015]', ']030;060]', ']240;360]', ']015;030]', ']120;240]'}",flightlegs_irregularity_delayduration_total_bracket,"{float64: ['flightlegs_scheduledflightduration'], object: ['flightlegs_aircraft_ownerairlinecode', 'flightlegs_aircraft_typecode', 'flightlegs_depinfo_airport_country_name', 'flightlegs_arrinfo_airport_code', 'flightlegs_arrinfo_airport_country_name', 'flightlegs_depinfo_airport_code', 'flightlegs_season', 'flightlegs_arrinfo_times_scheduled_dayPeriod', 'flightlegs_depinfo_times_scheduled_dayPeriod']}","{""bootstrap"": true, ""ccp_alpha"": 0.0, ""class_weight"": null, ""criterion"": ""gini"", ""max_depth"": null, ""max_features"": ""sqrt"", ""max_leaf_nodes"": null, ""max_samples"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""n_estimators"": 100, ""n_jobs"": 6, ""oob_score"": false, ""random_state"": null, ""verbose"": 0, ""warm_start"": false}",,,,
classification_delay_20251206_012241_Logistic_OVO.pkl,20251206_012241,Logistic_OVO,simple,classification_delay,169237,42310,0.338194280311983,0.16079386653250766,0.17654994313863856,0.12541483123353764,"{']060;120]', ']000;005]', ']005;015]', ']030;060]', ']240;360]', ']015;030]', ']120;240]'}",flightlegs_irregularity_delayduration_total_bracket,"{float64: ['flightlegs_scheduledflightduration'], object: ['flightlegs_aircraft_ownerairlinecode', 'flightlegs_aircraft_typecode', 'flightlegs_depinfo_airport_country_name', 'flightlegs_arrinfo_airport_code', 'flightlegs_arrinfo_airport_country_name', 'flightlegs_depinfo_airport_code', 'flightlegs_season', 'flightlegs_arrinfo_times_scheduled_dayPeriod', 'flightlegs_depinfo_times_scheduled_dayPeriod']}","{""estimator__C"": 1.0, ""estimator__class_weight"": null, ""estimator__dual"": false, ""estimator__fit_intercept"": true, ""estimator__intercept_scaling"": 1, ""estimator__l1_ratio"": null, ""estimator__max_iter"": 1000, ""estimator__multi_class"": ""deprecated"", ""estimator__n_jobs"": null, ""estimator__penalty"": ""l2"", ""estimator__random_state"": null, ""estimator__solver"": ""lbfgs"", ""estimator__tol"": 0.0001, ""estimator__verbose"": 0, ""estimator__warm_start"": false, ""estimator"": {""C"": 1.0, ""class_weight"": null, ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": null, ""max_iter"": 1000, ""multi_class"": ""deprecated"", ""n_jobs"": null, ""penalty"": ""l2"", ""random_state"": null, ""solver"": ""lbfgs"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}, ""n_jobs"": 6}",,,,
classification_delay_20251206_012241_Logistic_OVR.pkl,20251206_012241,Logistic_OVR,simple,classification_delay,169237,42310,0.33864334672654217,0.1598394299008054,0.17557946129165916,0.12227811298166105,"{']060;120]', ']000;005]', ']005;015]', ']030;060]', ']240;360]', ']015;030]', ']120;240]'}",flightlegs_irregularity_delayduration_total_bracket,"{float64: ['flightlegs_scheduledflightduration'], object: ['flightlegs_aircraft_ownerairlinecode', 'flightlegs_aircraft_typecode', 'flightlegs_depinfo_airport_country_name', 'flightlegs_arrinfo_airport_code', 'flightlegs_arrinfo_airport_country_name', 'flightlegs_depinfo_airport_code', 'flightlegs_season', 'flightlegs_arrinfo_times_scheduled_dayPeriod', 'flightlegs_depinfo_times_scheduled_dayPeriod']}","{""estimator__C"": 1.0, ""estimator__class_weight"": null, ""estimator__dual"": false, ""estimator__fit_intercept"": true, ""estimator__intercept_scaling"": 1, ""estimator__l1_ratio"": null, ""estimator__max_iter"": 1000, ""estimator__multi_class"": ""deprecated"", ""estimator__n_jobs"": null, ""estimator__penalty"": ""l2"", ""estimator__random_state"": null, ""estimator__solver"": ""lbfgs"", ""estimator__tol"": 0.0001, ""estimator__verbose"": 0, ""estimator__warm_start"": false, ""estimator"": {""C"": 1.0, ""class_weight"": null, ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": null, ""max_iter"": 1000, ""multi_class"": ""deprecated"", ""n_jobs"": null, ""penalty"": ""l2"", ""random_state"": null, ""solver"": ""lbfgs"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}, ""n_jobs"": 6, ""verbose"": 0}",,,,
regression_20251206_012241_LinearRegression.pkl,20251206_012241,LinearRegression,simple,regression,169237,42310,,,,,,flightlegs_irregularity_delayduration_total,"{float64: ['flightlegs_scheduledflightduration'], object: ['flightlegs_aircraft_ownerairlinecode', 'flightlegs_aircraft_typecode', 'flightlegs_depinfo_airport_country_name', 'flightlegs_arrinfo_airport_code', 'flightlegs_arrinfo_airport_country_name', 'flightlegs_depinfo_airport_code', 'flightlegs_season', 'flightlegs_arrinfo_times_scheduled_dayPeriod', 'flightlegs_depinfo_times_scheduled_dayPeriod']}","{""copy_X"": true, ""fit_intercept"": true, ""n_jobs"": null, ""positive"": false, ""tol"": 1e-06}",21.935192863841277,1348.3639093401982,36.72007501817226,0.05133652472481587
regression_20251206_012241_DecisionTreeRegressor.pkl,20251206_012241,DecisionTreeRegressor,simple,regression,169237,42310,,,,,,flightlegs_irregularity_delayduration_total,"{float64: ['flightlegs_scheduledflightduration'], object: ['flightlegs_aircraft_ownerairlinecode', 'flightlegs_aircraft_typecode', 'flightlegs_depinfo_airport_country_name', 'flightlegs_arrinfo_airport_code', 'flightlegs_arrinfo_airport_country_name', 'flightlegs_depinfo_airport_code', 'flightlegs_season', 'flightlegs_arrinfo_times_scheduled_dayPeriod', 'flightlegs_depinfo_times_scheduled_dayPeriod']}","{""ccp_alpha"": 0.0, ""criterion"": ""squared_error"", ""max_depth"": null, ""max_features"": null, ""max_leaf_nodes"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""random_state"": null, ""splitter"": ""best""}",22.32415972215019,1422.1513945632043,37.71142260062864,-0.0005778669899005884
