feature,importance
cat__flightlegs_aircraft_ownerairlinecode_KL,0.16104482492602804
cat__flightlegs_aircraft_ownerairlinecode_WA,0.13892935110648502
cat__flightlegs_depinfo_airport_country_name_France,0.12996798912911844
cat__flightlegs_aircraft_ownerairlinecode_AF,0.11652803320396847
cat__flightlegs_aircraft_typecode_E90,0.08333201909127345
cat__flightlegs_arrinfo_airport_code_CDG,0.06424123609498018
cat__flightlegs_aircraft_ownerairlinecode_TO,0.03930142235650649
cat__flightlegs_aircraft_ownerairlinecode_A5,0.030696616053269312
cat__flightlegs_aircraft_ownerairlinecode_XK,0.02303984179239495
cat__flightlegs_depinfo_airport_code_ORY,0.015983246756378244
cat__flightlegs_depinfo_airport_code_AMS,0.015736959601768765
cat__flightlegs_season_summer,0.008898391780364362
cat__flightlegs_aircraft_typecode_320,0.008414740660326428
cat__flightlegs_depinfo_airport_code_CDG,0.007989975521049434
cat__flightlegs_arrinfo_times_scheduled_dayPeriod_morning,0.006227046902798339
cat__flightlegs_aircraft_typecode_319,0.005531303225326848
cat__flightlegs_season_spring,0.005409259150194226
cat__flightlegs_aircraft_typecode_32S,0.004977717056452736
cat__flightlegs_arrinfo_airport_code_NCE,0.004624313336390739
cat__flightlegs_depinfo_times_scheduled_dayPeriod_evening,0.003994631360610062
cat__flightlegs_aircraft_ownerairlinecode_T3,0.0038576030706826848
cat__flightlegs_aircraft_ownerairlinecode_5O,0.00379418779757128
cat__flightlegs_depinfo_times_scheduled_dayPeriod_morning,0.003531984803844452
cat__flightlegs_arrinfo_times_scheduled_dayPeriod_evening,0.003271008197736741
cat__flightlegs_depinfo_airport_country_name_Finland,0.002950557788709046
cat__flightlegs_aircraft_ownerairlinecode_BA,0.0028836926610514868
cat__flightlegs_depinfo_airport_country_name_Netherlands,0.0025477424365627343
cat__flightlegs_aircraft_typecode_321,0.002512613596697426
cat__flightlegs_aircraft_typecode_73H,0.0022589794411001034
cat__flightlegs_depinfo_airport_code_VIE,0.0020188159442491205
cat__flightlegs_depinfo_airport_code_OPO,0.002007407046488921
cat__flightlegs_depinfo_airport_code_ZRH,0.0019957328485210985
cat__flightlegs_arrinfo_airport_country_name_Netherlands,0.001816984646571154
num__flightlegs_scheduledflightduration,0.001724258534404103
cat__flightlegs_aircraft_ownerairlinecode_BT,0.0017241618256772745
cat__flightlegs_depinfo_airport_code_BEG,0.0017209936374345627
cat__flightlegs_arrinfo_airport_code_AMS,0.0015864240638360054
cat__flightlegs_aircraft_typecode_295,0.001572318955812198
cat__flightlegs_depinfo_airport_code_HEL,0.0015411611722386965
cat__flightlegs_arrinfo_airport_country_name_Isle of Man,0.0014735458268954216
cat__flightlegs_depinfo_airport_code_NCE,0.0013964596467309516
cat__flightlegs_aircraft_ownerairlinecode_8R,0.0013217330620844967
cat__flightlegs_depinfo_airport_code_TLS,0.0013112502026587033
cat__flightlegs_aircraft_ownerairlinecode_KM,0.0012100416370224851
cat__flightlegs_depinfo_airport_code_LHR,0.0011520359467384774
cat__flightlegs_aircraft_typecode_220,0.001121292409466923
cat__flightlegs_arrinfo_times_scheduled_dayPeriod_night,0.0011082738650071366
cat__flightlegs_aircraft_typecode_223,0.001089726526028133
cat__flightlegs_arrinfo_airport_code_BEG,0.0010869147977201619
cat__flightlegs_aircraft_typecode_E95,0.0010343113840145777
cat__flightlegs_depinfo_airport_code_LIN,0.000994050114672519
cat__flightlegs_depinfo_airport_code_LUX,0.0009778180356368312
cat__flightlegs_arrinfo_airport_code_VIE,0.0009603110894929118
cat__flightlegs_aircraft_typecode_7M8,0.0009482759564164265
cat__flightlegs_aircraft_typecode_32A,0.0009252321572560279
cat__flightlegs_aircraft_typecode_E70,0.0009064479502124008
cat__flightlegs_aircraft_typecode_32N,0.0008935677272617497
cat__flightlegs_depinfo_airport_country_name_Norway,0.0008596920632005264
cat__flightlegs_depinfo_airport_country_name_Denmark,0.0008453918909893564
cat__flightlegs_aircraft_ownerairlinecode_AZ,0.0007946643413192079
cat__flightlegs_aircraft_typecode_318,0.0007906040896210537
cat__flightlegs_depinfo_airport_code_ARN,0.0007543380113436545
cat__flightlegs_arrinfo_airport_code_TLS,0.0007462170254335744
cat__flightlegs_arrinfo_airport_code_FCO,0.0007420115944143987
cat__flightlegs_arrinfo_airport_country_name_France,0.0007382734076478493
cat__flightlegs_arrinfo_airport_code_ORY,0.0007366237505856856
cat__flightlegs_arrinfo_airport_code_HEL,0.0007337349313809924
cat__flightlegs_arrinfo_airport_country_name_Spain,0.0006963776097006103
cat__flightlegs_arrinfo_airport_country_name_Germany,0.0006371829837148619
cat__flightlegs_aircraft_ownerairlinecode_EC,0.0006311005611500822
cat__flightlegs_depinfo_airport_country_name_Sweden,0.0006223587738224014
cat__flightlegs_depinfo_airport_code_BOD,0.000620191845438059
cat__flightlegs_arrinfo_airport_country_name_Italy,0.0006175091370015145
