feature,importance
cat__flightlegs_aircraft_ownerairlinecode_KL,0.08196835388440166
cat__flightlegs_aircraft_ownerairlinecode_AF,0.06804822973584705
cat__flightlegs_aircraft_ownerairlinecode_WA,0.05875507377991243
cat__flightlegs_aircraft_typecode_E90,0.04011300718856073
cat__flightlegs_depinfo_airport_country_name_France,0.030536678943750752
cat__flightlegs_depinfo_airport_country_name_Netherlands,0.024255125535655796
cat__flightlegs_depinfo_airport_code_AMS,0.023769986660147305
cat__flightlegs_depinfo_airport_code_CDG,0.021026499628077164
cat__flightlegs_aircraft_typecode_32N,0.020313603786511848
cat__flightlegs_aircraft_ownerairlinecode_TO,0.01708415435001898
cat__flightlegs_arrinfo_airport_country_name_France,0.01697110607053099
cat__flightlegs_aircraft_typecode_295,0.016927824172469325
cat__flightlegs_arrinfo_airport_code_AMS,0.016246382528126286
cat__flightlegs_aircraft_ownerairlinecode_A5,0.015751807801611655
cat__flightlegs_arrinfo_airport_country_name_Netherlands,0.015569845760891779
cat__flightlegs_season_summer,0.01536755934538299
cat__flightlegs_aircraft_typecode_73H,0.014823553268344385
cat__flightlegs_aircraft_ownerairlinecode_HV,0.013855984624896386
cat__flightlegs_arrinfo_airport_code_ORY,0.013736327233611288
cat__flightlegs_aircraft_ownerairlinecode_SK,0.013497032049447709
cat__flightlegs_aircraft_typecode_223,0.013444698657875091
cat__flightlegs_arrinfo_airport_code_CDG,0.012649151659277822
cat__flightlegs_aircraft_typecode_E7W,0.011931187028701972
cat__flightlegs_depinfo_airport_code_ORY,0.011651183480273521
cat__flightlegs_aircraft_ownerairlinecode_AZ,0.011571978439602495
cat__flightlegs_aircraft_ownerairlinecode_VY,0.011126272861459447
cat__flightlegs_aircraft_typecode_320,0.010822166046747024
cat__flightlegs_aircraft_ownerairlinecode_EC,0.009884485074600347
cat__flightlegs_aircraft_typecode_32A,0.009848535947453382
cat__flightlegs_depinfo_airport_country_name_Spain,0.009695509159698287
cat__flightlegs_season_spring,0.009371711452358182
cat__flightlegs_depinfo_airport_country_name_Italy,0.009328296728859924
num__flightlegs_scheduledflightduration,0.008917433826884029
