feature,importance
cat__flightlegs_depinfo_airport_code_BRS,0.033359826
cat__flightlegs_depinfo_airport_code_NCE,0.02610623
cat__flightlegs_aircraft_ownerairlinecode_AF,0.026013814
cat__flightlegs_depinfo_airport_code_ORY,0.01688693
cat__flightlegs_aircraft_ownerairlinecode_T3,0.016468275
cat__flightlegs_depinfo_airport_country_name_Netherlands,0.016360752
cat__flightlegs_depinfo_airport_code_LIS,0.014524087
cat__flightlegs_aircraft_ownerairlinecode_U2,0.014119013
cat__flightlegs_arrinfo_airport_code_NCE,0.0134645915
cat__flightlegs_depinfo_airport_code_CDG,0.011697861
cat__flightlegs_aircraft_ownerairlinecode_XK,0.011632177
cat__flightlegs_arrinfo_airport_country_name_Germany,0.011556932
cat__flightlegs_depinfo_airport_code_MAN,0.01131029
cat__flightlegs_aircraft_ownerairlinecode_TO,0.011290002
cat__flightlegs_arrinfo_times_scheduled_dayPeriod_morning,0.011165025
cat__flightlegs_aircraft_ownerairlinecode_WA,0.010230149
cat__flightlegs_arrinfo_airport_code_BRS,0.010064649
cat__flightlegs_arrinfo_airport_code_CDG,0.009784852
cat__flightlegs_depinfo_airport_country_name_France,0.009552786
cat__flightlegs_arrinfo_airport_code_BEG,0.009421953
cat__flightlegs_depinfo_airport_country_name_Hungary,0.008905541
cat__flightlegs_aircraft_typecode_321,0.008511386
cat__flightlegs_aircraft_ownerairlinecode_QW,0.008400432
cat__flightlegs_aircraft_ownerairlinecode_HV,0.008268648
cat__flightlegs_arrinfo_airport_code_MAN,0.008218943
cat__flightlegs_aircraft_ownerairlinecode_VY,0.008062473
cat__flightlegs_arrinfo_airport_code_BOD,0.007901274
cat__flightlegs_depinfo_airport_country_name_Isle of Man,0.007859697
cat__flightlegs_arrinfo_airport_code_VCE,0.0077924733
cat__flightlegs_depinfo_airport_code_DUS,0.007783694
cat__flightlegs_arrinfo_airport_code_PRG,0.0077329553
cat__flightlegs_arrinfo_airport_code_HEL,0.00748693
cat__flightlegs_depinfo_airport_code_FLR,0.0071353684
cat__flightlegs_arrinfo_airport_code_VIE,0.007103463
cat__flightlegs_depinfo_airport_code_LCY,0.007037773
cat__flightlegs_depinfo_airport_code_NAP,0.0067864093
cat__flightlegs_arrinfo_airport_country_name_Portugal,0.0067743426
cat__flightlegs_aircraft_ownerairlinecode_YY,0.0063337963
cat__flightlegs_arrinfo_airport_code_AMS,0.006304192
cat__flightlegs_aircraft_ownerairlinecode_AY,0.006280487
cat__flightlegs_arrinfo_times_scheduled_dayPeriod_night,0.00617731
cat__flightlegs_depinfo_airport_code_BCN,0.006142779
cat__flightlegs_arrinfo_airport_code_DBV,0.0057201223
cat__flightlegs_aircraft_ownerairlinecode_BA,0.0057109124
cat__flightlegs_arrinfo_airport_code_KGS,0.0056203506
cat__flightlegs_arrinfo_airport_code_ATH,0.005608602
cat__flightlegs_depinfo_airport_code_MUC,0.0052352296
cat__flightlegs_arrinfo_airport_code_TRD,0.005121919
cat__flightlegs_aircraft_typecode_7M8,0.005111045
cat__flightlegs_arrinfo_airport_code_CFU,0.0051071867
cat__flightlegs_arrinfo_airport_country_name_France,0.0050723017
cat__flightlegs_arrinfo_airport_code_OPO,0.0050313026
cat__flightlegs_depinfo_airport_country_name_Spain,0.0049268426
cat__flightlegs_depinfo_airport_code_LYS,0.0048834817
cat__flightlegs_arrinfo_airport_country_name_Switzerland,0.004880167
cat__flightlegs_arrinfo_airport_code_DUB,0.004878102
cat__flightlegs_depinfo_airport_code_BER,0.004861725
cat__flightlegs_aircraft_ownerairlinecode_PS,0.004775985
cat__flightlegs_arrinfo_airport_code_NAP,0.0047700847
cat__flightlegs_depinfo_airport_country_name_Germany,0.004668043
cat__flightlegs_depinfo_airport_country_name_Portugal,0.004342101
cat__flightlegs_aircraft_typecode_320,0.004198729
cat__flightlegs_arrinfo_airport_country_name_Spain,0.0041532866
cat__flightlegs_depinfo_airport_country_name_Switzerland,0.0041204924
cat__flightlegs_aircraft_ownerairlinecode_AZ,0.0040869066
