feature,importance
cat__flightlegs_arrinfo_times_scheduled_dayPeriod_morning,0.06619011657324653
cat__flightlegs_season_spring,0.04519010103353983
cat__flightlegs_season_summer,0.036020656327730334
cat__flightlegs_aircraft_typecode_E90,0.018668033790990298
cat__flightlegs_aircraft_ownerairlinecode_WA,0.015733140565375777
cat__flightlegs_aircraft_typecode_320,0.015656471683679746
cat__flightlegs_aircraft_typecode_319,0.015287701290573455
cat__flightlegs_aircraft_typecode_73H,0.014281298933680995
cat__flightlegs_depinfo_times_scheduled_dayPeriod_evening,0.013157369143162956
num__flightlegs_scheduledflightduration,0.012638096478359737
cat__flightlegs_arrinfo_times_scheduled_dayPeriod_evening,0.012432718361307613
cat__flightlegs_aircraft_typecode_32A,0.011870519182558036
cat__flightlegs_aircraft_typecode_223,0.011536480617245761
cat__flightlegs_aircraft_typecode_321,0.011285030729912993
cat__flightlegs_aircraft_ownerairlinecode_AF,0.011145424148685914
cat__flightlegs_aircraft_typecode_E7W,0.010257186555124333
cat__flightlegs_aircraft_ownerairlinecode_A5,0.009721248040289286
cat__flightlegs_aircraft_typecode_73J,0.009427663137668203
cat__flightlegs_arrinfo_airport_code_CDG,0.009090837366350066
cat__flightlegs_aircraft_typecode_318,0.008569968297951643
cat__flightlegs_depinfo_airport_code_NCE,0.00777005153426441
cat__flightlegs_aircraft_typecode_73W,0.007769543200472981
cat__flightlegs_aircraft_typecode_295,0.007320991654291615
cat__flightlegs_arrinfo_airport_code_NCE,0.006994877818432588
cat__flightlegs_arrinfo_airport_country_name_France,0.006685883650194784
cat__flightlegs_aircraft_typecode_32N,0.006275752343568525
cat__flightlegs_aircraft_typecode_E70,0.006221916848647231
cat__flightlegs_depinfo_airport_code_CDG,0.006036721007623626
cat__flightlegs_arrinfo_airport_code_MRS,0.005829728436744415
cat__flightlegs_arrinfo_airport_code_TLS,0.005600228606669347
cat__flightlegs_arrinfo_airport_country_name_Switzerland,0.005552725111429905
cat__flightlegs_arrinfo_airport_country_name_Germany,0.0054167753626058615
cat__flightlegs_depinfo_airport_country_name_France,0.005382855688099672
cat__flightlegs_arrinfo_airport_code_LIN,0.005335054768227061
cat__flightlegs_aircraft_typecode_32Q,0.005217879632245996
cat__flightlegs_arrinfo_airport_country_name_Spain,0.005210492371975552
cat__flightlegs_arrinfo_airport_country_name_Isle of Man,0.005183914570334141
cat__flightlegs_arrinfo_airport_country_name_Italy,0.005136550761668999
cat__flightlegs_arrinfo_airport_code_BCN,0.00509246950276586
cat__flightlegs_arrinfo_airport_code_VIE,0.0050341758794670245
cat__flightlegs_depinfo_airport_code_MRS,0.004975541744199543
cat__flightlegs_depinfo_airport_code_FLR,0.004944679820200084
cat__flightlegs_depinfo_airport_code_TLS,0.004813428982947178
cat__flightlegs_depinfo_airport_code_ZRH,0.004756807466796529
cat__flightlegs_depinfo_airport_code_AMS,0.004735522985324948
cat__flightlegs_arrinfo_airport_country_name_Denmark,0.004551649173350297
cat__flightlegs_arrinfo_airport_code_AGP,0.004544164863760796
cat__flightlegs_depinfo_airport_code_LYS,0.004528635518142227
cat__flightlegs_aircraft_ownerairlinecode_TO,0.004501842921416956
cat__flightlegs_arrinfo_airport_code_MUC,0.004481147539075767
cat__flightlegs_arrinfo_airport_code_LYS,0.004262575712282444
cat__flightlegs_arrinfo_airport_code_MXP,0.004104833330490727
cat__flightlegs_arrinfo_airport_code_BER,0.004086359371802735
cat__flightlegs_arrinfo_airport_code_MAD,0.004079682063919035
cat__flightlegs_arrinfo_airport_code_VCE,0.004043691898739624
cat__flightlegs_aircraft_ownerairlinecode_OS,0.004007196157442745
cat__flightlegs_depinfo_airport_code_VIE,0.003970263547176655
cat__flightlegs_depinfo_airport_country_name_Spain,0.00392138448009924
cat__flightlegs_depinfo_airport_country_name_Italy,0.0038891862266829166
cat__flightlegs_arrinfo_airport_code_FRA,0.003859397983928577
cat__flightlegs_depinfo_airport_code_MAN,0.003809763922776052
cat__flightlegs_depinfo_airport_code_LIN,0.003806727821669517
cat__flightlegs_arrinfo_airport_code_BOD,0.0038048298691753454
cat__flightlegs_aircraft_ownerairlinecode_KL,0.003744286294096772
cat__flightlegs_arrinfo_airport_code_MAN,0.0037281198696271518
cat__flightlegs_arrinfo_airport_code_ORY,0.0037154429341414805
cat__flightlegs_arrinfo_airport_code_FCO,0.0037148276475661287
cat__flightlegs_arrinfo_airport_code_AMS,0.0035312342704425076
cat__flightlegs_depinfo_airport_country_name_Denmark,0.00350085451899147
cat__flightlegs_arrinfo_airport_code_ATH,0.0034942040016700147
cat__flightlegs_arrinfo_airport_code_NAP,0.0034630264253973564
cat__flightlegs_depinfo_airport_country_name_Germany,0.0033825070498003642
cat__flightlegs_arrinfo_airport_code_NCL,0.0033521222845936415
cat__flightlegs_arrinfo_airport_code_BHX,0.0033291715114713584
cat__flightlegs_arrinfo_airport_code_PMI,0.0032873008351874218
cat__flightlegs_arrinfo_airport_code_BRS,0.0032607927489368958
cat__flightlegs_arrinfo_airport_code_BSL,0.003252415324066079
cat__flightlegs_depinfo_airport_code_BOD,0.00324714577946697
cat__flightlegs_depinfo_airport_code_BER,0.0032342004736059847
cat__flightlegs_depinfo_airport_code_NTE,0.0032279971806648887
cat__flightlegs_arrinfo_airport_code_OSL,0.0032131524132813886
cat__flightlegs_depinfo_airport_code_BCN,0.003208919937924219
cat__flightlegs_arrinfo_airport_country_name_Sweden,0.0031402886955590407
cat__flightlegs_arrinfo_airport_code_CPH,0.0031296269490212274
cat__flightlegs_depinfo_airport_code_HAM,0.003115819003897534
cat__flightlegs_arrinfo_airport_country_name_Netherlands,0.003055381229110704
cat__flightlegs_arrinfo_airport_code_LHR,0.0030501008073525577
cat__flightlegs_arrinfo_airport_code_GVA,0.003032601968525365
cat__flightlegs_arrinfo_airport_code_EDI,0.0030259355227197867
cat__flightlegs_depinfo_airport_code_MUC,0.0030195864171085507
cat__flightlegs_arrinfo_airport_code_VLC,0.002981516094185223
cat__flightlegs_depinfo_airport_code_LIS,0.002932374108033817
cat__flightlegs_aircraft_ownerairlinecode_HV,0.002854504828669802
cat__flightlegs_arrinfo_airport_country_name_Portugal,0.002849594822833137
cat__flightlegs_aircraft_ownerairlinecode_U2,0.0027952824168388604
cat__flightlegs_aircraft_ownerairlinecode_T3,0.002744801392985566
