feature,importance
cat__flightlegs_season_summer,0.10469345942713523
cat__flightlegs_season_spring,0.07099025484887929
cat__flightlegs_arrinfo_times_scheduled_dayPeriod_morning,0.0289019034957172
cat__flightlegs_depinfo_times_scheduled_dayPeriod_morning,0.02819899392945055
cat__flightlegs_aircraft_typecode_320,0.016658553383959235
cat__flightlegs_aircraft_typecode_319,0.014343003893538297
cat__flightlegs_aircraft_typecode_E90,0.013926002097922665
cat__flightlegs_aircraft_typecode_73H,0.013123966128333161
cat__flightlegs_arrinfo_times_scheduled_dayPeriod_evening,0.013122724370756822
cat__flightlegs_depinfo_times_scheduled_dayPeriod_evening,0.01297922673418197
cat__flightlegs_aircraft_typecode_32A,0.0113992586642231
num__flightlegs_scheduledflightduration,0.011064906999929389
cat__flightlegs_aircraft_ownerairlinecode_AF,0.010608790313259111
cat__flightlegs_aircraft_typecode_223,0.009622833535589135
cat__flightlegs_aircraft_typecode_321,0.009315479933203644
cat__flightlegs_aircraft_ownerairlinecode_WA,0.008815046620818338
cat__flightlegs_aircraft_typecode_73J,0.008748072860715763
cat__flightlegs_aircraft_typecode_73W,0.008202680673503573
cat__flightlegs_aircraft_typecode_318,0.007935474276558397
cat__flightlegs_aircraft_typecode_E7W,0.007685973053245214
cat__flightlegs_aircraft_typecode_295,0.006996174869684527
cat__flightlegs_arrinfo_airport_country_name_France,0.006784035819156829
cat__flightlegs_depinfo_airport_country_name_France,0.0062361360098796
cat__flightlegs_depinfo_airport_code_CDG,0.006203980965060416
cat__flightlegs_depinfo_airport_code_NCE,0.006000342365706375
cat__flightlegs_arrinfo_airport_code_CDG,0.005904148164962539
cat__flightlegs_arrinfo_airport_code_NCE,0.005785991752658562
cat__flightlegs_arrinfo_airport_code_TLS,0.0055896680284204525
cat__flightlegs_arrinfo_airport_country_name_Italy,0.005578537109572568
cat__flightlegs_arrinfo_airport_country_name_Spain,0.005533558215999117
cat__flightlegs_aircraft_typecode_32N,0.0054830441629291436
cat__flightlegs_aircraft_typecode_32Q,0.005455697360269157
cat__flightlegs_arrinfo_airport_code_MRS,0.005432299073454004
cat__flightlegs_depinfo_airport_code_MRS,0.005042375725840742
cat__flightlegs_aircraft_typecode_E70,0.004954316383736733
cat__flightlegs_arrinfo_airport_code_BCN,0.004922915984853103
cat__flightlegs_aircraft_ownerairlinecode_KL,0.004879103402426657
cat__flightlegs_arrinfo_airport_country_name_Germany,0.004641471606416619
cat__flightlegs_arrinfo_airport_code_LYS,0.0045993021796379985
cat__flightlegs_depinfo_airport_code_TLS,0.004468962329458092
cat__flightlegs_depinfo_airport_code_LYS,0.0041855879413709805
cat__flightlegs_arrinfo_airport_code_MAN,0.00416562396240972
cat__flightlegs_arrinfo_airport_code_LIN,0.004141597656812225
cat__flightlegs_depinfo_airport_country_name_Netherlands,0.004076436169887078
cat__flightlegs_arrinfo_airport_country_name_Isle of Man,0.004067865485398209
cat__flightlegs_depinfo_airport_country_name_Italy,0.003959503263121912
cat__flightlegs_depinfo_airport_code_AMS,0.00395173346765137
cat__flightlegs_arrinfo_airport_code_BOD,0.003931451310499589
cat__flightlegs_arrinfo_airport_code_MUC,0.0038820338608086245
cat__flightlegs_arrinfo_airport_code_AGP,0.003773444956015597
cat__flightlegs_aircraft_ownerairlinecode_A5,0.0037550173710441358
cat__flightlegs_arrinfo_airport_country_name_Switzerland,0.00371184568664909
cat__flightlegs_arrinfo_airport_code_BER,0.0036327090278901217
cat__flightlegs_arrinfo_airport_code_VIE,0.0036175627345787498
cat__flightlegs_arrinfo_airport_code_MAD,0.003612475372384758
cat__flightlegs_depinfo_airport_country_name_Germany,0.0035931010866347354
cat__flightlegs_arrinfo_airport_code_VCE,0.0035733079614872773
cat__flightlegs_depinfo_airport_code_LIN,0.003497762939821913
cat__flightlegs_arrinfo_airport_code_FCO,0.0034508307257971236
cat__flightlegs_arrinfo_airport_country_name_Denmark,0.0034446711868887933
cat__flightlegs_arrinfo_airport_code_MXP,0.003389636177852887
cat__flightlegs_arrinfo_airport_code_NTE,0.0033727208448833
cat__flightlegs_depinfo_airport_code_ORY,0.0033521313295748535
cat__flightlegs_depinfo_airport_country_name_Spain,0.00333830726341638
cat__flightlegs_depinfo_airport_code_BOD,0.003329631996082669
cat__flightlegs_arrinfo_airport_code_VLC,0.003236154780446917
cat__flightlegs_depinfo_airport_code_MAN,0.003124646379255601
cat__flightlegs_depinfo_airport_country_name_Switzerland,0.0030936791593304705
cat__flightlegs_arrinfo_airport_code_BHX,0.0030910231606462502
cat__flightlegs_depinfo_airport_code_BER,0.003054502769207502
cat__flightlegs_depinfo_airport_code_NTE,0.003041847924215903
cat__flightlegs_depinfo_airport_code_MUC,0.003013078421966006
cat__flightlegs_depinfo_airport_code_HAM,0.0029452349040696357
cat__flightlegs_depinfo_airport_code_VIE,0.0029311556637803757
cat__flightlegs_depinfo_airport_code_ZRH,0.002930689216968525
cat__flightlegs_arrinfo_airport_code_FRA,0.0029238582785812784
cat__flightlegs_arrinfo_airport_country_name_Norway,0.0029068958728782706
cat__flightlegs_aircraft_ownerairlinecode_ZQ,0.002900864269028619
cat__flightlegs_arrinfo_airport_code_ORY,0.0028882074744196015
cat__flightlegs_arrinfo_airport_code_BRS,0.0028615715063007906
cat__flightlegs_arrinfo_airport_code_NAP,0.002816396221618635
cat__flightlegs_arrinfo_airport_code_LHR,0.0027961812022731145
cat__flightlegs_arrinfo_airport_country_name_Portugal,0.002790934061848044
cat__flightlegs_arrinfo_airport_code_GVA,0.002736229884280879
cat__flightlegs_depinfo_airport_code_FCO,0.0027124131940280496
cat__flightlegs_arrinfo_airport_code_NCL,0.002711671532169949
cat__flightlegs_depinfo_airport_country_name_Denmark,0.002688020146811448
cat__flightlegs_aircraft_ownerairlinecode_EC,0.0026795358811453527
cat__flightlegs_depinfo_airport_code_BCN,0.0026662844175790097
cat__flightlegs_arrinfo_airport_code_CPH,0.0026658728679013048
cat__flightlegs_arrinfo_airport_country_name_Scotland,0.002657131819858999
cat__flightlegs_aircraft_ownerairlinecode_OS,0.0026510085565134133
cat__flightlegs_depinfo_airport_code_FLR,0.0026090248295134936
cat__flightlegs_aircraft_ownerairlinecode_HV,0.002587682982928308
cat__flightlegs_arrinfo_airport_code_OSL,0.0025852202931639728
cat__flightlegs_arrinfo_airport_code_PMI,0.0025828202209070223
cat__flightlegs_arrinfo_airport_country_name_Poland,0.002531484979090014
cat__flightlegs_arrinfo_airport_code_HAM,0.0025068143092659818
cat__flightlegs_arrinfo_airport_code_ATH,0.0024801647669142834
cat__flightlegs_arrinfo_airport_country_name_Sweden,0.0024375087809510084
