feature,importance
cat__flightlegs_depinfo_times_scheduled_dayPeriod_morning,0.11417990781677567
cat__flightlegs_aircraft_ownerairlinecode_AF,0.055198631118300895
cat__flightlegs_season_summer,0.047796686119548445
cat__flightlegs_depinfo_times_scheduled_dayPeriod_evening,0.03175699765297909
cat__flightlegs_arrinfo_times_scheduled_dayPeriod_evening,0.025266264996068714
cat__flightlegs_season_spring,0.02449495448927805
cat__flightlegs_depinfo_airport_code_NCE,0.02081471300038029
cat__flightlegs_aircraft_typecode_321,0.019742901477694048
cat__flightlegs_aircraft_ownerairlinecode_T3,0.019327585802196533
cat__flightlegs_aircraft_typecode_320,0.01872693898932515
cat__flightlegs_aircraft_typecode_E90,0.017260139025346972
cat__flightlegs_aircraft_typecode_223,0.015951529204896214
cat__flightlegs_aircraft_typecode_319,0.015794046672361957
cat__flightlegs_aircraft_ownerairlinecode_WA,0.01554573077241638
cat__flightlegs_depinfo_airport_country_name_France,0.012675334356266927
cat__flightlegs_aircraft_typecode_73H,0.012546450435628655
cat__flightlegs_depinfo_airport_code_AMS,0.011962489405780203
cat__flightlegs_arrinfo_airport_code_NCE,0.01195359774723728
cat__flightlegs_aircraft_typecode_32A,0.010890810143715148
cat__flightlegs_aircraft_ownerairlinecode_U2,0.008376142140859593
cat__flightlegs_depinfo_airport_code_CDG,0.007443249129679338
num__flightlegs_scheduledflightduration,0.0072518463126589475
cat__flightlegs_depinfo_airport_code_BRS,0.006995061773028515
cat__flightlegs_aircraft_typecode_295,0.006953345958255549
cat__flightlegs_aircraft_typecode_E70,0.006747502315735961
cat__flightlegs_aircraft_typecode_73J,0.006707439391593586
cat__flightlegs_depinfo_airport_country_name_Netherlands,0.006368179309550155
cat__flightlegs_arrinfo_airport_code_AMS,0.006174884878085392
cat__flightlegs_aircraft_typecode_73W,0.005805107174958037
cat__flightlegs_depinfo_airport_code_ORY,0.005636081503173514
cat__flightlegs_arrinfo_airport_code_LYS,0.005282841643852883
cat__flightlegs_depinfo_airport_code_OPO,0.00522927574277175
cat__flightlegs_arrinfo_airport_code_BCN,0.005209587223122893
cat__flightlegs_arrinfo_airport_country_name_Spain,0.005155140984355522
cat__flightlegs_depinfo_airport_code_MAN,0.005081342016118776
cat__flightlegs_depinfo_times_scheduled_dayPeriod_night,0.005070169859264194
cat__flightlegs_aircraft_typecode_318,0.0049664082798418566
cat__flightlegs_arrinfo_airport_code_TLS,0.004938105453727141
cat__flightlegs_arrinfo_airport_code_CDG,0.0049056761636239385
cat__flightlegs_aircraft_typecode_E7W,0.00464521092013538
cat__flightlegs_depinfo_airport_code_MRS,0.004184013654439018
