feature,importance
cat__flightlegs_season_summer,0.056008165018543735
cat__flightlegs_arrinfo_times_scheduled_dayPeriod_morning,0.048821073012174816
cat__flightlegs_aircraft_ownerairlinecode_AF,0.04467431526885966
cat__flightlegs_depinfo_times_scheduled_dayPeriod_morning,0.04020309630826977
cat__flightlegs_arrinfo_times_scheduled_dayPeriod_evening,0.02958692616166974
cat__flightlegs_depinfo_times_scheduled_dayPeriod_evening,0.029198161089611204
cat__flightlegs_season_spring,0.028076700431874265
cat__flightlegs_aircraft_typecode_320,0.022838723642084696
cat__flightlegs_aircraft_typecode_E90,0.020504203116248697
cat__flightlegs_aircraft_typecode_223,0.017179069459224743
cat__flightlegs_depinfo_airport_code_NCE,0.017002509636045438
cat__flightlegs_aircraft_typecode_321,0.016575669717910066
cat__flightlegs_aircraft_typecode_319,0.016480617445988326
cat__flightlegs_aircraft_ownerairlinecode_T3,0.015074868777950768
cat__flightlegs_aircraft_ownerairlinecode_WA,0.012474315422626772
cat__flightlegs_aircraft_typecode_32A,0.011943951180088324
cat__flightlegs_aircraft_typecode_73H,0.011173497052999129
cat__flightlegs_depinfo_airport_country_name_France,0.01095805567219352
cat__flightlegs_arrinfo_airport_code_NCE,0.01062947939682487
cat__flightlegs_aircraft_typecode_E70,0.009380768783435906
num__flightlegs_scheduledflightduration,0.008766759722152313
cat__flightlegs_aircraft_typecode_295,0.007972183275466439
cat__flightlegs_aircraft_typecode_73J,0.007551418022372894
cat__flightlegs_aircraft_typecode_318,0.007525083275968287
cat__flightlegs_aircraft_typecode_73W,0.007237663043600319
cat__flightlegs_depinfo_airport_code_CDG,0.0070632324355744906
cat__flightlegs_depinfo_airport_code_AMS,0.0065720800784935165
cat__flightlegs_aircraft_typecode_E7W,0.0063172366028352665
cat__flightlegs_arrinfo_airport_code_CDG,0.006253585663707839
cat__flightlegs_depinfo_airport_country_name_Netherlands,0.006029935194961549
cat__flightlegs_aircraft_ownerairlinecode_U2,0.00594991727160635
cat__flightlegs_arrinfo_airport_code_BCN,0.00570115340646011
cat__flightlegs_depinfo_airport_code_BRS,0.005380334066449506
cat__flightlegs_arrinfo_airport_code_TLS,0.005193886573577781
cat__flightlegs_depinfo_airport_code_ORY,0.004547183922004129
cat__flightlegs_depinfo_airport_code_MAN,0.004506540719154924
cat__flightlegs_arrinfo_airport_country_name_Spain,0.0043565578798560635
cat__flightlegs_aircraft_typecode_32Q,0.004242013105831244
cat__flightlegs_depinfo_airport_code_MRS,0.004213706807932886
cat__flightlegs_arrinfo_airport_code_LYS,0.004208413238135071
cat__flightlegs_depinfo_airport_code_LYS,0.004177933506107977
cat__flightlegs_depinfo_airport_code_LIN,0.004089210776022251
cat__flightlegs_depinfo_airport_code_TLS,0.0039422603873613985
cat__flightlegs_arrinfo_airport_code_MAN,0.0039079345539277085
cat__flightlegs_depinfo_airport_code_BER,0.00388633931023465
cat__flightlegs_arrinfo_airport_country_name_France,0.0038602840967739993
cat__flightlegs_depinfo_airport_code_BCN,0.0037662641013051917
cat__flightlegs_arrinfo_airport_code_MRS,0.003667182525787819
cat__flightlegs_arrinfo_airport_code_BOD,0.003661182381193538
cat__flightlegs_depinfo_airport_code_NAP,0.0036192835161235554
cat__flightlegs_arrinfo_airport_code_AGP,0.0034455226139032207
cat__flightlegs_depinfo_airport_code_MUC,0.0034366497305765276
cat__flightlegs_arrinfo_airport_code_BRS,0.0034285952452768873
cat__flightlegs_arrinfo_airport_code_ORY,0.0034198348036289183
cat__flightlegs_aircraft_typecode_32N,0.003408395634139728
cat__flightlegs_depinfo_airport_code_ZRH,0.0034069268584539392
cat__flightlegs_arrinfo_airport_code_LIN,0.0033593708337802193
cat__flightlegs_arrinfo_airport_country_name_Netherlands,0.003332372809164591
cat__flightlegs_arrinfo_airport_code_AMS,0.0033026302148239767
cat__flightlegs_aircraft_ownerairlinecode_HV,0.0031492157314771383
cat__flightlegs_aircraft_ownerairlinecode_A5,0.003134935809715026
cat__flightlegs_arrinfo_airport_code_VCE,0.003076400533261208
cat__flightlegs_depinfo_airport_country_name_Portugal,0.003052517702859073
cat__flightlegs_aircraft_ownerairlinecode_KL,0.0030503061263879106
cat__flightlegs_arrinfo_airport_code_MXP,0.0030245543060519985
cat__flightlegs_arrinfo_airport_code_FCO,0.0029750494291832822
cat__flightlegs_arrinfo_airport_code_ATH,0.002921442077142468
cat__flightlegs_arrinfo_airport_code_GVA,0.0028570964037989326
