feature,importance
cat__flightlegs_depinfo_times_scheduled_dayPeriod_morning,0.06619011657324653
cat__flightlegs_season_spring,0.045102348163066394
cat__flightlegs_season_summer,0.035916393423612934
cat__flightlegs_aircraft_typecode_E90,0.01832557324626637
cat__flightlegs_aircraft_typecode_319,0.015875306806202288
cat__flightlegs_aircraft_ownerairlinecode_WA,0.015733140565375777
cat__flightlegs_aircraft_typecode_320,0.015241653207097042
cat__flightlegs_arrinfo_times_scheduled_dayPeriod_evening,0.015161736898985076
num__flightlegs_scheduledflightduration,0.01348090382456156
cat__flightlegs_aircraft_typecode_73H,0.013120394459681346
cat__flightlegs_aircraft_typecode_32A,0.012064199058710735
cat__flightlegs_aircraft_typecode_321,0.011596303859232562
cat__flightlegs_aircraft_typecode_223,0.011569893832351338
cat__flightlegs_aircraft_ownerairlinecode_AF,0.0106958808609607
cat__flightlegs_depinfo_times_scheduled_dayPeriod_evening,0.010532305105499387
cat__flightlegs_aircraft_typecode_E7W,0.010505551850464943
cat__flightlegs_aircraft_typecode_73J,0.01016075705319129
cat__flightlegs_aircraft_ownerairlinecode_A5,0.009969656014730738
cat__flightlegs_aircraft_typecode_318,0.008240532059323446
cat__flightlegs_aircraft_typecode_73W,0.007798655131847985
cat__flightlegs_depinfo_airport_code_NCE,0.007587172596013093
cat__flightlegs_aircraft_typecode_32N,0.00715719291098208
cat__flightlegs_arrinfo_airport_code_CDG,0.007103688743054795
cat__flightlegs_arrinfo_airport_country_name_France,0.007049785465224792
cat__flightlegs_aircraft_typecode_295,0.007009542694902784
cat__flightlegs_arrinfo_airport_code_NCE,0.006682689870975938
cat__flightlegs_aircraft_typecode_E70,0.006619601272824945
cat__flightlegs_depinfo_airport_code_CDG,0.006363802057850746
cat__flightlegs_arrinfo_airport_code_MRS,0.0061219619642003415
cat__flightlegs_arrinfo_airport_code_TLS,0.005499594946060065
cat__flightlegs_arrinfo_airport_code_BCN,0.005453813043884624
cat__flightlegs_arrinfo_airport_country_name_Switzerland,0.0054308899745367165
cat__flightlegs_arrinfo_airport_code_LIN,0.0054180672768895785
cat__flightlegs_depinfo_airport_country_name_France,0.005396409444727715
cat__flightlegs_arrinfo_airport_code_VIE,0.005354912564418881
cat__flightlegs_depinfo_airport_code_VIE,0.005134253411052779
cat__flightlegs_arrinfo_airport_country_name_Germany,0.004930121299463636
cat__flightlegs_depinfo_airport_code_FLR,0.004893502295551949
cat__flightlegs_arrinfo_airport_country_name_Spain,0.00488714866694751
cat__flightlegs_arrinfo_airport_country_name_Italy,0.004824843515389853
cat__flightlegs_depinfo_airport_code_MRS,0.004811857439436666
