feature,importance
cat__flightlegs_season_summer,0.10610411348619808
cat__flightlegs_season_spring,0.0721708244761861
cat__flightlegs_depinfo_times_scheduled_dayPeriod_morning,0.03079462496918437
cat__flightlegs_arrinfo_times_scheduled_dayPeriod_morning,0.027109597145898782
cat__flightlegs_aircraft_typecode_320,0.01729158149732905
cat__flightlegs_aircraft_typecode_319,0.014726458804016993
cat__flightlegs_aircraft_typecode_73H,0.014191446765192867
cat__flightlegs_aircraft_typecode_E90,0.014098914013539899
cat__flightlegs_arrinfo_times_scheduled_dayPeriod_evening,0.012875001754423196
cat__flightlegs_depinfo_times_scheduled_dayPeriod_evening,0.012535334646527906
cat__flightlegs_aircraft_typecode_32A,0.011724987788279436
cat__flightlegs_aircraft_typecode_223,0.010887955997718017
num__flightlegs_scheduledflightduration,0.010700821669988007
cat__flightlegs_aircraft_ownerairlinecode_AF,0.010212671601592931
cat__flightlegs_aircraft_typecode_321,0.009369834341660395
cat__flightlegs_aircraft_typecode_73J,0.008981263976977887
cat__flightlegs_aircraft_ownerairlinecode_WA,0.008835436998060314
cat__flightlegs_aircraft_typecode_73W,0.00849349430566328
cat__flightlegs_aircraft_typecode_318,0.008013449401515377
cat__flightlegs_aircraft_typecode_E7W,0.007539337399504803
cat__flightlegs_aircraft_typecode_295,0.0071481432272296
cat__flightlegs_arrinfo_airport_country_name_France,0.006528992264810257
cat__flightlegs_depinfo_airport_code_NCE,0.006136013080761371
cat__flightlegs_depinfo_airport_code_CDG,0.0059116968603444885
cat__flightlegs_arrinfo_airport_code_NCE,0.005736467944942085
cat__flightlegs_aircraft_typecode_32N,0.005674628454273491
cat__flightlegs_arrinfo_airport_code_CDG,0.005671317433106489
cat__flightlegs_depinfo_airport_country_name_France,0.005549335693582138
cat__flightlegs_aircraft_typecode_32Q,0.005537272142387219
cat__flightlegs_arrinfo_airport_country_name_Spain,0.005420805414614047
cat__flightlegs_arrinfo_airport_country_name_Italy,0.005408588212806833
cat__flightlegs_arrinfo_airport_code_TLS,0.005385320061414318
cat__flightlegs_arrinfo_airport_code_MRS,0.0051598620475100535
cat__flightlegs_depinfo_airport_code_MRS,0.0050541845366932295
cat__flightlegs_aircraft_typecode_E70,0.004980114696422846
cat__flightlegs_aircraft_ownerairlinecode_KL,0.004778231590537223
cat__flightlegs_arrinfo_airport_code_BCN,0.004749470363611394
cat__flightlegs_arrinfo_airport_country_name_Germany,0.004738012285189265
cat__flightlegs_arrinfo_airport_code_LYS,0.004514942111934233
cat__flightlegs_depinfo_airport_code_TLS,0.004370781027229023
cat__flightlegs_arrinfo_airport_code_LIN,0.004096706000615238
cat__flightlegs_depinfo_airport_code_LYS,0.004096110783221376
cat__flightlegs_arrinfo_airport_country_name_Isle of Man,0.00402045912806408
cat__flightlegs_depinfo_airport_country_name_Italy,0.004005958778393644
cat__flightlegs_arrinfo_airport_code_MAN,0.0039924476794425115
cat__flightlegs_depinfo_airport_country_name_Netherlands,0.003968491606146216
cat__flightlegs_arrinfo_airport_code_MUC,0.0038795363216859303
cat__flightlegs_arrinfo_airport_code_BOD,0.0038707412329284803
cat__flightlegs_arrinfo_airport_code_AGP,0.0038241281404221387
cat__flightlegs_arrinfo_airport_code_BER,0.0037052909970667442
cat__flightlegs_aircraft_ownerairlinecode_A5,0.0036511922366709425
cat__flightlegs_depinfo_airport_code_AMS,0.0036283524415778455
cat__flightlegs_arrinfo_airport_country_name_Switzerland,0.0036004951453655564
cat__flightlegs_arrinfo_airport_code_MAD,0.003593369670738472
cat__flightlegs_depinfo_airport_country_name_Germany,0.003559450120109289
cat__flightlegs_arrinfo_airport_code_VIE,0.0035219249043164473
cat__flightlegs_arrinfo_airport_code_VCE,0.0035032731820223185
cat__flightlegs_arrinfo_airport_country_name_Denmark,0.0034332157600421424
cat__flightlegs_depinfo_airport_code_ORY,0.003427161031569828
cat__flightlegs_arrinfo_airport_code_FCO,0.0033496178831992113
cat__flightlegs_depinfo_airport_code_BOD,0.003315642618930398
cat__flightlegs_arrinfo_airport_code_MXP,0.003313410283252472
cat__flightlegs_depinfo_airport_code_LIN,0.0032988930335449405
cat__flightlegs_depinfo_airport_country_name_Spain,0.003246544358826784
cat__flightlegs_arrinfo_airport_code_NTE,0.003152313312501975
cat__flightlegs_arrinfo_airport_code_VLC,0.0031332391333983175
cat__flightlegs_depinfo_airport_code_MAN,0.0031209813982171404
cat__flightlegs_depinfo_airport_country_name_Switzerland,0.0030758762851013643
cat__flightlegs_depinfo_airport_code_MUC,0.0030599608208039834
cat__flightlegs_arrinfo_airport_code_BHX,0.003038023678026323
cat__flightlegs_depinfo_airport_code_VIE,0.0030278822389015734
cat__flightlegs_depinfo_airport_code_ZRH,0.002978334173897976
cat__flightlegs_arrinfo_airport_code_BRS,0.0029262092253547214
cat__flightlegs_depinfo_airport_code_BER,0.0029221332918950792
cat__flightlegs_arrinfo_airport_code_FRA,0.002890553550125055
cat__flightlegs_depinfo_airport_code_NTE,0.0028684599626358177
cat__flightlegs_depinfo_airport_code_HAM,0.0028569906059400718
cat__flightlegs_aircraft_ownerairlinecode_ZQ,0.002842695414704941
cat__flightlegs_arrinfo_airport_code_ORY,0.002825615564533777
cat__flightlegs_arrinfo_airport_code_GVA,0.0028112206289753255
cat__flightlegs_arrinfo_airport_code_NAP,0.002804813547572734
cat__flightlegs_depinfo_airport_code_BCN,0.002744349585360016
cat__flightlegs_arrinfo_airport_country_name_Norway,0.002735567798706788
cat__flightlegs_arrinfo_airport_code_LHR,0.002733329766705607
cat__flightlegs_depinfo_airport_code_FCO,0.0026759446481825627
cat__flightlegs_arrinfo_airport_country_name_Portugal,0.0026649294057196475
cat__flightlegs_arrinfo_airport_code_NCL,0.002663077824488891
cat__flightlegs_arrinfo_airport_code_OSL,0.00264252982212351
cat__flightlegs_arrinfo_airport_code_CPH,0.0026184455173725255
cat__flightlegs_arrinfo_airport_code_PMI,0.0026125425061106124
cat__flightlegs_aircraft_ownerairlinecode_T3,0.0025969971270656494
cat__flightlegs_depinfo_airport_country_name_Denmark,0.002592489378065031
cat__flightlegs_arrinfo_airport_code_HAM,0.002541808381955512
cat__flightlegs_depinfo_airport_country_name_Isle of Man,0.0025403456881259797
cat__flightlegs_aircraft_ownerairlinecode_OS,0.0025334509646815113
cat__flightlegs_arrinfo_airport_country_name_Scotland,0.0025333526537567484
cat__flightlegs_aircraft_ownerairlinecode_EC,0.0025227034492750224
cat__flightlegs_arrinfo_airport_code_ATH,0.002522356262562971
cat__flightlegs_aircraft_ownerairlinecode_HV,0.0024984161703221334
cat__flightlegs_depinfo_airport_code_FLR,0.0024950734207840847
cat__flightlegs_depinfo_airport_code_VCE,0.0024208530318420535
cat__flightlegs_arrinfo_airport_code_AMS,0.00241841161625207
cat__flightlegs_arrinfo_airport_country_name_Poland,0.0024139090708937185
cat__flightlegs_arrinfo_airport_country_name_Sweden,0.0024079824596395603
cat__flightlegs_arrinfo_airport_code_ZRH,0.0023796374399059263
cat__flightlegs_arrinfo_airport_country_name_Netherlands,0.002355276366457545
cat__flightlegs_arrinfo_airport_code_AJA,0.0023424772830216776
cat__flightlegs_depinfo_airport_country_name_Norway,0.0023416188465357427
cat__flightlegs_arrinfo_airport_code_BSL,0.002336075338325536
cat__flightlegs_arrinfo_airport_country_name_Greece,0.0022643242686712006
cat__flightlegs_arrinfo_airport_code_LIS,0.0022389820134619026
cat__flightlegs_arrinfo_airport_code_BLQ,0.002233472563614726
cat__flightlegs_depinfo_airport_code_DUS,0.0021948966854299897
cat__flightlegs_arrinfo_airport_code_OPO,0.002194095709525883
cat__flightlegs_depinfo_airport_code_MAD,0.0021870836346981515
cat__flightlegs_arrinfo_airport_code_IBZ,0.002186104124787703
cat__flightlegs_depinfo_airport_code_NAP,0.0021826693272099114
cat__flightlegs_depinfo_airport_code_GVA,0.00214748398612335
cat__flightlegs_depinfo_airport_code_LIS,0.002120931662472336
cat__flightlegs_aircraft_ownerairlinecode_U2,0.0020992412367210034
cat__flightlegs_arrinfo_airport_country_name_Croatia,0.0020976457659719217
cat__flightlegs_arrinfo_airport_code_DUB,0.002074476173461293
cat__flightlegs_arrinfo_airport_code_EDI,0.002061804055048185
cat__flightlegs_depinfo_airport_code_BLQ,0.002045320759587353
cat__flightlegs_arrinfo_airport_country_name_Ireland,0.002033836556517764
cat__flightlegs_depinfo_airport_code_BHX,0.00200719315473053
cat__flightlegs_arrinfo_airport_code_PRG,0.001993745601691986
cat__flightlegs_arrinfo_airport_code_ALC,0.0019785930449842956
cat__flightlegs_depinfo_airport_country_name_Poland,0.001976982849965108
cat__flightlegs_depinfo_airport_code_CPH,0.0019673606154706593
cat__flightlegs_arrinfo_airport_code_FSC,0.001951696268881745
cat__flightlegs_aircraft_ownerairlinecode_TO,0.0019445476734415452
cat__flightlegs_arrinfo_airport_code_BIO,0.0019421809197549633
cat__flightlegs_arrinfo_airport_code_BIA,0.0019369736818539388
cat__flightlegs_depinfo_airport_country_name_Portugal,0.0019353717279142818
cat__flightlegs_depinfo_airport_code_AJA,0.0019336321750503581
cat__flightlegs_depinfo_airport_code_NCL,0.0019204530807618264
cat__flightlegs_arrinfo_airport_country_name_Czech Republic,0.0019028727358291764
cat__flightlegs_depinfo_airport_code_FSC,0.001899942050731066
cat__flightlegs_depinfo_airport_country_name_Sweden,0.0018963608225602401
cat__flightlegs_arrinfo_airport_code_BIQ,0.0018921034835064183
cat__flightlegs_depinfo_airport_code_FRA,0.0018824790493446567
cat__flightlegs_depinfo_airport_code_MXP,0.0018675333566616
cat__flightlegs_arrinfo_airport_code_ARN,0.0018473980011032367
cat__flightlegs_aircraft_ownerairlinecode_XK,0.001822706450183271
cat__flightlegs_depinfo_airport_code_BIA,0.001820537137198194
cat__flightlegs_depinfo_airport_code_VLC,0.0018037179785619052
cat__flightlegs_arrinfo_airport_code_STR,0.0017969890227048219
cat__flightlegs_depinfo_airport_code_AGP,0.0017911838305888028
cat__flightlegs_depinfo_airport_code_BSL,0.0017828535150727226
cat__flightlegs_arrinfo_airport_code_BLL,0.0017815432148648325
cat__flightlegs_arrinfo_airport_code_GLA,0.001774438323021496
cat__flightlegs_depinfo_airport_code_LHR,0.0017741551529019503
cat__flightlegs_depinfo_airport_code_HAJ,0.0017416234379655437
cat__flightlegs_arrinfo_airport_code_LGW,0.0017170130272116581
cat__flightlegs_depinfo_airport_code_STR,0.0017098972984846456
cat__flightlegs_arrinfo_airport_code_DUS,0.001706925171018023
