feature,importance
cat__flightlegs_aircraft_ownerairlinecode_KL,0.16104482492602804
cat__flightlegs_aircraft_ownerairlinecode_WA,0.13892935110648502
cat__flightlegs_depinfo_airport_country_name_France,0.12996420373902787
cat__flightlegs_aircraft_ownerairlinecode_AF,0.11651672293889119
cat__flightlegs_aircraft_typecode_E90,0.0839218439937715
cat__flightlegs_arrinfo_airport_code_CDG,0.06405527621525782
cat__flightlegs_aircraft_ownerairlinecode_TO,0.03930142235650649
cat__flightlegs_aircraft_ownerairlinecode_A5,0.024315235649295636
cat__flightlegs_aircraft_ownerairlinecode_XK,0.02303984179239495
cat__flightlegs_depinfo_airport_code_AMS,0.017673728207927068
cat__flightlegs_depinfo_airport_code_ORY,0.015991105445647635
cat__flightlegs_season_summer,0.008916214350491301
cat__flightlegs_aircraft_typecode_320,0.008407668989889655
cat__flightlegs_depinfo_airport_code_CDG,0.007957989653691117
cat__flightlegs_aircraft_typecode_E70,0.006513042820437669
cat__flightlegs_aircraft_typecode_319,0.005543433607137724
cat__flightlegs_season_spring,0.005424102801183062
cat__flightlegs_depinfo_times_scheduled_dayPeriod_morning,0.005082416761406108
cat__flightlegs_aircraft_typecode_32S,0.004970598915645665
cat__flightlegs_arrinfo_times_scheduled_dayPeriod_morning,0.004700270408887951
cat__flightlegs_arrinfo_airport_code_NCE,0.004570495390020347
cat__flightlegs_aircraft_ownerairlinecode_T3,0.0038623210827792268
cat__flightlegs_aircraft_ownerairlinecode_5O,0.00378651354385848
cat__flightlegs_depinfo_times_scheduled_dayPeriod_evening,0.0037732623173507163
cat__flightlegs_arrinfo_times_scheduled_dayPeriod_evening,0.0034704777120459235
cat__flightlegs_depinfo_airport_country_name_Finland,0.002987489309322805
cat__flightlegs_aircraft_ownerairlinecode_BA,0.002897664490825823
cat__flightlegs_aircraft_typecode_321,0.002532476224105725
cat__flightlegs_arrinfo_airport_code_AMS,0.0022785046800815646
cat__flightlegs_aircraft_typecode_73H,0.0022016017072314965
cat__flightlegs_depinfo_airport_code_ZRH,0.002037320218279992
cat__flightlegs_depinfo_airport_code_VIE,0.0020180745272275397
cat__flightlegs_depinfo_airport_code_OPO,0.0020018482268213795
cat__flightlegs_aircraft_ownerairlinecode_BT,0.001752480490013007
num__flightlegs_scheduledflightduration,0.0017362971642796768
cat__flightlegs_aircraft_typecode_295,0.001572318955812198
cat__flightlegs_depinfo_airport_code_HEL,0.0015066043286750305
cat__flightlegs_arrinfo_airport_country_name_Isle of Man,0.00148627800329813
cat__flightlegs_depinfo_airport_code_NCE,0.001374124681703886
cat__flightlegs_aircraft_ownerairlinecode_AZ,0.0013650005242638822
cat__flightlegs_depinfo_airport_code_TLS,0.0013202927573586214
cat__flightlegs_aircraft_ownerairlinecode_8R,0.0013163987397834486
cat__flightlegs_depinfo_airport_code_BEG,0.0013156737093980861
cat__flightlegs_aircraft_ownerairlinecode_KM,0.0012100416370224851
cat__flightlegs_arrinfo_airport_code_BEG,0.0011541515554879594
cat__flightlegs_depinfo_airport_code_LHR,0.0011359179279433812
cat__flightlegs_arrinfo_airport_country_name_France,0.0011230749575992407
cat__flightlegs_aircraft_typecode_220,0.0011223352909917063
cat__flightlegs_arrinfo_airport_country_name_Netherlands,0.0011081920187080412
cat__flightlegs_aircraft_typecode_223,0.0010663909548487354
cat__flightlegs_depinfo_times_scheduled_dayPeriod_night,0.0010357142173486626
cat__flightlegs_aircraft_typecode_E95,0.0010327678502612216
cat__flightlegs_depinfo_airport_code_LIN,0.0009916834301162403
cat__flightlegs_depinfo_airport_country_name_Luxembourg,0.0009570741678485594
cat__flightlegs_aircraft_typecode_7M8,0.0009482759564164265
cat__flightlegs_arrinfo_airport_code_VIE,0.0009474771718306435
cat__flightlegs_aircraft_typecode_32A,0.000927290371334826
cat__flightlegs_aircraft_typecode_32N,0.0009081402482399378
cat__flightlegs_depinfo_airport_country_name_Norway,0.0008725973108780193
cat__flightlegs_aircraft_typecode_318,0.0007924943761538749
cat__flightlegs_depinfo_airport_code_ARN,0.0007787488491942414
cat__flightlegs_depinfo_airport_country_name_Denmark,0.0007705193859893074
cat__flightlegs_arrinfo_airport_code_ORY,0.0007457151056741846
cat__flightlegs_arrinfo_airport_code_TLS,0.0007392593229318335
cat__flightlegs_arrinfo_airport_country_name_Finland,0.0007238418334415966
cat__flightlegs_arrinfo_airport_country_name_Spain,0.0006898592291286184
cat__flightlegs_arrinfo_airport_code_ZRH,0.0006498885928979226
cat__flightlegs_arrinfo_airport_code_MUC,0.000633362325681866
cat__flightlegs_aircraft_ownerairlinecode_EC,0.0006313462932773112
cat__flightlegs_depinfo_airport_code_GVA,0.0006261271141624501
cat__flightlegs_arrinfo_airport_country_name_Germany,0.000623878441800113
cat__flightlegs_depinfo_airport_code_BOD,0.0006202769490864987
cat__flightlegs_arrinfo_airport_code_MRS,0.0006157132660264146
