feature,importance
cat__flightlegs_aircraft_ownerairlinecode_KL,0.07365140986888352
cat__flightlegs_aircraft_ownerairlinecode_AF,0.0704702390025257
cat__flightlegs_aircraft_ownerairlinecode_WA,0.055817749446938236
cat__flightlegs_aircraft_typecode_E90,0.03580592161719256
cat__flightlegs_depinfo_airport_country_name_France,0.03508805856716387
cat__flightlegs_depinfo_airport_country_name_Netherlands,0.02759033457508859
cat__flightlegs_depinfo_airport_code_AMS,0.024804982708660633
cat__flightlegs_aircraft_typecode_32N,0.021116586480656806
cat__flightlegs_arrinfo_airport_country_name_France,0.018819213990551604
cat__flightlegs_aircraft_ownerairlinecode_A5,0.018199480259463177
cat__flightlegs_aircraft_ownerairlinecode_AZ,0.01734882330700774
cat__flightlegs_depinfo_airport_code_CDG,0.017106775509279016
cat__flightlegs_aircraft_ownerairlinecode_HV,0.01682413108242066
cat__flightlegs_aircraft_typecode_295,0.016335907898050582
cat__flightlegs_season_summer,0.015453115459874983
cat__flightlegs_arrinfo_airport_country_name_Netherlands,0.015354911618598867
cat__flightlegs_arrinfo_airport_code_ORY,0.014439882326611236
cat__flightlegs_arrinfo_airport_code_CDG,0.014372446450607175
cat__flightlegs_aircraft_ownerairlinecode_TO,0.01403277650532252
cat__flightlegs_arrinfo_airport_code_AMS,0.01368864988054154
cat__flightlegs_aircraft_typecode_73H,0.013640531141243938
cat__flightlegs_aircraft_ownerairlinecode_SK,0.013260517080657595
cat__flightlegs_aircraft_ownerairlinecode_VY,0.012603699122366524
cat__flightlegs_aircraft_typecode_223,0.012325372548454356
cat__flightlegs_aircraft_typecode_E7W,0.011513890082270876
cat__flightlegs_aircraft_typecode_320,0.011194144366447247
cat__flightlegs_aircraft_ownerairlinecode_EC,0.010683118268582772
cat__flightlegs_depinfo_airport_code_ORY,0.010422351105359568
cat__flightlegs_aircraft_typecode_32A,0.009951099131004917
cat__flightlegs_season_spring,0.009376924518934432
num__flightlegs_scheduledflightduration,0.00870167338792985
cat__flightlegs_depinfo_airport_country_name_Spain,0.00866804011072537
cat__flightlegs_depinfo_airport_country_name_Italy,0.008160036641894412
cat__flightlegs_arrinfo_times_scheduled_dayPeriod_morning,0.0076182812689511055
cat__flightlegs_depinfo_times_scheduled_dayPeriod_morning,0.007458117311513544
cat__flightlegs_aircraft_typecode_32Q,0.007185750699633071
cat__flightlegs_aircraft_ownerairlinecode_UX,0.007141295812742895
cat__flightlegs_aircraft_typecode_32S,0.007070167978304665
cat__flightlegs_arrinfo_times_scheduled_dayPeriod_evening,0.006604885698442441
cat__flightlegs_depinfo_times_scheduled_dayPeriod_evening,0.006479919379184994
cat__flightlegs_aircraft_typecode_319,0.00631543790124944
cat__flightlegs_aircraft_ownerairlinecode_ZQ,0.006204057972273621
cat__flightlegs_aircraft_typecode_321,0.006104359440784302
cat__flightlegs_arrinfo_airport_country_name_Italy,0.004993710989185464
cat__flightlegs_arrinfo_airport_country_name_Norway,0.004676952483062621
cat__flightlegs_depinfo_airport_country_name_Norway,0.004481421212033201
cat__flightlegs_arrinfo_airport_country_name_Spain,0.004478447848537821
cat__flightlegs_aircraft_ownerairlinecode_LH,0.004403401520897673
cat__flightlegs_aircraft_ownerairlinecode_XK,0.004294172438469115
cat__flightlegs_aircraft_ownerairlinecode_U2,0.00409429403860707
cat__flightlegs_aircraft_ownerairlinecode_T3,0.003874684336280059
cat__flightlegs_aircraft_ownerairlinecode_IB,0.0033432565678060485
cat__flightlegs_depinfo_airport_code_NCE,0.0031741045347059883
