feature,importance
cat__flightlegs_arrinfo_times_scheduled_dayPeriod_morning,0.11417990781677569
cat__flightlegs_aircraft_ownerairlinecode_AF,0.055945706533333445
cat__flightlegs_season_summer,0.047793951287873816
cat__flightlegs_depinfo_times_scheduled_dayPeriod_evening,0.03254078521593749
cat__flightlegs_season_spring,0.02463598657138828
cat__flightlegs_arrinfo_times_scheduled_dayPeriod_evening,0.024419490506325046
cat__flightlegs_depinfo_airport_code_NCE,0.020790060548339574
cat__flightlegs_aircraft_typecode_320,0.01967427271883458
cat__flightlegs_aircraft_typecode_321,0.01952963412009623
cat__flightlegs_aircraft_ownerairlinecode_T3,0.019314826114931977
cat__flightlegs_aircraft_typecode_223,0.01649432955617583
cat__flightlegs_aircraft_typecode_E90,0.016027235209013085
cat__flightlegs_aircraft_ownerairlinecode_WA,0.015545730772416382
cat__flightlegs_aircraft_typecode_319,0.01406072359620512
cat__flightlegs_depinfo_airport_country_name_France,0.01323507572832919
cat__flightlegs_arrinfo_airport_code_NCE,0.01202944776643731
cat__flightlegs_aircraft_typecode_32A,0.011064315281288659
cat__flightlegs_aircraft_typecode_73H,0.01056603688516351
cat__flightlegs_depinfo_airport_country_name_Netherlands,0.010188735224004077
num__flightlegs_scheduledflightduration,0.00977992854841859
cat__flightlegs_depinfo_airport_code_AMS,0.009132378259474298
cat__flightlegs_aircraft_ownerairlinecode_U2,0.008331555241342431
cat__flightlegs_aircraft_typecode_73J,0.008263971385131286
cat__flightlegs_depinfo_airport_code_BRS,0.006995095047282992
cat__flightlegs_aircraft_typecode_295,0.006906562507822165
cat__flightlegs_aircraft_typecode_E70,0.0065661410411517645
cat__flightlegs_arrinfo_airport_code_CDG,0.0063985564026791215
cat__flightlegs_aircraft_typecode_73W,0.006210148442646827
cat__flightlegs_depinfo_airport_code_ORY,0.006095324891919768
cat__flightlegs_depinfo_airport_country_name_Portugal,0.006025337235565055
cat__flightlegs_depinfo_airport_code_CDG,0.005761198275816827
cat__flightlegs_arrinfo_airport_country_name_Spain,0.005291666008884848
cat__flightlegs_depinfo_airport_code_MAN,0.005088366415675311
cat__flightlegs_arrinfo_airport_code_TLS,0.004934434837679664
cat__flightlegs_arrinfo_airport_country_name_Netherlands,0.004818776147916189
cat__flightlegs_aircraft_typecode_318,0.004762974991170958
cat__flightlegs_aircraft_typecode_E7W,0.00463473094485147
cat__flightlegs_arrinfo_airport_code_BCN,0.004453163523373518
cat__flightlegs_depinfo_times_scheduled_dayPeriod_night,0.004405696300155386
cat__flightlegs_depinfo_airport_code_LYS,0.004197996897123252
cat__flightlegs_aircraft_typecode_32Q,0.004066480201769763
cat__flightlegs_depinfo_airport_code_NAP,0.0040388762214984275
cat__flightlegs_arrinfo_airport_code_MAN,0.003984455533476778
cat__flightlegs_depinfo_airport_code_MRS,0.003952726440761994
cat__flightlegs_depinfo_airport_code_DUS,0.0038782438326718507
cat__flightlegs_arrinfo_airport_code_VCE,0.0037025666308885775
cat__flightlegs_aircraft_ownerairlinecode_A5,0.0036842973951030614
cat__flightlegs_arrinfo_airport_code_KGS,0.0036395152849676886
cat__flightlegs_arrinfo_airport_code_BRS,0.0036350298127671996
cat__flightlegs_arrinfo_airport_code_BOD,0.0035914045156525665
cat__flightlegs_depinfo_airport_code_BER,0.0034917872694621775
cat__flightlegs_arrinfo_airport_code_PMI,0.003462706473371532
cat__flightlegs_aircraft_ownerairlinecode_HV,0.003412573574545933
cat__flightlegs_arrinfo_airport_code_LYS,0.0033039264424086687
cat__flightlegs_arrinfo_airport_code_ATH,0.0032948650958729573
cat__flightlegs_arrinfo_airport_code_AGP,0.0031986148532076476
cat__flightlegs_arrinfo_airport_code_BOJ,0.0031305269055458577
cat__flightlegs_arrinfo_airport_code_LIN,0.003120197713806514
cat__flightlegs_depinfo_airport_code_MUC,0.0031128181485385424
cat__flightlegs_depinfo_airport_code_TLS,0.0030886946045828732
cat__flightlegs_arrinfo_airport_code_MRS,0.003023381884720727
cat__flightlegs_arrinfo_airport_code_ORY,0.0030123360253842143
cat__flightlegs_arrinfo_airport_country_name_Portugal,0.0030050924356169522
cat__flightlegs_arrinfo_airport_code_LGW,0.0029977873380384787
cat__flightlegs_aircraft_ownerairlinecode_TO,0.002968120754235928
cat__flightlegs_depinfo_airport_code_BCN,0.0029549482288135625
cat__flightlegs_depinfo_airport_code_GVA,0.002910557109001961
cat__flightlegs_depinfo_airport_code_ZRH,0.002900832641018552
cat__flightlegs_aircraft_ownerairlinecode_VY,0.002893806920705275
cat__flightlegs_aircraft_ownerairlinecode_AZ,0.0028491104848028886
cat__flightlegs_depinfo_airport_code_FLR,0.0028362011620054082
cat__flightlegs_depinfo_airport_code_LIS,0.002787552781132321
cat__flightlegs_arrinfo_airport_country_name_Germany,0.0027070936621765504
cat__flightlegs_depinfo_airport_code_LIN,0.0026856350192328003
cat__flightlegs_arrinfo_airport_country_name_Isle of Man,0.0026656147015272024
cat__flightlegs_arrinfo_airport_country_name_Scotland,0.0026435707551199857
cat__flightlegs_arrinfo_airport_country_name_France,0.002640374889395266
cat__flightlegs_arrinfo_airport_code_OPO,0.0026168099442284935
cat__flightlegs_depinfo_airport_code_FCO,0.0024989806496082782
cat__flightlegs_arrinfo_airport_code_GVA,0.0024818098268750487
cat__flightlegs_arrinfo_airport_code_MXP,0.002426051906501033
cat__flightlegs_depinfo_airport_code_VIE,0.002425126036325983
cat__flightlegs_aircraft_ownerairlinecode_YY,0.00240647959949302
cat__flightlegs_arrinfo_airport_code_VLC,0.002405497263998692
cat__flightlegs_depinfo_airport_code_BIA,0.0023913658076073095
cat__flightlegs_arrinfo_airport_code_VIE,0.002369098429369965
cat__flightlegs_arrinfo_airport_code_IBZ,0.0023651767933837867
cat__flightlegs_arrinfo_airport_code_ZRH,0.0023567185079263163
cat__flightlegs_arrinfo_airport_code_LTN,0.0023434437399673103
cat__flightlegs_aircraft_ownerairlinecode_KL,0.002237627330947411
cat__flightlegs_aircraft_typecode_32N,0.002235348558846681
cat__flightlegs_arrinfo_airport_code_NTE,0.002168536113324798
cat__flightlegs_arrinfo_airport_country_name_Serbia,0.0021613479807591224
cat__flightlegs_arrinfo_airport_code_DUB,0.002124657662279857
cat__flightlegs_arrinfo_airport_code_NAP,0.0021216894833752655
cat__flightlegs_depinfo_airport_code_BOD,0.0021132026501505747
cat__flightlegs_depinfo_airport_code_BUD,0.0021098938160331996
cat__flightlegs_arrinfo_airport_code_ALC,0.0020641222300011126
cat__flightlegs_arrinfo_airport_country_name_Croatia,0.002049073168673522
cat__flightlegs_aircraft_ownerairlinecode_TB,0.002029386938848643
cat__flightlegs_arrinfo_airport_country_name_Switzerland,0.0020015097756638945
cat__flightlegs_arrinfo_airport_code_MUC,0.0019806780382438586
cat__flightlegs_arrinfo_airport_code_OSL,0.001974672406039386
cat__flightlegs_arrinfo_airport_code_BHX,0.001965954757145142
cat__flightlegs_depinfo_airport_code_HAM,0.0019157106613299558
cat__flightlegs_depinfo_airport_code_ATH,0.001889845260931394
cat__flightlegs_arrinfo_airport_code_FCO,0.0018858891667905037
cat__flightlegs_arrinfo_airport_code_EDI,0.001883291337533468
cat__flightlegs_depinfo_airport_code_NCL,0.001878205914150031
cat__flightlegs_arrinfo_airport_code_BER,0.0018279886142139098
cat__flightlegs_arrinfo_airport_code_BUD,0.001779916954283921
cat__flightlegs_depinfo_airport_country_name_Germany,0.0017608881153462683
cat__flightlegs_depinfo_airport_code_VCE,0.001721913295344287
cat__flightlegs_depinfo_airport_country_name_Switzerland,0.0017192770474851822
cat__flightlegs_arrinfo_airport_code_AJA,0.001683907819252396
cat__flightlegs_arrinfo_airport_code_LHR,0.001683101899317651
cat__flightlegs_arrinfo_airport_country_name_Czech Republic,0.001682003273160297
cat__flightlegs_arrinfo_airport_country_name_Italy,0.0016719921182817103
cat__flightlegs_aircraft_ownerairlinecode_XK,0.0016480751631297041
cat__flightlegs_arrinfo_airport_code_LIS,0.0016389238189133525
