feature,importance
cat__flightlegs_season_summer,0.0569846780770807
cat__flightlegs_arrinfo_times_scheduled_dayPeriod_morning,0.04458553122466711
cat__flightlegs_aircraft_ownerairlinecode_AF,0.04457162630380682
cat__flightlegs_depinfo_times_scheduled_dayPeriod_morning,0.04409177118324452
cat__flightlegs_depinfo_times_scheduled_dayPeriod_evening,0.03028640957192389
cat__flightlegs_season_spring,0.029444706463383822
cat__flightlegs_arrinfo_times_scheduled_dayPeriod_evening,0.02938777563577049
cat__flightlegs_aircraft_typecode_320,0.0223054963199874
cat__flightlegs_aircraft_typecode_E90,0.020647099368179104
cat__flightlegs_depinfo_airport_code_NCE,0.017278104634004122
cat__flightlegs_aircraft_typecode_223,0.016821693034640862
cat__flightlegs_aircraft_typecode_319,0.016658267598071555
cat__flightlegs_aircraft_typecode_321,0.01657342733420685
cat__flightlegs_aircraft_ownerairlinecode_T3,0.014927615022091412
cat__flightlegs_aircraft_ownerairlinecode_WA,0.012196945301023663
cat__flightlegs_aircraft_typecode_32A,0.011923045789797597
cat__flightlegs_aircraft_typecode_73H,0.011190123334348196
cat__flightlegs_depinfo_airport_country_name_France,0.010940468465569142
cat__flightlegs_arrinfo_airport_code_NCE,0.01052596628974357
cat__flightlegs_aircraft_typecode_E70,0.008901287717723727
num__flightlegs_scheduledflightduration,0.008656644604658363
cat__flightlegs_aircraft_typecode_318,0.007754629784328408
cat__flightlegs_aircraft_typecode_73J,0.00753085179327013
cat__flightlegs_aircraft_typecode_295,0.0074983573827907875
cat__flightlegs_aircraft_typecode_73W,0.007113481943525044
cat__flightlegs_depinfo_airport_country_name_Netherlands,0.006697168182782018
cat__flightlegs_depinfo_airport_code_CDG,0.006597536991978615
cat__flightlegs_depinfo_airport_code_AMS,0.006343508135481068
cat__flightlegs_aircraft_ownerairlinecode_U2,0.006142597381852267
cat__flightlegs_arrinfo_airport_code_CDG,0.006093980893385319
cat__flightlegs_aircraft_typecode_E7W,0.005854450279891876
cat__flightlegs_arrinfo_airport_code_BCN,0.005699430958383538
cat__flightlegs_depinfo_airport_code_BRS,0.005295949752571903
cat__flightlegs_arrinfo_airport_code_TLS,0.0051330812652703025
cat__flightlegs_depinfo_airport_code_ORY,0.004500825312807225
cat__flightlegs_depinfo_airport_code_MRS,0.004401746054607109
cat__flightlegs_depinfo_airport_code_MAN,0.004335454972041628
cat__flightlegs_arrinfo_airport_country_name_Spain,0.004241345716343889
cat__flightlegs_aircraft_typecode_32Q,0.0041847218107603475
cat__flightlegs_depinfo_airport_code_BER,0.0041183933641594965
cat__flightlegs_arrinfo_airport_code_LYS,0.004112030711534944
cat__flightlegs_depinfo_airport_code_LIN,0.004087344130461168
cat__flightlegs_depinfo_airport_code_LYS,0.003911920645922655
cat__flightlegs_depinfo_airport_code_TLS,0.003865402323421081
cat__flightlegs_aircraft_typecode_32N,0.0038236367102119783
cat__flightlegs_arrinfo_airport_code_MAN,0.003777172433667367
cat__flightlegs_arrinfo_airport_code_BOD,0.0037588339514935515
cat__flightlegs_arrinfo_airport_code_MRS,0.0036801183722677796
cat__flightlegs_arrinfo_airport_country_name_France,0.0036585589439191136
cat__flightlegs_depinfo_airport_code_BCN,0.003597923219336808
cat__flightlegs_depinfo_airport_code_NAP,0.0035596473008312236
cat__flightlegs_depinfo_airport_code_ZRH,0.0035084599903618965
cat__flightlegs_arrinfo_airport_code_AGP,0.0034808759371149477
cat__flightlegs_arrinfo_airport_country_name_Netherlands,0.003475316211902708
cat__flightlegs_arrinfo_airport_code_AMS,0.0034648819696774685
cat__flightlegs_arrinfo_airport_code_BRS,0.0034230261585730315
cat__flightlegs_arrinfo_airport_code_ORY,0.003321552611878948
cat__flightlegs_depinfo_airport_country_name_Portugal,0.003297766733491908
cat__flightlegs_arrinfo_airport_code_LIN,0.003281324653845593
cat__flightlegs_depinfo_airport_code_MUC,0.0032643760595289168
cat__flightlegs_aircraft_ownerairlinecode_HV,0.003077546291228768
cat__flightlegs_aircraft_ownerairlinecode_KL,0.003007115547945809
cat__flightlegs_aircraft_ownerairlinecode_A5,0.0029970557741349864
cat__flightlegs_arrinfo_airport_code_MXP,0.002992970185366151
cat__flightlegs_depinfo_airport_code_FCO,0.0029755248674067803
cat__flightlegs_arrinfo_airport_code_FCO,0.0029318195641225412
cat__flightlegs_arrinfo_airport_code_ATH,0.0028858739604947477
cat__flightlegs_arrinfo_airport_code_PMI,0.0028830053917693627
cat__flightlegs_arrinfo_airport_code_VCE,0.00287444578501766
cat__flightlegs_arrinfo_airport_code_GVA,0.0028651148230119717
cat__flightlegs_depinfo_airport_code_DUS,0.002827896085269357
cat__flightlegs_arrinfo_airport_code_MUC,0.0027799746092107584
cat__flightlegs_arrinfo_airport_code_ALC,0.002744983056163537
cat__flightlegs_depinfo_airport_code_FLR,0.0027448454402232174
cat__flightlegs_arrinfo_airport_code_LHR,0.002712119071516782
cat__flightlegs_arrinfo_airport_country_name_Isle of Man,0.0026875874769116425
cat__flightlegs_depinfo_airport_code_GVA,0.0026767479028729367
cat__flightlegs_aircraft_ownerairlinecode_VY,0.0026678470606555853
cat__flightlegs_arrinfo_airport_code_VLC,0.0026553618846847675
cat__flightlegs_depinfo_airport_code_BOD,0.002610123111330413
cat__flightlegs_arrinfo_airport_code_EDI,0.002609592616293587
cat__flightlegs_aircraft_ownerairlinecode_TO,0.0026014844312605306
