_id,id,airline-code,airline-name,flightLegs-aircraft-ownerAirlineCode,flightLegs-aircraft-typeCode,flightLegs-arrivalInformation-airport-city-country-areaCode,flightLegs-arrivalInformation-airport-city-country-code,flightLegs-arrivalInformation-airport-city-country-name,flightLegs-arrivalInformation-airport-code,flightLegs-arrivalInformation-airport-location-latitude,flightLegs-arrivalInformation-airport-location-longitude,flightLegs-arrivalInformation-times-actual,flightLegs-arrivalInformation-times-actualTouchDownTime,flightLegs-arrivalInformation-times-estimated-value,flightLegs-arrivalInformation-times-latestPublished,flightLegs-arrivalInformation-times-scheduled,flightLegs-departureInformation-airport-city-country-areaCode,flightLegs-departureInformation-airport-city-country-code,flightLegs-departureInformation-airport-city-country-name,flightLegs-departureInformation-airport-code,flightLegs-departureInformation-airport-location-latitude,flightLegs-departureInformation-airport-location-longitude,flightLegs-departureInformation-airport-places-departurePositionTerminal-boardingTerminal,flightLegs-departureInformation-airport-places-departurePositionTerminal-gateNumber,flightLegs-departureInformation-times-actual,flightLegs-departureInformation-times-actualTakeOffTime,flightLegs-departureInformation-times-latestPublished,flightLegs-departureInformation-times-scheduled,flightLegs-irregularity-delayDuration,flightLegs-irregularity-delayInformation-delayReasonPublicLong,flightLegs-irregularity-delayInformation-delayReasonPublicShort,flightLegs-irregularity-delayReason,flightLegs-scheduledFlightDuration,flightLegs-serviceType,flightNumber,flightStatusPublic,flightLegs-status,flightLegs-arrivalInformation-airport-places-arrivalPositionTerminal,flightLegs-irregularity-delayDuration-total
6900d152be9ad5e05baf37d0,20250604+SK+1219,SK,SCANDINAVIAN AIRLINES SYSTEM (SAS),SK,32N,E,DK,DENMARK,AAL,57.0931,9.85,2025-06-04T20:32:00.000+02:00,2025-06-04T20:26:00.000+02:00,2025-06-04T20:32:00.000+02:00,2025-06-04T20:32:00.000+02:00,2025-06-04T20:40:00.000+02:00,E,DK,DENMARK,CPH,55.6081,12.6333,3,B8,2025-06-04T19:49:00.000+02:00,2025-06-04T19:58:00.000+02:00,2025-06-04T19:49:00.000+02:00,2025-06-04T19:55:00.000+02:00,,,,,PT45M,J,1219,ARRIVED,,,
6900d152be9ad5e05baf37d1,20250604+SK+1221,SK,SCANDINAVIAN AIRLINES SYSTEM (SAS),SK,32N,E,DK,DENMARK,AAL,57.0931,9.85,2025-06-04T21:58:00.000+02:00,2025-06-04T21:54:00.000+02:00,2025-06-04T21:58:00.000+02:00,2025-06-04T21:58:00.000+02:00,2025-06-04T22:05:00.000+02:00,E,DK,DENMARK,CPH,55.6081,12.6333,3,D4,2025-06-04T21:16:00.000+02:00,2025-06-04T21:24:00.000+02:00,2025-06-04T21:16:00.000+02:00,2025-06-04T21:20:00.000+02:00,,,,,PT45M,J,1221,ARRIVED,,,
6900d152be9ad5e05baf37d2,20250604+SK+1225,SK,SCANDINAVIAN AIRLINES SYSTEM (SAS),SK,32S,E,DK,DENMARK,AAL,57.0931,9.85,2025-06-04T23:55:00.000+02:00,2025-06-04T23:50:00.000+02:00,2025-06-04T23:55:00.000+02:00,2025-06-04T23:55:00.000+02:00,2025-06-04T23:50:00.000+02:00,E,DK,DENMARK,CPH,55.6081,12.6333,3,A12,2025-06-04T23:12:00.000+02:00,2025-06-04T23:21:00.000+02:00,2025-06-04T23:12:00.000+02:00,2025-06-04T23:05:00.000+02:00,,,,,PT45M,J,1225,ARRIVED,,,
6900d152be9ad5e05baf37d3,20250605+SK+1209,SK,SCANDINAVIAN AIRLINES SYSTEM (SAS),SK,EMJ,E,DK,DENMARK,AAL,57.0931,9.85,2025-06-05T11:54:00.000+02:00,2025-06-05T11:51:00.000+02:00,2025-06-05T11:54:00.000+02:00,2025-06-05T11:54:00.000+02:00,2025-06-05T12:05:00.000+02:00,E,DK,DENMARK,CPH,55.6081,12.6333,3,B8,2025-06-05T11:14:00.000+02:00,2025-06-05T11:24:00.000+02:00,2025-06-05T11:14:00.000+02:00,2025-06-05T11:20:00.000+02:00,,,,,PT45M,J,1209,ARRIVED,,,
6900d152be9ad5e05baf37d4,20250605+SK+1213,SK,SCANDINAVIAN AIRLINES SYSTEM (SAS),SK,32N,E,DK,DENMARK,AAL,57.0931,9.85,2025-06-05T13:48:00.000+02:00,2025-06-05T13:42:00.000+02:00,2025-06-05T13:48:00.000+02:00,2025-06-05T13:48:00.000+02:00,2025-06-05T13:55:00.000+02:00,E,DK,DENMARK,CPH,55.6081,12.6333,3,D2,2025-06-05T12:52:00.000+02:00,2025-06-05T13:15:00.000+02:00,2025-06-05T12:52:00.000+02:00,2025-06-05T13:10:00.000+02:00,,,,,PT45M,J,1213,ARRIVED,,,
6900d152be9ad5e05baf37d5,20250605+SK+1217,SK,SCANDINAVIAN AIRLINES SYSTEM (SAS),SK,32N,E,DK,DENMARK,AAL,57.0931,9.85,2025-06-05T16:59:00.000+02:00,2025-06-05T16:53:00.000+02:00,2025-06-05T16:59:00.000+02:00,2025-06-05T16:59:00.000+02:00,2025-06-05T17:05:00.000+02:00,E,DK,DENMARK,CPH,55.6081,12.6333,3,D2,2025-06-05T16:15:00.000+02:00,2025-06-05T16:26:00.000+02:00,2025-06-05T16:15:00.000+02:00,2025-06-05T16:20:00.000+02:00,,,,,PT45M,J,1217,ARRIVED,,,
6900d152be9ad5e05baf37d6,20250605+SK+1203,SK,SCANDINAVIAN AIRLINES SYSTEM (SAS),SK,32S,E,DK,DENMARK,AAL,57.0931,9.85,2025-06-05T18:53:00.000+02:00,2025-06-05T18:48:00.000+02:00,2025-06-05T18:53:00.000+02:00,2025-06-05T18:53:00.000+02:00,2025-06-05T18:15:00.000+02:00,E,DK,DENMARK,CPH,55.6081,12.6333,3,B8,2025-06-05T18:02:00.000+02:00,2025-06-05T18:23:00.000+02:00,2025-06-05T18:02:00.000+02:00,2025-06-05T17:30:00.000+02:00,,,,,PT45M,J,1203,ARRIVED,,,
6900d152be9ad5e05baf37d7,20250605+SK+1219,SK,SCANDINAVIAN AIRLINES SYSTEM (SAS),SK,32S,E,DK,DENMARK,AAL,57.0931,9.85,2025-06-05T20:34:00.000+02:00,2025-06-05T20:28:00.000+02:00,2025-06-05T20:34:00.000+02:00,2025-06-05T20:34:00.000+02:00,2025-06-05T20:40:00.000+02:00,E,DK,DENMARK,CPH,55.6081,12.6333,3,D2,2025-06-05T19:49:00.000+02:00,2025-06-05T19:59:00.000+02:00,2025-06-05T19:49:00.000+02:00,2025-06-05T19:55:00.000+02:00,,,,,PT45M,J,1219,ARRIVED,,,
6900d152be9ad5e05baf37d8,20250605+SK+1221,SK,SCANDINAVIAN AIRLINES SYSTEM (SAS),SK,32S,E,DK,DENMARK,AAL,57.0931,9.85,2025-06-05T22:02:00.000+02:00,2025-06-05T21:55:00.000+02:00,2025-06-05T22:02:00.000+02:00,2025-06-05T22:02:00.000+02:00,2025-06-05T22:05:00.000+02:00,E,DK,DENMARK,CPH,55.6081,12.6333,3,B4,2025-06-05T21:15:00.000+02:00,2025-06-05T21:27:00.000+02:00,2025-06-05T21:15:00.000+02:00,2025-06-05T21:20:00.000+02:00,,,,,PT45M,J,1221,ARRIVED,,,
6900d152be9ad5e05baf37d9,20250605+SK+1225,SK,SCANDINAVIAN AIRLINES SYSTEM (SAS),SK,32S,E,DK,DENMARK,AAL,57.0931,9.85,2025-06-05T23:45:00.000+02:00,2025-06-05T23:41:00.000+02:00,2025-06-05T23:45:00.000+02:00,2025-06-05T23:45:00.000+02:00,2025-06-05T23:50:00.000+02:00,E,DK,DENMARK,CPH,55.6081,12.6333,3,A20,2025-06-05T23:02:00.000+02:00,2025-06-05T23:13:00.000+02:00,2025-06-05T23:02:00.000+02:00,2025-06-05T23:05:00.000+02:00,,,,,PT45M,J,1225,ARRIVED,,,
